id,t
1,อะลิฟ ลา-ม รอ  ^  กิตาบุน อุห์กิมัต อายาตุฮู ษุมมะ ฟุศศิลัต มิล ละดุน ฮะกีมิน เคาะบีร
2,อัลลา ตะอฺ์บุดู อิลลัล ลอฮ์  ^  อินนะนี ละกุม มินฮุ นะซีรู วะบะชีร
3,วะอะนิส ตัฆฟิรู ร็อบบะกุม ษุมมะ ตูบู อิลัยฮิ ยุมัตติอฺ์กุม มะตาอฺัน ฮะสะนัน อิลา อะญะลิม มุสัมเมา วะยุอ์ติ กุลละ ซี ฟัฎลิน ฟัฎละฮ์  ^  วะอิน ตะวัลเลา ฟะอินนี อะคอฟุ อฺะลัยกุม อฺะซาบะ เยามิน กะบีร
4,อิลัล ลอฮิ มัรญิอฺุกุม  ^  วะฮุวะ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
5,อะลา อินนะฮุม ยัษนูนะ ศุดูเราะฮุม ลิยัสตัคฟู มินฮ์  ^  อะลา ฮีนะ ยัสตัฆชูนะ ษิยาบะฮุม ยะอฺ์ละมุ มา ยุสิรรูนะ วะมา ยุอฺ์ลินูน  ^  อินนะฮู อฺะลีมุม บิซาติศ ศุดูร
6,วะมา มิน ดา-บบะติน ฟิล อัรฎิ อิลลา อฺะลัล ลอฮิ ริซกฺุฮา วะยะอฺ์ละมุ มุสตะกฺ็อรเราะฮา วะมุสเตาดะอฺะฮา  ^  กุลลุน ฟี กิตาบิม มุบีน
7,วะฮุวัล ละซี เคาะละกฺ็อส สะมาวาติ วัลอัรเฎาะ ฟี สิตตะติ อัยยามิว วะกานะ อฺัรชุฮู อฺะลัล มาอิ ลิยับลุวะกุม อัยยุกุม อะห์สะนุ อฺะมะลา  ^  วะละอิน กฺุลตะ อินนะกุม มับอฺูษูนะ มิม บะอฺ์ดิล เมาติ ละยะกฺูลันนัล ละซีนะ กะฟะรู อิน ฮาซา อิลลา สิห์รุม มุบีน
8,วะละอิน อัคค็อรนา อฺันฮุมุล อฺะซาบะ อิลา อุมมะติม มะอฺ์ดูดะติล ละยะกฺูลุนนะ มา ยะห์บิสุฮ์  ^  อะลา เยามะ ยะอ์ตีฮิม ลัยสะ มัศรูฟัน อฺันฮุม วะฮาเกฺาะ บิฮิม มา กานู บิฮี ยัสตะฮ์ซิอูน
9,วะละอิน อะซักฺนัล อินสานะ มินนา เราะห์มะตัน ษุมมะ นะซะอฺ์นาฮา มินฮุ อินนะฮู ละยะอูสุน กะฟูร
10,วะละอิน อะซักฺนาฮุ นะอฺ์มาอะ บะอฺ์ดะ ฎ็อรรออะ มัสสัตฮุ ละยะกฺูลันนะ ซะฮะบัส สัยยิอาตุ อฺันนี  ^  อินนะฮู ละฟะริฮุน ฟะคูร
