id,t
1,อะลิฟ ลา-ม รอ  ^  ติลกะ อายาตุล กิตาบิล มุบีน
2,อินนา อันซัลนาฮุ กฺุรอานัน อฺะเราะบีย์ยัล ละอฺัลละกุม ตะอฺ์กฺิลูน
3,นะห์นุ นะกฺุศศุ อฺะลัยกะ อะห์สะนัล เกฺาะเศาะศิ บิมา เอาฮัยนา อิลัยกะ ฮาซัล กฺุรอานะ วะอิน กุนตะ มิน กฺ็อบลิฮี ละมินัล ฆอฟิลีน
4,อิซ กฺอละ ยูสุฟุ ลิอะบีฮิ ยาอะบะติ อินนี เราะอัยตุ อะฮะดะ อฺะชะเราะ เกากะเบา วัชชัมสะ วัลเกฺาะมะเราะ เราะอัยตุฮุม ลี สาญิดีน
5,กฺอละ ยาบุนัยยะ ลา ตักฺศุศ รุอ์ยากะ อฺะลา อิควะติกะ ฟะยะกีดู ละกะ กัยดา  ^  อินนัช ชัยฏอนะ ลิลอินสานิ อฺะดูว์วุม มุบีน
6,วะกะซาลิกะ ยัจญ์ตะบีกะ ร็อบบุกะ วะยุอฺัลลิมุกะ มิน ตะอ์วีลิล อะฮาดีษิ วะยุติมมุ นิอฺ์มะตะฮู อฺะลัยกะ วะอฺะลา อาลิ ยะอฺ์กฺูบะ กะมา อะตัมมะฮา อฺะลา อะบะวัยกะ มิน กฺ็อบลุ อิบรอฮีมะ วะอิสฮากฺ  ^  อินนะ ร็อบบะกะ อฺะลีมุน ฮะกีม
7,ละกฺ็อด กานะ ฟี ยูสุฟะ วะอิควะติฮี อายาตุล ลิสสาอิลีน
8,อิซ กฺอลู ละยูสุฟุ วะอะคูฮุ อะฮับบุ อิลา อะบีนา มินนา วะนะห์นุ อฺุศบะตุน อินนะ อะบานา ละฟี เฎาะลาลิม มุบีน
9,อุกฺตุลู ยูสุฟะ อะวิฏ เราะฮูฮุ อัรฎ็อย ยัคลุ ละกุม วัจญ์ฮุ อะบีกุม วะตะกูนู มิม บะอฺ์ดิฮี เกฺอ์ามัน ศอลิฮีน
10,กฺอละ กฺออิลุม มินฮุม ลา ตักฺตุลู ยูสุฟะ วะอัลกฺูฮุ ฟี เฆาะยาบะติล ญุบบิ ยัลตะกฺิฏฮุ บะอฺ์ฎุส สัยยาเราะติ อิน กุนตุม ฟาอฺิลีน
11,กฺอลู ยาอะบานา มาละกะ ลา ตะอ์มันนา อฺะลา ยูสุฟะ วะอินนา ละฮู ละนาศิฮูน
12,อัรสิลฮุ มะอฺะนา เฆาะดัย ยัรตะอฺ์ วะยัลอฺับ วะอินนา ละฮู ละฮาฟิซฺูน
13,กฺอละ อินนี ละยะห์ซุนุนี อัน ตัซฮะบู บิฮี วะอะคอฟุ อัย ยะอ์กุละฮุซ ซิอ์บุ วะอันตุม อฺันฮุ ฆอฟิลูน
14,กฺอลู ละอิน อะกะละฮุซ ซิอ์บุ วะนะห์นุ อฺุศบะตุน อินนา อิซัล ละคอสิรูน
15,ฟะลัมมา ซะฮะบู บิฮี วะอัจญ์มะอฺู อัย ยัจญ์อฺะลูฮุ ฟี เฆาะยาบะติล ญุบบ์  ^  วะเอาฮัยนา อิลัยฮิ ละตุนับบิอันนะฮุม บิอัมริฮิม ฮาซา วะฮุม ลา ยัชอฺุรูน
16,วะญาอู อะบาฮุม อฺิชาอัย ยับกูน
17,กฺอลู ยาอะบานา อินนา ซะฮับนา นัสตะบิกฺุ วะตะร็อกนา ยูสุฟะ อฺินดะ มะตาอฺินา ฟะอะกะละฮุซ ซิอ์บ์  ^  วะมา อันตะ บิมุอ์มินิล ละนา วะเลา กุนนา ศอดิกฺีน
18,วะญาอู อฺะลา เกฺาะมีศิฮี บิดะมิน กะซิบ  ^  กฺอละ บัล เสาวะลัต ละกุม อันฟุสุกุม อัมรอ  ^  ฟะศ็อบรุน ญะมีล  ^  วัลลอฮุล มุสตะอฺานุ อฺะลา มา ตะศิฟูน
19,วะญาอัต สัยยาเราะตุน ฟะอัรสะลู วาริดะฮุม ฟะอัดลา ดัลวะฮ์  ^  กฺอละ ยาบุชรอ ฮาซา ฆุลาม  ^  วะอะสัรรูฮุ บิฎออฺะฮ์  ^  วัลลอฮุ อฺะลีมุม บิมา ยะอฺ์มะลูน
20,วะชะเรอ์าฮุ บิษะมะนิม บัคสิน ดะรอฮิมะ มะอฺ์ดูดะติว วะกานู ฟีฮิ มินัซ ซาฮิดีน
21,วะกฺอลัล ละซิช ตะรอฮุ มิม มิศเราะ ลิมเราะอะติฮี อักริมี มัษวาฮุ อฺะสา อัย ยันฟะอฺะนา เอา นัตตะคิซะฮู วะละดา  ^  วะกะซาลิกะ มักกันนา ลิยูสุฟะ ฟิล อัรฎิ วะลินุอฺัลลิมะฮู มิน ตะอ์วีลิล อะฮาดีษ  ^  วัลลอฮุ ฆอลิบุน อฺะลา อัมริฮี วะลากินนะ อักษะร็อน นาสิ ลา ยะอฺ์ละมูน
22,วะลัมมา บะละเฆาะ อะชุดดะฮู อาตัยนาฮุ ฮุกเมา วะอฺิลมา  ^  วะกะซาลิกะ นัจญ์ซิล มุห์สินีน
