id,t
1,อะลิฟ ลา-ม มี-ม  ^  ติลกะ อายาตุล กิตาบ  ^  วัลละซี อุนซิละ อิลัยกะ มิร ร็อบบิกัล ฮักฺกฺุ วะลากินนะ อักษะร็อน นาสิ ลา ยุอ์มินูน
2,อัลลอฮุล ละซี เราะฟะอฺัส สะมาวาติ บิฆ็อยริ อฺะมะดิน ตะเรอ์านะฮา  ^  ษุมมัส ตะวา อฺะลัล อฺัรช์  ^  วะสัคเคาะร็อช ชัมสะ วัลเกฺาะมัร  ^  กุลลุย ยัจญ์รี ลิอะญะลิม มุสัมมา  ^  ยุดับบิรุล อัมเราะ ยุฟัศศิลุล อายาติ ละอฺัลละกุม บิลิกฺออิ ร็อบบิกุม ตูกฺินูน
3,วะฮุวัล ละซี มัดดัล อัรเฎาะ วะญะอฺะละ ฟีฮา เราะวาสิยะ วะอันฮารอ  ^  วะมิน กุลลิษ ษะมะรอติ ญะอฺะละ ฟีฮา เซาญัยนิษ นัยน์  ^  ยุฆชิล ลัยลัน นะฮาร  ^  อินนะ ฟี ซาลิกะ ละอายาติล ลิเกฺอ์ามี ยะตะฟักกะรูน
4,วะฟิล อัรฎิ กฺิเฏาะอฺุม มุตะญาวิรอตู วะญันนาตุม มิน อะอฺ์นาบิว วะซัรอฺู วะนะคีลุน ศินวานู วะฆ็อยรุ ศินวานี ยุสกฺอ บิมาอิว วาฮิดิว วะนุฟัฎฎิลุ บะอฺ์เฎาะฮา อฺะลา บะอฺ์ฎิน ฟิล อุกุล  ^  อินนะ ฟี ซาลิกะ ละอายาติล ลิเกฺอ์ามี ยะอฺ์กฺิลูน
5,วะอิน ตะอฺ์ญับ ฟะอฺะญะบุน เกฺอ์าลุฮุม อะอิซา กุนนา ตุรอบัน อะอินนา ละฟี ค็อลกฺิน ญะดีด  ^  อุลาอิกัล ละซีนะ กะฟะรู บิร็อบบิฮิม  ^  วะอุลาอิกัล อัฆลาลุ ฟี อะอฺ์นากฺิฮิม  ^  วะอุลาอิกะ อัศฮาบุน นาร  ^  ฮุม ฟีฮา คอลิดูน
6,วะยัสตะอฺ์ญิลูนะกะ บิสสัยยิอะติ กฺ็อบลัล ฮะสะนะติ วะกฺ็อด เคาะลัต มิน กฺ็อบลิฮิมุล มะษุลาต  ^  วะอินนะ ร็อบบะกะ ละซู มัฆฟิเราะติล ลินนาสิ อฺะลา ซฺุลมิฮิม  ^  วะอินนะ ร็อบบะกะ ละชะดีดุล อฺิกฺอบ
7,วะยะกฺูลุล ละซีนะ กะฟะรู เลาลา อุนซิละ อฺะลัยฮิ อายะตุม มิร ร็อบบิฮ์  ^  อินนะมา อันตะ มุนซิร  ^  วะลิกุลลิ เกฺอ์ามิน ฮาด
8,อัลลอฮุ ยะอฺ์ละมุ มา ตะห์มิลุ กุลลุ อุนษา วะมา ตะฆีฎุล อัรฮามุ วะมา ตัซดาด  ^  วะกุลลุ ชัยอิน อฺินดะฮู บิมิกฺดาร
9,อฺาลิมุล ฆ็อยบิ วัชชะฮาดะติล กะบีรุล มุตะอฺาล
10,สะวาอุม มินกุม มัน อะสัรร็อล เกฺอ์าละ วะมัน ญะฮะเราะ บิฮี วะมัน ฮุวะ มุสตัคฟิม บิลลัยลิ วะสาริบุม บินนะฮาร
11,ละฮู มุอฺักฺกฺิบาตุม มิม บัยนิ ยะดัยฮิ วะมิน ค็อลฟิฮี ยะห์ฟะซฺูนะฮู มิน อัมริล ลาฮ์  ^  อินนัล ลอฮะ ลา ยุฆ็อยยิรุ มา บิเกฺอ์ามิน ฮัตตา ยุฆ็อยยิรู มา บิอันฟุสิฮิม  ^  วะอิซา อะรอดัล ลอฮุ บิเกฺอ์ามิน สูอัน ฟะลา มะร็อดดะ ละฮ์  ^  วะมา ละฮุม มิน ดูนิฮี มิว วาล
12,ฮุวัล ละซี ยุรีกุมุล บัรเกฺาะ เคอ์าเฟา วะเฏาะมะเอฺา วะยุนชิอุส สะฮาบัษ ษิกฺอล
