id,t
1,อะลิฟ ลา-ม รอ  ^  กิตาบุน อันซัลนาฮุ อิลัยกะ ลิตุคริญัน นาสะ มินัซฺ ซฺุลุมาติ อิลัน นูริ บิอิซนิ ร็อบบิฮิม อิลา ศิรอฏิล อฺะซีซิล ฮะมีด
2,อัลลอฮิล ละซี ละฮู มา ฟิส สะมาวาติ วะมา ฟิล อัรฎ์  ^  วะวัยลุล ลิลกาฟิรีนะ มิน อฺะซาบิน ชะดีด
3,อัลละซีนะ ยัสตะฮิบบูนัล ฮะยาตัด ดุนยา อฺะลัล อาคิเราะติ วะยะศุดดูนะ อฺัน สะบีลิล ลาฮิ วะยับฆูนะฮา อฺิวะญา  ^  อุลาอิกะ ฟี เฎาะลาลิม บะอฺีด
4,วะมา อัรสัลนา มิร เราะสูลิน อิลลา บิลิสานิ เกฺอ์ามิฮี ลิยุบัยยินะ ละฮุม  ^  ฟะยุฎิลลุล ลอฮุ มัย ยะชาอุ วะยะฮ์ดี มัย ยะชาอ์  ^  วะฮุวัล อฺะซีซุล ฮะกีม
5,วะละกฺ็อด อัรสัลนา มูสา บิอายาตินา อัน อัคริจญ์ เกฺอ์ามะกะ มินัซฺ ซฺุลุมาติ อิลัน นูริ วะซักกิรฮุม บิอัยยามิล ลาฮ์  ^  อินนะ ฟี ซาลิกะ ละอายาติล ลิกุลลิ ศ็อบบาริน ชะกูร
6,วะอิซ กฺอละ มูสา ลิเกฺอ์ามิฮิซ กุรู นิอฺ์มะตัล ลอฮิ อฺะลัยกุม อิซ อันญากุม มิน อาลิ ฟิรเอฺานะ ยะสูมูนะกุม สูอัล อฺะซาบิ วะยุซับบิฮูนะ อับนาอะกุม วะยัสตะห์ยูนะ นิสาอะกุม  ^  วะฟี ซาลิกุม บะลาอุม มิร ร็อบบิกุม อฺะซฺีม
7,วะอิซ ตะอัซซะนะ ร็อบบุกุม ละอิน ชะกัรตุม ละอะซีดันนะกุม  ^  วะละอิน กะฟัรตุม อินนะ อฺะซาบี ละชะดีด
8,วะกฺอละ มูสา อิน ตักฟุรู อันตุม วะมัน ฟิล อัรฎิ ญะมีอฺัน ฟะอินนัล ลอฮะ ละเฆาะนีย์ยุน ฮะมีด
9,อะลัม ยะอ์ติกุม นะบะอุล ละซีนะ มิน กฺ็อบลิกุม เกฺอ์ามิ นูฮิว วะอฺาดิว วะษะมูดะ วัลละซีนะ มิม บะอฺ์ดิฮิม ลา ยะอฺ์ละมุฮุม อิลลัล ลอฮ์  ^  ญาอัตฮุม รุสุลุฮุม บิลบัยยินาติ ฟะร็อดดู อัยดิยะฮุม ฟี อัฟวาฮิฮิม วะกฺอลู อินนา กะฟัรนา บิมา อุรสิลตุม บิฮี วะอินนา ละฟี ชักกิม มิมมา ตัดอฺูนะนา อิลัยฮิ มุรีบ
10,กฺอลัต รุสุลุฮุม อะฟิล ลาฮิ ชักกุน ฟาฏิริส สะมาวาติ วัลอัรฎ์  ^  ยัดอฺูกุม ลิยัฆฟิเราะ ละกุม มิน ซุนูบิกุม วะยุอัคคิเราะกุม อิลา อะญะลิม มุสัมมา  ^  กฺอลู อิน อันตุม อิลลา บะชะรุม มิษลุนา ตุรีดูนะ อัน ตะศุดดูนา อฺัมมา กานะ ยะอฺ์บุดุ อาบาอุนา ฟะอ์ตูนา บิสุลฏอนิม มุบีน
