id,t
1,อะลิฟ ลา-ม รอ  ^  ติลกะ อายาตุล กิตาบิ วะกฺุรอานิม มุบีน
2,รุบะมา ยะวัดดุล ละซีนะ กะฟะรู เลา กานู มุสลิมีน
3,ซัรฮุม ยะอ์กุลู วะยะตะมัตตะอฺู วะยุลฮิฮิมุล อะมัล  ^  ฟะเสาฟะ ยะอฺ์ละมูน
4,วะมา อะฮ์ลักนา มิน กฺ็อรยะติน อิลลา วะละฮา กิตาบุม มะอฺ์ลูม
5,มา ตัสบิกฺุ มิน อุมมะติน อะญะละฮา วะมา ยัสตะอ์คิรูน
6,วะกฺอลู ยาอัยยุฮัล ละซี นุซซิละ อฺะลัยฮิซ ซิกรุ อินนะกะ ละมัจญ์นูน
7,เลา มา ตะอ์ตีนา บิลมะลาอิกะติ อิน กุนตะ มินัศ ศอดิกฺีน
8,มา นุนัซซิลุล มะลาอิกะตะ อิลลา บิลฮักฺกฺิ วะมา กานู อิซัม มุนเซฺาะรีน
9,อินนา นะห์นุ นัซซัลนัซ ซิกเราะ วะอินนา ละฮู ละฮาฟิซฺูน
10,วะละกฺ็อด อัรสัลนา มิน กฺ็อบลิกะ ฟี ชิยะอฺิล เอาวะลีน
11,วะมา ยะอ์ตีฮิม มิร เราะสูลิน อิลลา กานู บิฮี ยัสตะฮ์ซิอูน
12,กะซาลิกะ นัสลุกุฮู ฟี กฺุลูบิล มุจญ์ริมีน
13,ลา ยุอ์มินูนะ บิฮี วะกฺ็อด เคาะลัต สุนนะตุล เอาวะลีน
14,วะเลา ฟะตะห์นา อฺะลัยฮิม บาบัม มินัส สะมาอิ ฟะซฺ็อลลู ฟีฮิ ยะอฺ์รุญูน
15,ละกฺอลู อินนะมา สุกกิร็อต อับศอรุนา บัล นะห์นุ เกฺอ์ามุม มัสฮูรูน
16,วะละกฺ็อด ญะอฺัลนา ฟิส สะมาอิ บุรูเญา วะซัยยันนาฮา ลินนาซฺิรีน
17,วะฮะฟิซฺนาฮา มิน กุลลิ ชัยฏอนิร เราะญีม
18,อิลลา มะนิส ตะเราะกฺ็อส สัมอฺะ ฟะอัตบะอฺะฮู ชิฮาบุม มุบีน
19,วัลอัรเฎาะ มะดัดนาฮา วะอัลกฺ็อยนา ฟีฮา เราะวาสิยะ วะอัมบัตนา ฟีฮา มิน กุลลิ ชัยอิม เมาซูน
20,วะญะอฺัลนา ละกุม ฟีฮา มะอฺายิชะ วะมัล ลัสตุม ละฮู บิรอซิกฺีน
21,วะอิม มิน ชัยอิน อิลลา อฺินดะนา เคาะซาอินุฮู วะมา นุนัซซิลุฮู อิลลา บิเกฺาะดะริม มะอฺ์ลูม
22,วะอัรสัลนัร ริยาฮะ ละวากฺิฮะ ฟะอันซัลนา มินัส สะมาอิ มาอัน ฟะอัสกฺ็อยนากุมูฮุ วะมา อันตุม ละฮู บิคอซินีน
23,วะอินนา ละนะห์นุ นุห์ยี วะนุมีตุ วะนะห์นุล วาริษูน
24,วะละกฺ็อด อฺะลิมนัล มุสตักฺดิมีนะ มินกุม วะละกฺ็อด อฺะลิมนัล มุสตะอ์คิรีน
25,วะอินนะ ร็อบบะกะ ฮุวะ ยะห์ชุรุฮุม  ^  อินนะฮู ฮะกีมุน อฺะลีม
26,วะละกฺ็อด เคาะลักฺนัล อินสานะ มิน ศ็อลศอลิม มิน ฮะมะอิม มัสนูน
27,วัลญา-นนะ เคาะลักฺนาฮุ มิน กฺ็อบลุ มิน นาริส สะมูม
28,วะอิซ กฺอละ ร็อบบุกะ ลิลมะลาอิกะติ อินนี คอลิกฺุม บะชะร็อม มิน ศ็อลศอลิม มิน ฮะมะอิม มัสนูน
29,ฟะอิซา เสาวัยตุฮู วะนะฟัคตุ ฟีฮิ มิร รูฮี ฟะเกฺาะอฺู ละฮู สาญิดีน
30,ฟะสะญะดัล มะลาอิกะตุ กุลลุฮุม อัจญ์มะอฺูน
31,อิลลา อิบลีสะ อะบา อัย ยะกูนะ มะอฺัส สาญิดีน
32,กฺอละ ยาอิบลีสุ มา ละกะ อัลลา ตะกูนะ มะอฺัส สาญิดีน
33,กฺอละ ลัม อะกุล ลิอัสญุดะ ลิบะชะริน เคาะลักฺตะฮู มิน ศ็อลศอลิม มิน ฮะมะอิม มัสนูน
34,กฺอละ ฟัครุจญ์ มินฮา ฟะอินนะกะ เราะญีม
35,วะอินนะ อฺะลัยกัล ละอฺ์นะตะ อิลา เยามิด ดีน
36,กฺอละ ร็อบบิ ฟะอันซฺิรนี อิลา เยามิ ยุบอฺะษูน
37,กฺอละ ฟะอินนะกะ มินัล มุนเซฺาะรีน
38,อิลา เยามิล วักฺติล มะอฺ์ลูม
39,กฺอละ ร็อบบิ บิมา อัฆวัยตะนี ละอุซัยยินันนะ ละฮุม ฟิล อัรฎิ วะละอุฆวิยันนะฮุม อัจญ์มะอฺีน
40,อิลลา อฺิบาดะกะ มินฮุมุล มุคละศีน
41,กฺอละ ฮาซา ศิรอฏุน อฺะลัยยะ มุสตะกฺีม
42,อินนะ อฺิบาดี ลัยสะ ละกะ อฺะลัยฮิม สุลฏอนุน อิลลา มะนิต ตะบะอฺะกะ มินัล ฆอวีน
43,วะอินนะ ญะฮันนะมะ ละเมาอฺิดุฮุม อัจญ์มะอฺีน
44,ละฮา สับอฺะตุ อับวาบิล ลิกุลลิ บาบิม มินฮุม ญุซอุม มักฺสูม
45,อินนัล มุตตะกฺีนะ ฟี ญันนาติว วะอฺุยูน
46,อุดคุลูฮา บิสะลามิน อามินีน
47,วะนะซะอฺ์นา มา ฟี ศุดูริฮิม มิน ฆิลลิน อิควานัน อฺะลา สุรุริม มุตะกฺอบิลีน
48,ลา ยะมัสสุฮุม ฟีฮา นะเศาะบู วะมา ฮุม มินฮา บิมุคเราะญีน
49,นับบิอ์ อฺิบาดี อันนี อะนัล เฆาะฟูรุร เราะฮีม
50,วะอันนะ อฺะซาบี ฮุวัล อฺะซาบุล อะลีม
51,วะนับบิอ์ฮุม อฺัน ฎ็อยฟิ อิบรอฮีม
52,อิซ ดะเคาะลู อฺะลัยฮิ ฟะกฺอลู สะลามัน กฺอละ อินนา มินกุม วะญิลูน
53,กฺอลู ลา เตาญัล อินนา นุบัชชิรุกะ บิฆุลามิน อฺะลีม
54,กฺอละ อะบัชชัรตุมูนี อฺะลา อัม มัสสะนิยัล กิบะรุ ฟะบิมะ ตุบัชชิรูน
55,กฺอลู บัชชัรนากะ บิลฮักฺกฺิ ฟะลา ตะกุม มินัล กฺอนิฏีน
56,กฺอละ วะมัย ยักฺนะฏุ มิร เราะห์มะติ ร็อบบิฮี อิลลัฎ ฎอ-ลลูน
57,กฺอละ ฟะมา ค็อฏบุกุม อัยยุฮัล มุรสะลูน
58,กฺอลู อินนา อุรสิลนา อิลา เกฺอ์ามิม มุจญ์ริมีน
59,อิลลา อาละ ลูฏิน อินนา ละมุนัจญ์ญูฮุม อัจญ์มะอฺีน
60,อิลลัม เราะอะตะฮู กฺ็อดดัรนา อินนะฮา ละมินัล ฆอบิรีน
61,ฟะลัมมา ญาอะ อาละ ลูฏินิล มุรสะลูน
62,กฺอละ อินนะกุม เกฺอ์ามุม มุนกะรูน
63,กฺอลู บัล ญิอ์นากะ บิมา กานู ฟีฮิ ยัมตะรูน
64,วะอะตัยนากะ บิลฮักฺกฺิ วะอินนา ละศอดิกฺูน
65,ฟะอัสริ บิอะฮ์ลิกะ บิกฺิฏอฺิม มินัล ลัยลิ วัตตะบิอฺ์ อัดบาเราะฮุม วะลา ยัลตะฟิต มินกุม อะฮะดู วัมฎู ฮัยษุ ตุอ์มะรูน
66,วะเกฺาะฎ็อยนา อิลัยฮิ ซาลิกัล อัมเราะ อันนะ ดาบิเราะ ฮาอุลาอิ มักฺฏูอฺุม มุศบิฮีน
67,วะญาอะ อะฮ์ลุล มะดีนะติ ยัสตับชิรูน
68,กฺอละ อินนะ ฮาอุลาอิ ฎ็อยฟี ฟะลา ตัฟเฎาะฮูน
69,วัตตะกฺุล ลอฮะ วะลา ตุคซูน
70,กฺอลู อะวะ ลัม นันฮะกะ อฺะนิล อฺาละมีน
71,กฺอละ ฮาอุลาอิ บะนาตี อิน กุนตุม ฟาอฺิลีน
72,ละอฺัมรุกะ อินนะฮุม ละฟี สักเราะติฮิม ยะอฺ์มะฮูน
73,ฟะอะเคาะซัตฮุมุศ ศ็อยฮะตุ มุชริกฺีน
74,ฟะญะอฺัลนา อฺาลิยะฮา สาฟิละฮา วะอัมฏ็อรนา อฺะลัยฮิม ฮิญาเราะตัม มิน สิจญ์ญีล
75,อินนะ ฟี ซาลิกะ ละอายาติล ลิลมุตะวัสสิมีน
76,วะอินนะฮา ละบิสะบีลิม มุกฺีม
77,อินนะ ฟี ซาลิกะ ละอายะตัล ลิลมุอ์มินีน
78,วะอิน กานะ อัศฮาบุล อัยกะติ ละซฺอลิมีน
79,ฟันตะกฺ็อมนา มินฮุม วะอินนะฮุมา ละบิอิมามิม มุบีน
80,วะละกฺ็อด กัซซะบะ อัศฮาบุล ฮิจญ์ริล มุรสะลีน
81,วะอาตัยนาฮุม อายาตินา ฟะกานู อฺันฮา มุอฺ์ริฎีน
82,วะกานู ยันฮิตูนะ มินัล ญิบาลิ บุยูตัน อามินีน
83,ฟะอะเคาะซัตฮุมุศ ศ็อยฮะตุ มุศบิฮีน
84,ฟะมา อัฆนา อฺันฮุม มา กานู ยักสิบูน
85,วะมา เคาะลักฺนัส สะมาวาติ วัลอัรเฎาะ วะมา บัยนะฮุมา อิลลา บิลฮักฺกฺ์  ^  วะอินนัส สาอฺะตะ ละอาติยะฮ์  ^  ฟัศฟะฮิศ ศ็อฟฮัล ญะมีล
86,อินนะ ร็อบบะกะ ฮุวัล ค็อลลากฺุล อฺะลีม
87,วะละกฺ็อด อาตัยนากะ สับอฺัม มินัล มะษานี วัลกฺุรอานัล อฺะซฺีม
88,ลา ตะมุดดันนะ อฺัยนัยกะ อิลา มา มัตตะอฺ์นา บิฮี อัซวาญัม มินฮุม วะลา ตะห์ซัน อฺะลัยฮิม วัคฟิฎ ญะนาฮะกะ ลิลมุอ์มินีน
89,วะกฺุล อินนี อะนัน นะซีรุล มุบีน
90,กะมา อันซัลนา อฺะลัล มุกฺตะสิมีน
91,อัลละซีนะ ญะอฺะลุล กฺุรอานะ อฺิฎีน
92,ฟะวะร็อบบิกะ ละนัสอะลันนะฮุม อัจญ์มะอฺีน
93,อฺัมมา กานู ยะอฺ์มะลูน
94,ฟัศดะอฺ์ บิมา ตุอ์มะรุ วะอะอฺ์ริฎ อฺะนิล มุชริกีน
95,อินนา กะฟัยนากัล มุสตะฮ์ซิอีน
96,อัลละซีนะ ยัจญ์อฺะลูนะ มะอฺัล ลอฮิ อิลาฮัน อาค็อร  ^  ฟะเสาฟะ ยะอฺ์ละมูน
97,วะละกฺ็อด นะอฺ์ละมุ อันนะกะ ยะฎีกฺุ ศ็อดรุกะ บิมา ยะกฺูลูน
98,ฟะสับบิห์ บิฮัมดิ ร็อบบิกะ วะกุม มินัส สาญิดีน
99,วะอฺ์บุด ร็อบบะกะ ฮัตตา ยะอ์ติยะกัล ยะกฺีน
