id,t
1,อะตา อัมรุล ลอฮิ ฟะลา ตัสตะอฺ์ญิลูฮ์  ^  สุบฮานะฮู วะตะอฺาลา อฺัมมา ยุชริกูน
2,ยุนัซซิลุล มะลาอิกะตะ บิรรูฮิ มิน อัมริฮี อฺะลา มัย ยะชาอุ มิน อฺิบาดิฮี อัน อันซิรู อันนะฮู ลา อิลาฮะ อิลลา อะนะ ฟัตตะกฺูน
3,เคาะละกฺ็อส สะมาวาติ วัลอัรเฎาะ บิลฮักฺกฺ์  ^  ตะอฺาลา อฺัมมา ยุชริกูน
4,เคาะละกฺ็อล อินสานะ มิน นุฏฟะติน ฟะอิซา ฮุวะ เคาะศีมุม มุบีน
5,วัลอันอฺามะ เคาะละเกฺาะฮา  ^  ละกุม ฟีฮา ดิฟอู วะมะนาฟิอฺุ วะมินฮา ตะอ์กุลูน
6,วะละกุม ฟีฮา ญะมาลุน ฮีนะ ตุรีฮูนะ วะฮีนะ ตัสเราะฮูน
7,วะตะห์มิลุ อัษกฺอละกุม อิลา บะละดิล ลัม ตะกูนู บาลิฆีฮิ อิลลา บิชิกฺกฺิล อันฟุส  ^  อินนะ ร็อบบะกุม ละเราะอูฟุร เราะฮีม
8,วัลค็อยละ วัลบิฆอละ วัลฮะมีเราะ ลิตัรกะบูฮา วะซีนะฮ์  ^  วะยัคลุกฺุ มา ลา ตะอฺ์ละมูน
9,วะอฺะลัล ลอฮิ กฺ็อศดุส สะบีลิ วะมินฮา ญาอิร  ^  วะเลา ชาอะ ละฮะดากุม อัจญ์มะอฺีน
10,ฮุวัล ละซี อันซะละ มินัส สะมาอิ มาอา  ^  ละกุม มินฮุ ชะรอบู วะมินฮุ ชะญะรุน ฟีฮิ ตุสีมูน
11,ยุมบิตุ ละกุม บิฮิซ ซัรอฺะ วัซซัยตูนะ วันนะคีละ วัลอะอฺ์นาบะ วะมิน กุลลิษ ษะมะรอต  ^  อินนะ ฟี ซาลิกะ ละอายะตัล ลิเกฺอ์ามี ยะตะฟักกะรูน
12,วะสัคเคาะเราะ ละกุมุล ลัยละ วันนะฮาเราะ วัชชัมสะ วัลเกฺาะมัร  ^  วันนุญูมุ มุสัคเคาะรอตุม บิอัมริฮ์  ^  อินนะ ฟี ซาลิกะ ละอายาติล ลิเกฺอ์ามี ยะอฺ์กฺิลูน
13,วะมา ซะเราะอะ ละกุม ฟิล อัรฎิ มุคตะลิฟัน อัลวานุฮ์  ^  อินนะ ฟี ซาลิกะ ละอายะตัล ลิเกฺอ์ามี ยัซซักกะรูน
14,วะฮุวัล ละซี สัคเคาะร็อล บะห์เราะ ลิตะอ์กุลู มินฮุ ละห์มัน เฏาะรีย์เยา วะตัสตัคริญู มินฮุ ฮิลยะตัน ตัลบะสูนะฮา  ^  วะตะร็อล ฟุลกะ มะวาคิเราะ ฟีฮิ วะลิตับตะฆู มิน ฟัฎลิฮี วะละอฺัลละกุม ตัชกุรูน
15,วะอัลกฺอ ฟิล อัรฎิ เราะวาสิยะ อัน ตะมีดะ บิกุม วะอันฮาเรอ์า วะสุบุลัล ละอฺัลละกุม ตะฮ์ตะดูน
16,วะอฺะลามาต  ^  วะบินนัจญ์มิ ฮุม ยะฮ์ตะดูน
17,อะฟะมัย ยัคลุกฺุ กะมัล ลา ยัคลุกฺ  ^  อะฟะลา ตะซักกะรูน
18,วะอิน ตะอฺุดดู นิอฺ์มะตัล ลอฮิ ลา ตุห์ศูฮา  ^  อินนัล ลอฮะ ละเฆาะฟูรุร เราะฮีม
19,วัลลอฮุ ยะอฺ์ละมุ มา ตุสิรรูนะ วะมา ตุอฺ์ลินูน
20,วัลละซีนะ ยัดอฺูนะ มิน ดูนิล ลาฮิ ลา ยัคลุกฺูนะ ชัยเอา วะฮุม ยุคละกฺูน
21,อัมวาตุน ฆ็อยรุ อะห์ยาอ์  ^  วะมา ยัชอฺุรูนะ อัยยานะ ยุบอฺะษูน
22,อิลาฮุกุม อิลาฮู วาฮิด  ^  ฟัลละซีนะ ลา ยุอ์มินูนะ บิลอาคิเราะติ กฺุลูบุฮุม มุนกิเราะตู วะฮุม มุสตักบิรูน
23,ลา ญะเราะมะ อันนัล ลอฮะ ยะอฺ์ละมุ มา ยุสิรรูนะ วะมา ยุอฺ์ลินูน  ^  อินนะฮู ลา ยุฮิบบุล มุสตักบิรีน
24,วะอิซา กฺีละ ละฮุม มาซา อันซะละ ร็อบบุกุม กฺอลู อะสาฏีรุล เอาวะลีน
25,ลิยะห์มิลู เอาซาเราะฮุม กามิละตัย เยามัล กฺิยามะติ วะมิน เอาซาริล ละซีนะ ยุฎิลลูนะฮุม บิฆ็อยริ อฺิลม์  ^  อะลา สาอะ มา ยะซิรูน
26,กฺ็อด มะกะร็อล ละซีนะ มิน กฺ็อบลิฮิม ฟะอะตัล ลอฮุ บุนยานะฮุม มินัล เกฺาะวาอฺิดิ ฟะค็อรเราะ อฺะลัยฮิมุส สักฺฟุ มิน เฟากฺิฮิม วะอะตาฮุมุล อฺะซาบุ มิน ฮัยษุ ลา ยัชอฺุรูน
27,ษุมมะ เยามัล กฺิยามะติ ยุคซีฮิม วะยะกฺูลุ อัยนะ ชุเราะกาอิยัล ละซีนะ กุนตุม ตุชา-กฺกฺูนะ ฟีฮิม  ^  กฺอลัล ละซีนะ อูตุล อฺิลมะ อินนัล คิซยัล เยามะ วัสสูอะ อฺะลัล กาฟิรีน
28,อัลละซีนะ ตะตะวัฟฟาฮุมุล มะลาอิกะตุ ซฺอลิมี อันฟุสิฮิม  ^  ฟะอัลเกฺาะวุส สะละมะ มา กุนนา นะอฺ์มะลุ มิน สูอ์  ^  บะลา  ^  อินนัล ลอฮะ อฺะลีมุม บิมา กุนตุม ตะอฺ์มะลูน
29,ฟัดคุลู อับวาบะ ญะฮันนะมะ คอลิดีนะ ฟีฮา  ^  ฟะละบิอ์สะ มัษวัล มุตะกับบิรีน
30,วะกฺีละ ลิลละซีนัต ตะเกฺอ์า มาซา อันซะละ ร็อบบุกุม  ^  กฺอลู ค็อยรอ  ^  ลิลละซีนะ อะห์สะนู ฟี ฮาซิฮิด ดุนยา ฮะสะนะฮ์  ^  วะละดารุล อาคิเราะติ ค็อยร์  ^  วะละนิอฺ์มะ ดารุล มุตตะกฺีน
31,ญันนาตุ อฺัดนี ยัดคุลูนะฮา ตัจญ์รี มิน ตะห์ติฮัล อันฮาร  ^  ละฮุม ฟีฮา มา ยะชาอูน  ^  กะซาลิกะ ยัจญ์ซิล ลาฮุล มุตตะกฺีน
32,อัลละซีนะ ตะตะวัฟฟาฮุมุล มะลาอิกะตุ ฏ็อยยิบีนะ ยะกฺูลูนะ สะลามุน อฺะลัยกุมุด คุลุล ญันนะตะ บิมา กุนตุม ตะอฺ์มะลูน
33,ฮัล ยันซฺุรูนะ อิลลา อัน ตะอ์ติยะฮุมุล มะลาอิกะตุ เอา ยะอ์ติยะ อัมรุ ร็อบบิก  ^  กะซาลิกะ ฟะอฺะลัล ละซีนะ มิน กฺ็อบลิฮิม  ^  วะมา เซฺาะละมะฮุมุล ลอฮุ วะลากิน กานู อันฟุสะฮุม ยัซฺลิมูน
34,ฟะอะศอบะฮุม สัยยิอาตุ มา อฺะมิลู วะฮาเกฺาะ บิฮิม มา กานู บิฮี ยัสตะฮ์ซิอูน
35,วะกฺอลัล ละซีนะ อัชเราะกู เลา ชาอัล ลอฮุ มา อฺะบัดนา มิน ดูนิฮี มิน ชัยอิน นะห์นุ วะลา อาบาอุนา วะลา ฮัรร็อมนา มิน ดูนิฮี มิน ชัยอ์  ^  กะซาลิกะ ฟะอฺะลัล ละซีนะ มิน กฺ็อบลิฮิม  ^  ฟะฮัล อฺะลัร รุสุลิ อิลลัล บะลาฆุล มุบีน
36,วะละกฺ็อด บะอฺัษนา ฟี กุลลิ อุมมะติร เราะสูลัน อะนิอฺ์ บุดุล ลอฮะ วัจญ์ตะนิบุฏ ฏอฆูต  ^  ฟะมินฮุม มัน ฮะดัล ลอฮุ วะมินฮุม มัน ฮักฺกฺ็อต อฺะลัยฮิฎ เฎาะลาละฮ์  ^  ฟะสีรู ฟิล อัรฎิ ฟันซฺุรู กัยฟะ กานะ อฺากฺิบะตุล มุกัซซิบีน
37,อิน ตะห์ริศ อฺะลา ฮุดาฮุม ฟะอินนัล ลอฮะ ลา ยะฮ์ดี มัย ยุฎิลล์  ^  วะมา ละฮุม มิน นาศิรีน
38,วะอักฺสะมู บิลลาฮิ ญะฮ์ดะ อัยมานิฮิม ลา ยับอฺะษุล ลอฮุ มัย ยะมูต  ^  บะลา วะอฺ์ดัน อฺะลัยฮิ ฮักฺเกฺอ์า วะลากินนะ อักษะร็อน นาสิ ลา ยะอฺ์ละมูน
39,ลิยุบัยยินะ ละฮุมุล ละซี ยัคตะลิฟูนะ ฟีฮิ วะลิยะอฺ์ละมัล ละซีนะ กะฟะรู อันนะฮุม กานู กาซิบีน
40,อินนะมา เกฺอ์าลุนา ลิชัยอิน อิซา อะร็อดนาฮุ อัน นะกฺูละ ละฮู กุน ฟะยะกูน
41,วัลละซีนะ ฮาญะรู ฟิล ลาฮิ มิม บะอฺ์ดิ มา ซฺุลิมู ละนุเบาวิอันนะฮุม ฟิด ดุนยา ฮะสะนะฮ์  ^  วะละอัจญ์รุล อาคิเราะติ อักบัร  ^  เลา กานู ยะอฺ์ละมูน
42,อัลละซีนะ เศาะบะรู วะอฺะลา ร็อบบิฮิม ยะตะวักกะลูน
