id,t
1,สุบฮานัล ละซี อัสรอ บิอฺับดิฮี ลัยลัม มินัล มัสญิดิล ฮะรอมิ อิลัล มัสญิดิล อักฺศ็อล ละซี บาร็อกนา เฮาละฮู ลินุริยะฮู มิน อายาตินา  ^  อินนะฮู ฮุวัส สะมีอฺุล บะศีร
2,วะอาตัยนา มูสัล กิตาบะ วะญะอฺัลนาฮุ ฮุดัล ลิบะนี อิสรออีละ อัลลา ตัตตะคิซู มิน ดูนี วะกีลา
3,ซุรรีย์ยะตะ มัน ฮะมัลนา มะอฺะ นูห์  ^  อินนะฮู กานะ อฺับดัน ชะกูรอ
4,วะเกฺาะฎ็อยนา อิลา บะนี อิสรออีละ ฟิล กิตาบิ ละตุฟสิดุนนะ ฟิล อัรฎิ มัรเราะตัยนิ วะละตะอฺ์ลุนนะ อฺุลูว์วัน กะบีรอ
5,ฟะอิซา ญาอะ วะอฺ์ดุ อูลาฮุมา บะอฺัษนา อฺะลัยกุม อฺิบาดัล ละนา อุลี บะอ์สิน ชะดีดิน ฟะญาสู คิลาลัด ดิยาร  ^  วะกานะ วะอฺ์ดัม มัฟอฺูลา
6,ษุมมะ เราะดัดนา ละกุมุล กัรเราะตะ อฺะลัยฮิม วะอัมดัดนากุม บิอัมวาลิว วะบะนีนะ วะญะอฺัลนากุม อักษะเราะ นะฟีรอ
7,อิน อะห์สันตุม อะห์สันตุม ลิอันฟุสิกุม  ^  วะอิน อะสะอ์ตุม ฟะละฮา  ^  ฟะอิซา ญาอะ วะอฺ์ดุล อาคิเราะติ ลิยะสุอู วุญูฮะกุม วะลิยัดคุลุล มัสญิดะ กะมา ดะเคาะลูฮุ เอาวะละ มัรเราะติว วะลิยุตับบิรู มา อฺะเลา ตัตบีรอ
8,อฺะสา ร็อบบุกุม อัย ยัรฮะมะกุม  ^  วะอิน อฺุตตุม อฺุดนา  ^  วะญะอฺัลนา ญะฮันนะมะ ลิลกาฟิรีนะ ฮะศีรอ
9,อินนะ ฮาซัล กฺุรอานะ ยะฮ์ดี ลิลละตี ฮิยะ อักฺวะมุ วะยุบัชชิรุล มุอ์มินีนัล ละซีนะ ยะอฺ์มะลูนัศ ศอลิฮาติ อันนะ ละฮุม อัจญ์ร็อน กะบีรอ
10,วะอันนัล ละซีนะ ลา ยุอ์มินูนะ บิลอาคิเราะติ อะอฺ์ตัดนา ละฮุม อฺะซาบัน อะลีมา
11,วะยัดอฺุล อินสานุ บิชชัรริ ดุอฺาอะฮู บิลค็อยร์  ^  วะกานัล อินสานุ อฺะญูลา
12,วะญะอฺัลนัล ลัยละ วันนะฮาเราะ อายะตัยน์  ^  ฟะมะเฮานา อายะตัล ลัยลิ วะญะอฺัลนา อายะตัน นะฮาริ มุบศิเราะตัล ลิตับตะฆู ฟัฎลัม มิร ร็อบบิกุม วะลิตะอฺ์ละมู อฺะดะดัส สินีนะ วัลฮิสาบ  ^  วะกุลละ ชัยอิน ฟัศศ็อลนาฮุ ตัฟศีลา
13,วะกุลละ อินสานิน อัลซัมนาฮุ ฏออิเราะฮู ฟี อฺุนุกฺิฮ์  ^  วะนุคริญุ ละฮู เยามัล กฺิยามะติ กิตาบัย ยัลกฺอฮุ มันชูรอ
14,อิกฺเราะอ์ กิตาบะกะ กะฟา บินัฟสิกัล เยามะ อฺะลัยกะ ฮะสีบา
15,มะนิฮ์ ตะดา ฟะอินนะมา ยะฮ์ตะดี ลินัฟสิฮ์  ^  วะมัน ฎ็อลละ ฟะอินนะมา ยะฎิลลุ อฺะลัยฮา  ^  วะลา ตะซิรุ วาซิเราะตู วิซเราะ อุครอ  ^  วะมา กุนนา มุอฺัซซิบีนะ ฮัตตา นับอฺะษะ เราะสูลา
16,วะอิซา อะร็อดนา อัน นุฮ์ลิกะ กฺ็อรยะตัน อะมัรนา มุตเราะฟีฮา ฟะฟะสะกฺู ฟีฮา ฟะฮักฺเกฺาะ อฺะลัยฮัล เกฺอ์าลุ ฟะดัมมัรนาฮา ตัดมีรอ
17,วะกัม อะฮ์ลักนา มินัล กฺุรูนิ มิม บะอฺ์ดิ นูห์  ^  วะกะฟา บิร็อบบิกะ บิซุนูบิ อฺิบาดิฮี เคาะบีร็อม บะศีรอ
18,มัน กานะ ยุรีดุล อฺาญิละตะ อฺัจญ์ญัลนา ละฮู ฟีฮา มา นะชาอุ ลิมัน นุรีดุ ษุมมะ ญะอฺัลนา ละฮู ญะฮันนะมะ ยัศลาฮา มัซมูมัม มัดฮูรอ
19,วะมัน อะรอดัล อาคิเราะตะ วะสะอฺา ละฮา สะอฺ์ยะฮา วะฮุวะ มุอ์มินุน ฟะอุลาอิกะ กานะ สะอฺ์ยุฮุม มัชกูรอ
20,กุลลัน นุมิดดุ ฮาอุลาอิ วะฮาอุลาอิ มิน อฺะฏออิ ร็อบบิก  ^  วะมา กานะ อฺะฏออุ ร็อบบิกะ มะห์ซฺูรอ
21,อินซฺุร กัยฟะ ฟัฎฎ็อลนา บะอฺ์เฎาะฮุม อฺะลา บะอฺ์ฎ์  ^  วะลัลอาคิเราะตุ อักบะรุ ดะเราะญาติว วะอักบะรุ ตัฟฎีลา
22,ลา ตัจญ์อฺัล มะอฺัล ลอฮิ อิลาฮัน อาเคาะเราะ ฟะตักฺอฺุดะ มัซมูมัม มัคซูลา
23,วะเกฺาะฎอ ร็อบบุกะ อัลลา ตะอฺ์บุดู อิลลา อีย์ยาฮุ วะบิลวาลิดัยนิ อิห์สานา  ^  อิมมา ยับลุฆ็อนนะ อฺินดะกัล กิบะเราะ อะฮะดุฮุมา เอา กิลาฮุมา ฟะลา ตะกฺุล ละฮุมา อุฟฟิว วะลา ตันฮัรฮุมา วะกฺุล ละฮุมา เกฺอ์าลัน กะรีมา
24,วัคฟิฎ ละฮุมา ญะนาฮัซ ซุลลิ มินัร เราะห์มะติ วะกฺุร ร็อบบิร ฮัมฮุมา กะมา ร็อบบะยานี เศาะฆีรอ
25,ร็อบบุกุม อะอฺ์ละมุ บิมา ฟี นุฟูสิกุม  ^  อิน ตะกูนู ศอลิฮีนะ ฟะอินนะฮู กานะ ลิลเอาวาบีนะ เฆาะฟูรอ
26,วะอาติ ซัล กฺุรบา ฮักฺเกฺาะฮู วัลมิสกีนะ วับนัส สะบีลิ วะลา ตุบัซซิร ตับซีรอ
27,อินนัล มุบัซซิรีนะ กานู อิควานัช ชะยาฏีน  ^  วะกานัช ชัยฏอนุ ลิร็อบบิฮี กะฟูรอ
28,วะอิมมา ตุอฺ์ริฎ็อนนะ อฺันฮุมุบ ติฆออะ เราะห์มะติม มิร ร็อบบิกะ ตัรญูฮา ฟะกฺุล ละฮุม เกฺอ์าลัม มัยสูรอ
29,วะลา ตัจญ์อฺัล ยะดะกะ มัฆลูละตัน อิลา อฺุนุกฺิกะ วะลา ตับสุฏฮา กุลลัล บัสฏิ ฟะตักฺอฺุดะ มะลูมัม มะห์สูรอ
30,อินนะ ร็อบบะกะ ยับสุฏุร ริซเกฺาะ ลิมัย ยะชาอุ วะยักฺดิร  ^  อินนะฮู กานะ บิอฺิบาดิฮี เคาะบีร็อม บะศีรอ
31,วะลา ตักฺตุลู เอาลาดะกุม ค็อชยะตะ อิมลากฺ  ^  นะห์นุ นัรซุกฺุฮุม วะอีย์ยากุม  ^  อินนะ กฺ็อตละฮุม กานะ คิฏอัน กะบีรอ
32,วะลา ตักฺเราะบุซ ซินา  ^  อินนะฮู กานะ ฟาฮิชะเตา วะสาอะ สะบีลา
33,วะลา ตักฺตุลุน นัฟสัล ละตี ฮัรเราะมัล ลอฮุ อิลลา บิลฮักฺกฺ์  ^  วะมัน กฺุติละ มัซฺลูมัน ฟะกฺ็อด ญะอฺัลนา ลิวะลีย์ยิฮี สุลฏอนัน ฟะลา ยุสริฟ ฟิล กฺ็อตล์  ^  อินนะฮู กานะ มันศูรอ
