id,t
1,อัลฮัมดุ ลิลลาฮิล ละซี อันซะละ อฺะลา อฺับดิฮิล กิตาบะ วะลัม ยัจญ์อฺัล ละฮู อฺิวะญา
2,กฺ็อยยิมัล ลิยุนซิเราะ บะอ์สัน ชะดีดัม มิล ละดุนฮุ วะยุบัชชิร็อล มุอ์มินีนัล ละซีนะ ยะอฺ์มะลูนัศ ศอลิฮาติ อันนะ ละฮุม อัจญ์ร็อน ฮะสะนา
3,มากิษีนะ ฟีฮิ อะบะดา
4,วะยุนซิร็อล ละซีนะ กฺอลุต ตะเคาะซัล ลอฮุ วะละดา
5,มา ละฮุม บิฮี มิน อฺิลมิว วะลา ลิอาบาอิฮิม  ^  กะบุร็อต กะลิมะตัน ตัครุญุ มิน อัฟวาฮิฮิม  ^  อี ยะกฺูลูนะ อิลลา กะซิบา
6,ฟะละอฺัลละกะ บาคิอฺุน นัฟสะกะ อฺะลา อาษาริฮิม อิล ลัม ยุอ์มินู บิฮาซัล ฮะดีษิ อะสะฟา
7,อินนา ญะอฺัลนา มา อฺะลัล อัรฎิ ซีนะตัล ละฮา ลินับลุวะฮุม อัยยุฮุม อะห์สะนุ อฺะมะลา
8,วะอินนา ละญาอฺิลูนะ มา อฺะลัยฮา เศาะอฺีดัน ญุรุซา
9,อัม ฮะสิบตะ อันนะ อัศฮาบัล กะฮ์ฟิ วัรเราะกฺีมิ กานู มิน อายาตินา อฺะญะบา
10,อิซ อะวัล ฟิตยะตุ อิลัล กะฮ์ฟิ ฟะกฺอลู ร็อบบะนา อาตินา มิล ละดุนกะ เราะห์มะเตา วะฮัยยิอ์ ละนา มิน อัมรินา เราะชะดา
11,ฟะเฎาะร็อบนา อฺะลา อาซานิฮิม ฟิล กะฮ์ฟิ สินีนะ อฺะดะดา
12,ษุมมะ บะอฺัษนาฮุม ลินะอฺ์ละมะ อัยยุล ฮิซบัยนิ อะห์ศอ ลิมา ละบิษู อะมะดา
