id,t
1,กา-ฟ ฮา ยา อัย-น์ ศอ-ดศอ-ด
2,ซิกรุ เราะห์มะติ ร็อบบิกะ อฺับดะฮู ซะกะรีย์ยา
3,อิซ นาดา ร็อบบะฮู นิดาอัน เคาะฟีย์ยา
4,กฺอละ ร็อบบิ อินนี วะฮะนัล อฺัซฺมุ มินนี วัชตะอฺะลัร เราะอ์สุ ชัยเบา วะลัม อะกุม บิดุอฺาอิกะ ร็อบบิ ชะกฺีย์ยา
5,วะอินนี คิฟตุล มะวาลิยะ มิว วะรออี วะกานะติม เราะอะตี อฺากฺิร็อน ฟะฮับ ลี มิล ละดุนกะ วะลีย์ยา
6,ยะริษุนี วะยะริษุ มิน อาลิ ยะอฺ์กฺูบ  ^  วัจญ์อฺัลฮุ ร็อบบิ เราะฎีย์ยา
7,ยาซะกะรีย์ยา อินนา นุบัชชิรุกะ บิฆุลามินิส มุฮู ยะห์ยา ลัม นัจญ์อฺัล ละฮู มิน กฺ็อบลุ สะมีย์ยา
8,กฺอละ ร็อบบิ อันนา ยะกูนุ ลี ฆุลามู วะกานะติม เราะอะตี อฺากฺิเรอ์า วะกฺ็อด บะลัฆตุ มินัล กิบะริ อฺิตีย์ยา
9,กฺอละ กะซาลิกะ กฺอละ ร็อบบุกะ ฮุวะ อฺะลัยยะ ฮัยยินู วะกฺ็อด เคาะลักฺตุกะ มิน กฺ็อบลุ วะลัม ตะกุ ชัยอา
10,กฺอละ ร็อบบิจญ์ อฺัล ลี อายะฮ์  ^  กฺอละ อายะตุกะ อัลลา ตุกัลลิมัน นาสะ ษะลาษะ ละยาลิน สะวีย์ยา
11,ฟะเคาะเราะญะ อฺะลา เกฺอ์ามิฮี มินัล มิห์รอบิ ฟะเอาฮา อิลัยฮิม อัน สับบิฮู บุกเราะเตา วะอฺะชีย์ยา
12,ยายะห์ยา คุซิล กิตาบะ บิกฺูว์วะฮ์  ^  วะอาตัยนาฮุล ฮุกมะ เศาะบีย์ยา
13,วะฮะนานัม มิล ละดุนนา วะซะกาฮ์  ^  วะกานะ ตะกฺีย์ยา
14,วะบัรร็อม บิวาลิดัยฮิ วะลัม ยะกุน ญับบาร็อน อฺะศีย์ยา
15,วะสะลามุน อฺะลัยฮิ เยามะ วุลิดะ วะเยามะ ยะมูตุ วะเยามะ ยุบอฺะษุ ฮัยยา
16,วัซกุร ฟิล กิตาบิ มัรยะมะ อิซิน ตะบะซัต มิน อะฮ์ลิฮา มะกานัน ชัรกฺีย์ยา
17,ฟัตตะเคาะซัต มิน ดูนิฮิม ฮิญาบัน ฟะอัรสัลนา อิลัยฮา รูฮะนา ฟะตะมัษษะละ ละฮา บะชะร็อน สะวีย์ยา
18,กฺอลัต อินนี อะอฺูซุ บิรเราะห์มานิ มินกะ อิน กุนตะ ตะกฺีย์ยา
19,กฺอละ อินนะมา อะนะ เราะสูลุ ร็อบบิกิ ลิอะฮะบะ ละกิ ฆุลามัน ซะกีย์ยา
20,กฺอลัต อันนา ยะกูนุ ลี ฆุลามู วะลัม ยัมสัสนี บะชะรู วะลัม อะกุ บะฆีย์ยา
21,กฺอละ กะซาลิกิ กฺอละ ร็อบบุกิ ฮุวะ อฺะลัยยะ ฮัยยิน  ^  วะลินัจญ์อฺะละฮู อายะตัล ลินนาสิ วะเราะห์มะตัม มินนา  ^  วะกานะ อัมร็อม มักฺฎีย์ยา
22,ฟะฮะมะลัตฮุ ฟันตะบะซัต บิฮี มะกานัน เกฺาะศีย์ยา
23,ฟะอะญาอะฮัล มะคอฎุ อิลา ญิซอฺิน นัคละติ กฺอลัต ยาลัยตะนี มิตตุ กฺ็อบละ ฮาซา วะกุนตุ นัสยัม มันสีย์ยา
24,ฟะนาดาฮา มิน ตะห์ติฮา อัลลา ตะห์ซะนี กฺ็อด ญะอฺะละ ร็อบบุกิ ตะห์ตะกิ สะรีย์ยา
