id,t
1,อะลิฟ ลา-ม มี-ม
2,ซาลิกัล กิตาบุ ลา ร็อยบะ ฟีฮิ ฮุดัล ลิลมุตตะกฺีน
3,อัลละซีนะ ยุอ์มินูนะ บิลฆ็อยบิ วะยุกฺีมูนัศ เศาะลาตะ วะมิมมา เราะซักฺนาฮุม ยุนฟิกฺูน
4,วัลละซีนะ ยุอ์มินูนะ บิมา อุนซิละ อิลัยกะ วะมา อุนซิละ มิน กฺ็อบลิกะ วะบิลอาคิเราะติ ฮุม ยูกฺินูน
5,อุลาอิกะ อฺะลา ฮุดัม มิร ร็อบบิฮิม  ^  วะอุลาอิกะ ฮุมุล มุฟลิฮูน
6,อินนัล ละซีนะ กะฟะรู สะวาอุน อฺะลัยฮิม อะอันซัรตะฮุม อัม ลัม ตุนซิรฮุม ลา ยุอ์มินูน
7,เคาะตะมัล ลอฮุ อฺะลา กฺุลูบิฮิม วะอฺะลา สัมอฺิฮิม  ^  วะอฺะลา อับศอริฮิม ฆิชาวะฮ์  ^  วะละฮุม อฺะซาบุน อฺะซฺีม
8,วะมินัน นาสิ มัย ยะกฺูลุ อามันนา บิลลาฮิ วะบิลเยามิล อาคิริ วะมา ฮุม บิมุอ์มินีน
9,ยุคอดิอฺูนัล ลอฮะ วัลละซีนะ อามะนู วะมา ยัคดะอฺูนะ อิลลา อันฟุสะฮุม วะมา ยัชอฺุรูน
10,ฟี กฺุลูบิฮิม มะเราะฎุน ฟะซาดะฮุมุล ลอฮุ มะเราะฎอ  ^  วะละฮุม อฺะซาบุน อะลีมุม บิมา กานู ยักซิบูน
11,วะอิซา กฺีละ ละฮุม ลา ตุฟสิดู ฟิล อัรฎิ กฺอลู อินนะมา นะห์นุ มุศลิฮูน
12,อะลา อินนะฮุม ฮุมุล มุฟสิดูนะ วะลากิล ลา ยัชอฺุรูน
13,วะอิซา กฺีละ ละฮุม อามินู กะมา อามะนัน นาสุ กฺอลู อะนุอ์มินุ กะมา อามะนัส สุฟะฮาอ์  ^  อะลา อินนะฮุม ฮุมุส สุฟะฮาอุ วะลากิล ลา ยะอฺ์ละมูน
14,วะอิซา ละกฺุล ละซีนะ อามะนู กฺอลู อามันนา วะอิซา เคาะเลา อิลา ชะยาฏีนิฮิม กฺอลู อินนา มะอฺะกุม อินนะมา นะห์นุ มุสตะฮ์ซิอูน
15,อัลลอฮุ ยัสตะฮ์ซิอุ บิฮิม วะยะมุดดุฮุม ฟี ฏุฆยานิฮิม ยะอฺ์มะฮูน
16,อุลาอิกัล ละซีนัช ตะเราะวุฎ เฎาะลาละตะ บิลฮุดา ฟะมา เราะบิฮัต ติญาเราะตุฮุม วะมา กานู มุฮ์ตะดีน
17,มะษะลุฮุม กะมะษะลิล ละซิส เตาเกฺาะดะ นาร็อน ฟะลัมมา อะฎออัต มา เฮาละฮู ซะฮะบัล ลอฮุ บินูริฮิม วะตะเราะกะฮุม ฟี ซฺุลุมาติล ลา ยุบศิรูน
18,ศุมมุม บุกมุน อฺุมยุน ฟะฮุม ลา ยัรญิอฺูน
19,เอา กะศ็อยยิบิม มินัส สะมาอิ ฟีฮิ ซฺุลุมาตู วะเราะอฺ์ดู วะบัรกฺุย ยัจญ์อฺะลูนะ อะศอบิอฺะฮุม ฟี อาซานิฮิม มินัศ เศาะวาอฺิกฺิ ฮะซะร็อล เมาต์  ^  วัลลอฮุ มุฮีฏุม บิลกาฟิรีน
20,ยะกาดุล บัรกฺุ ยัคเฏาะฟุ อับศอเราะฮุม  ^  กุลละมา อะฎออะ ละฮุม มะเชา ฟีฮิ วะอิซา อัซฺละมะ อฺะลัยฮิม กฺอมู  ^  วะเลา ชาอัล ลอฮุ ละซะฮะบะ บิสัมอฺิฮิม วะอับศอริฮิม  ^  อินนัล ลอฮะ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
21,ยาอัยยุฮัน นาสุอฺ์ บุดู ร็อบบะกุมุล ละซี เคาะละเกฺาะกุม วัลละซีนะ มิน กฺ็อบลิกุม ละอฺัลละกุม ตัตตะกฺูน
22,อัลละซี ญะอฺะละ ละกุมุล อัรเฎาะ ฟิรอเชา วัสสะมาอะ บินาเอา วะอันซะละ มินัส สะมาอิ มาอัน ฟะอัคเราะญะ บิฮี มินัษ ษะมะรอติ ริซกฺ็อล ละกุม  ^  ฟะลา ตัจญ์อฺะลู ลิลลาฮิ อันดาเดา วะอันตุม ตะอฺ์ละมูน
23,วะอิน กุนตุม ฟี ร็อยบิม มิมมา นัซซัลนา อฺะลา อฺับดินา ฟะอ์ตู บิสูเราะติม มิม มิษลิฮี วัดอฺู ชุฮะดาอะกุม มิน ดูนิล ลาฮิ อิน กุนตุม ศอดิกฺีน
24,ฟะอิล ลัม ตัฟอฺะลู วะลัน ตัฟอฺะลู ฟัตตะกฺุน นาร็อล ละตี วะกฺูดุฮัน นาสุ วัลฮิญาเราะฮ์  ^  อุอฺิดดัต ลิลกาฟิรีน
25,วะบัชชิริล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ อันนะ ละฮุม ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮาร  ^  กุลละมา รุซิกฺู มินฮา มิน ษะมะเราะติร ริซกฺ็อน กฺอลู ฮาซัล ละซี รุซิกฺนา มิน กฺ็อบล์  ^  วะอุตู บิฮี มุตะชาบิฮา  ^  วะละฮุม ฟีฮา อัซวาญุม มุเฏาะฮ์ฮะเราะฮ์  ^  วะฮุม ฟีฮา คอลิดูน
