id,t
1,ฏอฮา
2,มา อันซัลนา อฺะลัยกัล กฺุรอานะ ลิตัชกฺอ
3,อิลลา ตัซกิเราะตัล ลิมัย ยัคชา
4,ตันซีลัม มิมมัน เคาะละกฺ็อล อัรเฎาะ วัสสะมาวาติล อฺุล
5,อัรเราะห์มานุ อฺะลัล อฺัรชิส ตะวา
6,ละฮู มา ฟิส สะมาวาติ วะมา ฟิล อัรฎิ วะมา บัยนะฮุมา วะมา ตะห์ตัษ ษะรอ
7,วะอิน ตัจญ์ฮัร บิลเกฺอ์าลิ ฟะอินนะฮู ยะอฺ์ละมุส สิรเราะ วะอัคฟ์
8,อัลลอฮุ ลา อิลาฮะ อิลลา ฮู  ^  ละฮุล อัสมาอุล ฮุสนา
9,วะฮัล อะตากะ ฮะดีษุ มูสา
10,อิซ เราะอา นาร็อน ฟะกฺอละ ลิอะฮ์ลิฮิม กุษู อินนี อานัสตุ นาร็อล ละอฺัลลี อาตีกุม มินฮา บิเกฺาะบะสิน เอา อะญิดุ อฺะลัน นาริ ฮุดา
11,ฟะลัมมา อะตาฮา นูดิยะ ยามูสา
12,อินนี อะนะ ร็อบบุกะ ฟัคละอฺ์ นะอฺ์ลัยกะ อินนะกะ บิลวาดิล มุกฺ็อดดะสิ ฏุวา
13,วะอะนัค ตัรตุกะ ฟัสตะมิอฺ์ ลิมา ยูฮา
14,อินนะนี อะนัล ลอฮุ ลา อิลาฮะ อิลลา อะนะ ฟะอฺ์บุดนี วะอะกฺิมิศ เศาะลาตะ ลิซิกรี
15,อินนัส สาอฺะตะ อาติยะตุน อะกาดุ อุคฟีฮา ลิตุจญ์ซา กุลลุ นัฟสิม บิมา ตัสอฺา
16,ฟะลา ยะศุดดันนะกะ อฺันฮา มัล ลา ยุอ์มินุ บิฮา วัตตะบะอฺะ ฮะวาฮุ ฟะตัรดา
17,วะมา ติลกะ บิยะมีนิกะ ยามูสา
18,กฺอละ ฮิยะ อฺะศอยะ อะตะวักกะอุ อฺะลัยฮา วะอะฮุชชุ บิฮา อฺะลา เฆาะนะมี วะลิยะ ฟีฮา มะอาริบุ อุครอ
