id,t
1,อิกฺตะเราะบะ ลินนาสิ ฮิสาบุฮุม วะฮุม ฟี ฆ็อฟละติม มุอฺ์ริฎูน
2,มา ยะอ์ตีฮิม มิน ซิกริม มิร ร็อบบิฮิม มุห์ดะษิน อิลลัส ตะมะอฺูฮุ วะฮุม ยัลอฺะบูน
3,ลาฮิยะตัน กฺุลูบุฮุม  ^  วะอะสัรรุน นัจญ์วัล ละซีนะ เซฺาะละมู ฮัล ฮาซา อิลลา บะชะรุม มิษลุกุม  ^  อะฟะตะอ์ตูนัส สิห์เราะ วะอันตุม ตุบศิรูน
4,กฺอละ ร็อบบี ยะอฺ์ละมุล เกฺอ์าละ ฟิส สะมาอิ วัลอัรฎ์  ^  วะฮุวัส สะมีอฺุล อฺะลีม
5,บัล กฺอลู อัฎฆอษุ อะห์ลามิม บะลิฟ ตะรอฮุ บัล ฮุวะ ชาอฺิรุน ฟัลยะอ์ตินา บิอายะติน กะมา อุรสิลัล เอาวะลูน
6,มา อามะนัต กฺ็อบละฮุม มิน กฺ็อรยะติน อะฮ์ลักนาฮา  ^  อะฟะฮุม ยุอ์มินูน
7,วะมา อัรสัลนา กฺ็อบละกะ อิลลา ริญาลัน นูฮี อิลัยฮิม  ^  ฟัสอะลู อะฮ์ลัซ ซิกริ อิน กุนตุม ลา ตะอฺ์ละมูน
8,วะมา ญะอฺัลนาฮุม ญะสะดัล ลา ยะอ์กุลูนัฏ เฏาะอฺามะ วะมา กานู คอลิดีน
9,ษุมมะ เศาะดักฺนาฮุมุล วะอฺ์ดะ ฟะอันญัยนาฮุม วะมัน นะชาอุ วะอะฮ์ลักนัล มุสริฟีน
10,ละกฺ็อด อันซัลนา อิลัยกุม กิตาบัน ฟีฮิ ซิกรุกุม  ^  อะฟะลา ตะอฺ์กฺิลูน
11,วะกัม เกฺาะศ็อมนา มิน กฺ็อรยะติน กานัต ซฺอลิมะเตา วะอันชะอ์นา บะอฺ์ดะฮา เกฺอ์ามัน อาเคาะรีน
12,ฟะลัมมา อะฮัสสู บะอ์สะนา อิซา ฮุม มินฮา ยัรกุฎูน
13,ลา ตัรกุฎู วัรญิอฺู อิลา มา อุตริฟตุม ฟีฮิ วะมะสากินิกุม ละอฺัลละกุม ตุสอะลูน
14,กฺอลู ยาวัยละนา อินนา กุนนา ซฺอลิมีน
15,ฟะมา ซาลัต ติลกะ ดะอฺ์วาฮุม ฮัตตา ญะอฺัลนาฮุม ฮะศีดัน คอมิดีน
16,วะมา เคาะลักฺนัส สะมาอะ วัลอัรเฎาะ วะมา บัยนะฮุมา ลาอฺิบีน
17,เลา อะร็อดนา อัน นัตตะคิซะ ละฮ์วัล ลัตตะค็อซนาฮุ มิล ละดุนนา อิน กุนนา ฟาอฺิลีน
18,บัล นักฺซิฟุ บิลฮักฺกฺิ อฺะลัล บาฏิลิ ฟะยัดมะฆุฮู ฟะอิซา ฮุวะ ซาฮิกฺ  ^  วะละกุมุล วัยลุ มิมมา ตะศิฟูน
19,วะละฮู มัน ฟิส สะมาวาติ วัลอัรฎ์  ^  วะมัน อฺินดะฮู ลา ยัสตักบิรูนะ อฺัน อฺิบาดะติฮี วะลา ยัสตะห์สิรูน
20,ยุสับบิฮูนัล ลัยละ วันนะฮาเราะ ลา ยัฟตุรูน
21,อะมิต ตะเคาะซู อาลิฮะตัม มินัล อัรฎิ ฮุม ยุนชิรูน
22,เลา กานะ ฟีฮิมา อาลิฮะตุน อิลลัล ลอฮุ ละฟะสะดะตา  ^  ฟะสุบฮานัล ลอฮิ ร็อบบิล อฺัรชิ อฺัมมา ยะศิฟูน
23,ลา ยุสอะลุ อฺัมมา ยัฟอฺะลุ วะฮุม ยุสอะลูน
24,อะมิต ตะเคาะซู มิน ดูนิฮี อาลิฮะฮ์  ^  กฺุล ฮาตู บุรฮานะกุม  ^  ฮาซา ซิกรุ มัม มะอฺิยะ วะซิกรุ มัน กฺ็อบลี  ^  บัล อักษะรุฮุม ลา ยะอฺ์ละมูนัล ฮักฺกฺ์  ^  ฟะฮุม มุอฺ์ริฎูน
25,วะมา อัรสัลนา มิน กฺ็อบลิกะ มิร เราะสูลิน อิลลา นูฮี อิลัยฮิ อันนะฮู ลา อิลาฮะ อิลลา อะนะ ฟะอฺ์บุดูน
