id,t
1,ยาอัยยุฮัน นาสุต ตะกฺู ร็อบบะกุม  ^  อินนะ ซัลซะละตัส สาอฺะติ ชัยอุน อฺะซฺีม
2,เยามะ ตะเรอ์านะฮา ตัซฮะลุ กุลลุ มุรฎิอฺะติน อฺัมมา อัรเฎาะอฺัต วะตะเฎาะอฺุ กุลลุ ซาติ ฮัมลิน ฮัมละฮา วะตะร็อน นาสะ สุการอ วะมา ฮุม บิสุการอ วะลากินนะ อฺะซาบัล ลอฮิ ชะดีด
3,วะมินัน นาสิ มัย ยุญาดิลุ ฟิล ลาฮิ บิฆ็อยริ อฺิลมิว วะยัตตะบิอฺุ กุลละ ชัยฏอนิม มะรีด
4,กุติบะ อฺะลัยฮิ อันนะฮู มัน ตะวัลลาฮุ ฟะอันนะฮู ยุฎิลลุฮู วะยะฮ์ดีฮิ อิลา อฺะซาบิส สะอฺีร
5,ยาอัยยุฮัน นาสุ อิน กุนตุม ฟี ร็อยบิม มินัล บะอฺ์ษิ ฟะอินนา เคาะลักฺนากุม มิน ตุรอบิน ษุมมะ มิน นุฏฟะติน ษุมมะ มิน อฺะละเกฺาะติน ษุมมะ มิม มุฎเฆาะติม มุค็อลละเกฺาะติว วะฆ็อยริ มุค็อลละเกฺาะติล ลินุบัยยินะ ละกุม  ^  วะนุกฺิรรุ ฟิล อัรฮามิ มา นะชาอุ อิลา อะญะลิม มุสัมมัน ษุมมะ นุคริญุกุม ฏิฟลัน ษุมมะ ลิตับลุฆู อะชุดดะกุม  ^  วะมินกุม มัย ยุตะวัฟฟา วะมินกุม มัย ยุร็อดดุ อิลา อัรซะลิล อฺุมุริ ลิกัยลา ยะอฺ์ละมะ มิม บะอฺ์ดิ อฺิลมิน ชัยอา  ^  วะตะร็อล อัรเฎาะ ฮามิดะตัน ฟะอิซา อันซัลนา อฺะลัยฮัล มาอะฮ์ ตัซซัต วะเราะบัต วะอัมบะตัต มิน กุลลิ เซาญิม บะฮีจญ์
6,ซาลิกะ บิอันนัล ลอฮะ ฮุวัล ฮักฺกฺุ วะอันนะฮู ยุห์ยิล เมาตา วะอันนะฮู อฺะลา กุลลิ ชัยอิน เกฺาะดีร
7,วะอันนัส สาอฺะตะ อาติยะตุล ลา ร็อยบะ ฟีฮา วะอันนัล ลอฮะ ยับอฺะษุ มัน ฟิล กฺุบูร
8,วะมินัน นาสิ มัย ยุญาดิลุ ฟิล ลาฮิ บิฆ็อยริ อฺิลมิว วะลา ฮุเดา วะลา กิตาบิม มุนีร
9,ษานิยะ อฺิฏฟิฮี ลิยุฎิลละ อฺัน สะบีลิล ลาฮ์  ^  ละฮู ฟิด ดุนยา คิซย์  ^  วะนุซีกฺุฮู เยามัล กฺิยามะติ อฺะซาบัล ฮะรีกฺ
10,ซาลิกะ บิมา กฺ็อดดะมัต ยะดากะ วะอันนัล ลอฮะ ลัยสะ บิซฺ็อลลามิล ลิลอฺะบีด
