id,t
1,กฺ็อด อัฟละฮัล มุอ์มินูน
2,อัลละซีนะ ฮุม ฟี เศาะลาติฮิม คอชิอฺูน
3,วัลละซีนะ ฮุม อฺะนิล ลัฆวิ มุอฺ์ริฎูน
4,วัลละซีนะ ฮุม ลิซซะกาติ ฟาอฺิลูน
5,วัลละซีนะ ฮุม ลิฟุรูญิฮิม ฮาฟิซฺูน
6,อิลลา อฺะลา อัซวาญิฮิม เอา มา มะละกัต อัยมานุฮุม ฟะอินนะฮุม ฆ็อยรุ มะลูมีน
7,ฟะมะนิบ ตะฆอ วะรออะ ซาลิกะ ฟะอุลาอิกะ ฮุมุล อฺาดูน
8,วัลละซีนะ ฮุม ลิอะมานาติฮิม วะอฺะฮ์ดิฮิม รออฺูน
9,วัลละซีนะ ฮุม อฺะลา เศาะละวาติฮิม ยุฮาฟิซฺูน
10,อุลาอิกะ ฮุมุล วาริษูน
11,อัลละซีนะ ยะริษูนัล ฟิรเดาสะ ฮุม ฟีฮา คอลิดูน
12,วะละกฺ็อด เคาะลักฺนัล อินสานะ มิน สุลาละติม มิน ฏีน
13,ษุมมะ ญะอฺัลนาฮุ นุฏฟะตัน ฟี เกฺาะรอริม มะกีน
14,ษุมมะ เคาะลักฺนัน นุฏฟะตะ อฺะละเกฺาะตัน ฟะเคาะลักฺนัล อฺะละเกฺาะตะ มุฎเฆาะตัน ฟะเคาะลักฺนัล มุฎเฆาะตะ อฺิซฺอมัน ฟะกะเสานัล อฺิซฺอมะ ละห์มัน ษุมมะ อันชะอ์นาฮุ ค็อลกฺ็อน อาค็อร  ^  ฟะตะบาเราะกัล ลอฮุ อะห์สะนุล คอลิกฺีน
15,ษุมมะ อินนะกุม บะอฺ์ดะ ซาลิกะ ละมัยยิตูน
16,ษุมมะ อินนะกุม เยามัล กฺิยามะติ ตุบอฺะษูน
17,วะละกฺ็อด เคาะลักฺนา เฟาเกฺาะกุม สับอฺะ เฏาะรออิเกฺาะ วะมา กุนนา อฺะนิล ค็อลกฺิ ฆอฟิลีน
18,วะอันซัลนา มินัส สะมาอิ มาอัม บิเกฺาะดะริน ฟะอัสกันนาฮุ ฟิล อัรฎ์  ^  วะอินนา อฺะลา ซะฮาบิม บิฮี ละกฺอดิรูน
19,ฟะอันชะอ์นา ละกุม บิฮี ญันนาติม มิน นะคีลิว วะอะอฺ์นาบิล ละกุม ฟีฮา ฟะวากิฮุ กะษีเราะตู วะมินฮา ตะอ์กุลูน
20,วะชะญะเราะตัน ตัครุญุ มิน ฏูริ สัยนาอะ ตัมบุตุ บิดดุฮ์นิ วะศิบฆิล ลิลอากิลีน
21,วะอินนะ ละกุม ฟิล อันอฺามิ ละอฺิบเราะฮ์  ^  นุสกฺีกุม มิมมา ฟี บุฏูนิฮา วะละกุม ฟีฮา มะนาฟิอฺุ กะษีเราะตู วะมินฮา ตะอ์กุลูน
22,วะอฺะลัยฮา วะอฺะลัล ฟุลกิ ตุห์มะลูน
23,วะละกฺ็อด อัรสัลนา นูฮัน อิลา เกฺอ์ามิฮี ฟะกฺอละ ยาเกฺอ์ามิอฺ์ บุดุล ลอฮะ มา ละกุม มิน อิลาฮิน ฆ็อยรุฮ์  ^  อะฟะลา ตัตตะกฺูน
24,ฟะกฺอลัล มะละอุล ละซีนะ กะฟะรู มิน เกฺอ์ามิฮี มา ฮาซา อิลลา บะชะรุม มิษลุกุม ยุรีดุ อัย ยะตะฟัฎเฎาะละ อฺะลัยกุม วะเลา ชาอัล ลอฮุ ละอันซะละ มะลาอิกะตัม มา สะมิอฺ์นา บิฮาซา ฟี อาบาอินัล เอาวะลีน
25,อิน ฮุวะ อิลลา เราะญุลุม บิฮี ญินนะตุน ฟะตะร็อบบะศู บิฮี ฮัตตา ฮีน
26,กฺอละ ร็อบบิน ศุรนี บิมา กัซซะบูน
27,ฟะเอาฮัยนา อิลัยฮิ อะนิศ นะอฺิล ฟุลกะ บิอะอฺ์ยุนินา วะวะห์ยินา ฟะอิซา ญาอะ อัมรุนา วะฟาร็อต ตันนูรุ ฟัสลุก ฟีฮา มิน กุลลิน เซาญัยนิษ นัยนิ วะอะฮ์ละกะ อิลลา มัน สะบะเกฺาะ อฺะลัยฮิล เกฺอ์าลุ มินฮุม  ^  วะลา ตุคอฏิบนี ฟิล ละซีนะ เซฺาะละมู อินนะฮุม มุฆเราะกฺูน
28,ฟะอิซัส ตะวัยตะ อันตะ วะมัม มะอฺะกะ อฺะลัล ฟุลกิ ฟะกฺุลิล ฮัมดุ ลิลลาฮิล ละซี นัจญ์ญานา มินัล เกฺอ์ามิซฺ ซฺอลิมีน
29,วะกฺุร ร็อบบิ อันซิลนี มุนซะลัม มุบาเราะเกา วะอันตะ ค็อยรุล มุนซิลีน
30,อินนะ ฟี ซาลิกะ ละอายาติว วะอิน กุนนา ละมุบตะลีน
31,ษุมมะ อันชะอ์นา มิม บะอฺ์ดิฮิม กฺ็อรนัน อาเคาะรีน
32,ฟะอัรสัลนา ฟีฮิม เราะสูลัม มินฮุม อะนิอฺ์ บุดุล ลอฮะ มา ละกุม มิน อิลาฮิน ฆ็อยรุฮ์  ^  อะฟะลา ตัตตะกฺูน
33,วะกฺอลัล มะละอุ มิน เกฺอ์ามิฮิล ละซีนะ กะฟะรู วะกัซซะบู บิลิกฺออิล อาคิเราะติ วะอัตร็อฟนาฮุม ฟิล ฮะยาติด ดุนยา มา ฮาซา อิลลา บะชะรุม มิษลุกุม ยะอ์กุลุ มิมมา ตะอ์กุลูนะ มินฮุ วะยัชเราะบุ มิมมา ตัชเราะบูน
34,วะละอิน อะเฏาะอฺ์ตุม บะชะร็อม มิษละกุม อินนะกุม อิซัล ละคอสิรูน
35,อะยะอฺิดุกุม อันนะกุม อิซา มิตตุม วะกุนตุม ตุรอเบา วะอฺิซฺอมัน อันนะกุม มุคเราะญูน
36,ฮัยฮาตะ ฮัยฮาตะ ลิมา ตูอฺะดูน
37,อิน ฮิยะ อิลลา ฮะยาตุนัด ดุนยา นะมูตุ วะนะห์ยา วะมา นะห์นุ บิมับอฺูษีน
38,อิน ฮุวะ อิลลา เราะญุลุนิฟ ตะรอ อฺะลัล ลอฮิ กะซิเบา วะมา นะห์นุ ละฮู บิมุอ์มินีน
39,กฺอละ ร็อบบิน ศุรนี บิมา กัซซะบูน
40,กฺอละ อฺัมมา เกฺาะลีลิล ละยุศบิฮุนนะ นาดิมีน
41,ฟะอะเคาะซัตฮุมุศ ศ็อยฮะตุ บิลฮักฺกฺิ ฟะญะอฺัลนาฮุม ฆุษาอา  ^  ฟะบุอฺ์ดัล ลิลเกฺอ์ามิซฺ ซฺอลิมีน
42,ษุมมะ อันชะอ์นา มิม บะอฺ์ดิฮิม กฺุรูนัน อาเคาะรีน
43,มา ตัสบิกฺุ มิน อุมมะติน อะญะละฮา วะมา ยัสตะอ์คิรูน
44,ษุมมะ อัรสัลนา รุสุละนา ตัตรอ  ^  กุลละ มา ญาอะ อุมมะตัร เราะสูลุฮา กัซซะบูฮ์  ^  ฟะอัตบะอฺ์นา บะอฺ์เฎาะฮุม บะอฺ์เฎอ์า วะญะอฺัลนาฮุม อะฮาดีษ  ^  ฟะบุอฺ์ดัล ลิเกฺอ์ามิล ลา ยุอ์มินูน
45,ษุมมะ อัรสัลนา มูสา วะอะคอฮุ ฮารูนะ บิอายาตินา วะสุลฏอนิม มุบีน
46,อิลา ฟิรเอฺานะ วะมะละอิฮี ฟัสตักบะรู วะกานู เกฺอ์ามัน อฺาลีน
47,ฟะกฺอลู อะนุอ์มินุ ลิบะชะร็อยนิ มิษลินา วะเกฺอ์ามุฮุมา ละนา อฺาบิดูน
48,ฟะกัซซะบูฮุมา ฟะกานู มินัล มุฮ์ละกีน
49,วะละกฺ็อด อาตัยนา มูสัล กิตาบะ ละอฺัลละฮุม ยะฮ์ตะดูน
50,วะญะอฺัลนับ นะ มัรยะมะ วะอุมมะฮู อายะเตา วะอาวัยนาฮุมา อิลา ร็อบวะติน ซาติ เกฺาะรอริว วะมะอฺีน
51,ยาอัยยุฮัร รุสุลุ กุลู มินัฏ ฏ็อยยิบาติ วะอฺ์มะลู ศอลิฮา  ^  อินนี บิมา ตะอฺ์มะลูนะ อฺะลีม
52,วะอินนะ ฮาซิฮี อุมมะตุกุม อุมมะเตา วาฮิดะเตา วะอะนะ ร็อบบุกุม ฟัตตะกฺูน
53,ฟะตะกฺ็อฏเฏาะอฺู อัมเราะฮุม บัยนะฮุม ซุบุรอ  ^  กุลลุ ฮิซบิม บิมา ละดัยฮิม ฟะริฮูน
54,ฟะซัรฮุม ฟี ฆ็อมเราะติฮิม ฮัตตา ฮีน
55,อะยะห์สะบูนะ อันนะมา นุมิดดุฮุม บิฮี มิม มาลิว วะบะนีน
56,นุสาริอฺุ ละฮุม ฟิล ค็อยรอต  ^  บัล ลา ยัชอฺุรูน
57,อินนัล ละซีนะ ฮุม มิน ค็อชยะติ ร็อบบิฮิม มุชฟิกฺูน
58,วัลละซีนะ ฮุม บิอายาติ ร็อบบิฮิม ยุอ์มินูน
59,วัลละซีนะ ฮุม บิร็อบบิฮิม ลา ยุชริกูน
60,วัลละซีนะ ยุอ์ตูนะ มา อาเตา วะกฺุลูบุฮุม วะญิละตุน อันนะฮุม อิลา ร็อบบิฮิม รอญิอฺูน
61,อุลาอิกะ ยุสาริอฺูนะ ฟิล ค็อยรอติ วะฮุม ละฮา สาบิกฺูน
62,วะลา นุกัลลิฟุ นัฟสัน อิลลา วุสอฺะฮา  ^  วะละดัยนา กิตาบุย ยันฏิกฺุ บิลฮักฺกฺิ วะฮุม ลา ยุซฺละมูน
63,บัล กฺุลูบุฮุม ฟี ฆ็อมเราะติม มิน ฮาซา วะละฮุม อะอฺ์มาลุม มิน ดูนิ ซาลิกะ ฮุม ละฮา อฺามิลูน
64,ฮัตตา อิซา อะค็อซนา มุตเราะฟีฮิม บิลอฺะซาบิ อิซา ฮุม ยัจญ์อะรูน
65,ลา ตัจญ์อะรุล เยาม์  ^  อินนะกุม มินนา ลา ตุนเศาะรูน
66,กฺ็อด กานัต อายาตี ตุตลา อฺะลัยกุม ฟะกุนตุม อฺะลา อะอฺ์กฺอบิกุม ตันกิศูน
67,มุสตักบิรีนะ บิฮี สามิร็อน ตะฮ์ญุรูน
68,อะฟะลัม ยัดดับบะรุล เกฺอ์าละ อัม ญาอะฮุม มา ลัม ยะอ์ติ อาบาอะฮุมุล เอาวะลีน
69,อัม ลัม ยะอฺ์ริฟู เราะสูละฮุม ฟะฮุม ละฮู มุนกิรูน
70,อัม ยะกฺูลูนะ บิฮี ญินนะฮ์  ^  บัล ญาอะฮุม บิลฮักฺกฺิ วะอักษะรุฮุม ลิลฮักฺกฺิ การิฮูน
71,วะละวิต ตะบะอฺัล ฮักฺกฺุ อะฮ์วาอะฮุม ละฟะสะดะติส สะมาวาตุ วัลอัรฎุ วะมัน ฟีฮินน์  ^  บัล อะตัยนาฮุม บิซิกริฮิม ฟะฮุม อฺัน ซิกริฮิม มุอฺ์ริฎูน
72,อัม ตัสอะลุฮุม ค็อรญัน ฟะเคาะรอญุ ร็อบบิกะ ค็อยร์  ^  วะฮุวะ ค็อยรุร รอซิกฺีน
73,วะอินนะกะ ละตัดอฺูฮุม อิลา ศิรอฏิม มุสตะกฺีม
74,วะอินนัล ละซีนะ ลา ยุอ์มินูนะ บิลอาคิเราะติ อฺะนิศ ศิรอฏิ ละนากิบูน
75,วะเลา เราะฮิมนาฮุม วะกะชัฟนา มา บิฮิม มิน ฎุรริล ละลัจญ์ญู ฟี ฏุฆยานิฮิม ยะอฺ์มะฮูน
76,วะละกฺ็อด อะค็อซนาฮุม บิลอฺะซาบิ ฟะมัส ตะกานู ลิร็อบบิฮิม วะมา ยะตะฎ็อรเราะอฺูน
77,ฮัตตา อิซา ฟะตะห์นา อฺะลัยฮิม บาบัน ซา อฺะซาบิน ชะดีดิน อิซา ฮุม ฟีฮิ มุบลิสูน
78,วะฮุวัล ละซี อันชะอะ ละกุมุส สัมอฺะ วัลอับศอเราะ วัลอัฟอิดะฮ์  ^  เกฺาะลีลัม มา ตัชกุรูน
79,วะฮุวัล ละซี ซะเราะอะกุม ฟิล อัรฎิ วะอิลัยฮิ ตุห์ชะรูน
80,วะฮุวัล ละซี ยุห์ยี วะยุมีตุ วะละฮุค ติลาฟุล ลัยลิ วันนะฮาร  ^  อะฟะลา ตะอฺ์กฺิลูน
81,บัล กฺอลู มิษละ มา กฺอลัล เอาวะลูน
82,กฺอลู อะอิซา มิตนา วะกุนนา ตุรอเบา วะอฺิซฺอมัน อะอินนา ละมับอฺูษูน
83,ละกฺ็อด วุอฺิดนา นะห์นุ วะอาบาอุนา ฮาซา มิน กฺ็อบลุ อิน ฮาซา อิลลา อะสาฏีรุล เอาวะลีน
84,กฺุล ลิมะนิล อัรฎุ วะมัน ฟีฮา อิน กุนตุม ตะอฺ์ละมูน
85,สะยะกฺูลูนะ ลิลลาฮ์  ^  กฺุล อะฟะลา ตะซักกะรูน
