id,t
1,สูเราะตุน อันซัลนาฮา วะฟะร็อฎนาฮา วะอันซัลนา ฟีฮา อายาติม บัยยินาติล ละอฺัลละกุม ตะซักกะรูน
2,อัซซานิยะตุ วัซซานี ฟัจญ์ลิดู กุลละ วาฮิดิม มินฮุมา มิอะตะ ญัลดะฮ์  ^  วะลา ตะอ์คุซกุม บิฮิมา เราะอ์ฟะตุน ฟี ดีนิล ลาฮิ อิน กุนตุม ตุอ์มินูนะ บิลลาฮิ วัลเยามิล อาคิร  ^  วัลยัชฮัด อฺะซาบะฮุมา ฏออิฟะตุม มินัล มุอ์มินีน
3,อัซซานี ลา ยันกิฮุ อิลลา ซานิยะตัน เอา มุชริกะเตา วัซซานิยะตุ ลา ยันกิฮุฮา อิลลา ซานิน เอา มุชริก  ^  วะฮุรริมะ ซาลิกะ อฺะลัล มุอ์มินีน
4,วัลละซีนะ ยัรมูนัล มุห์เศาะนาติ ษุมมะ ลัม ยะอ์ตู บิอัรบะอฺะติ ชุฮะดาอะ ฟัจญ์ลิดูฮุม ษะมานีนะ ญัลดะเตา วะลา ตักฺบะลู ละฮุม ชะฮาดะตัน อะบะดา  ^  วะอุลาอิกะ ฮุมุล ฟาสิกฺูน
5,อิลลัล ละซีนะ ตาบู มิม บะอฺ์ดิ ซาลิกะ วะอัศละฮู ฟะอินนัล ลอฮะ เฆาะฟูรุร เราะฮีม
6,วัลละซีนะ ยัรมูนะ อัซวาญะฮุม วะลัม ยะกุล ละฮุม ชุฮะดาอุ อิลลา อันฟุสุฮุม ฟะชะฮาดะตุ อะฮะดิฮิม อัรบะอฺุ ชะฮาดาติม บิลลาฮิ อินนะฮู ละมินัศ ศอดิกฺีน
7,วัลคอมิสะตุ อันนะ ละอฺ์นะตัล ลอฮิ อฺะลัยฮิ อิน กานะ มินัล กาซิบีน
8,วะยัดเราะอุ อฺันฮัล อฺะซาบะ อัน ตัชฮะดะ อัรบะอฺะ ชะฮาดาติม บิลลาฮิ อินนะฮู ละมินัล กาซิบีน
9,วัลคอมิสะตะ อันนะ เฆาะเฎาะบัล ลอฮิ อฺะลัยฮา อิน กานะ มินัศ ศอดิกฺีน
10,วะเลาลา ฟัฎลุล ลอฮิ อฺะลัยกุม วะเราะห์มะตุฮู วะอันนัล ลอฮะ เตาวาบุน ฮะกีม
11,อินนัล ละซีนะ ญาอู บิลอิฟกิ อฺุศบะตุม มินกุม  ^  ลา ตะห์สะบูฮุ ชัรร็อล ละกุม  ^  บัล ฮุวะ ค็อยรุล ละกุม  ^  ลิกุลลิม รีอิม มินฮุม มัก ตะสะบะ มินัล อิษม์  ^  วัลละซี ตะวัลลา กิบเราะฮู มินฮุม ละฮู อฺะซาบุน อฺะซฺีม
12,เลาลา อิซ สะมิอฺ์ตุมูฮุ ซฺ็อนนัล มุอ์มินูนะ วัลมุอ์มินาตุ บิอันฟุสิฮิม ค็อยเรอ์า วะกฺอลู ฮาซา อิฟกุม มุบีน
13,เลาลา ญาอู อฺะลัยฮิ บิอัรบะอฺะติ ชุฮะดาอ์  ^  ฟะอิซ ลัม ยะอ์ตู บิชชุฮะดาอิ ฟะอุลาอิกะ อฺินดัล ลอฮิ ฮุมุล กาซิบูน
