id,t
1,ตะบาเราะกัล ละซี นัซซะลัล ฟุรกฺอนะ อฺะลา อฺับดิฮี ลิยะกูนะ ลิลอฺาละมีนะ นะซีรอ
2,อัลละซี ละฮู มุลกุส สะมาวาติ วัลอัรฎิ วะลัม ยัตตะคิซ วะละเดา วะลัม ยะกุล ละฮู ชะรีกุน ฟิล มุลกิ วะเคาะละเกฺาะ กุลละ ชัยอิน ฟะกฺ็อดดะเราะฮู ตักฺดีรอ
3,วัตตะเคาะซู มิน ดูนิฮี อาลิฮะตัล ลา ยัคลุกฺูนะ ชัยเอา วะฮุม ยุคละกฺูนะ วะลา ยัมลิกูนะ ลิอันฟุสิฮิม ฎ็อรเรอ์า วะลา นัฟเอฺา วะลา ยัมลิกูนะ เมาเตา วะลา ฮะยาเตา วะลา นุชูรอ
4,วะกฺอลัล ละซีนะ กะฟะรู อิน ฮาซา อิลลา อิฟกุนิฟ ตะรอฮุ วะอะอฺานะฮู อฺะลัยฮิ เกฺอ์ามุน อาเคาะรูน  ^  ฟะกฺ็อด ญาอู ซฺุลเมา วะซูรอ
5,วะกฺอลู อะสาฏีรุล เอาวะลีนัก ตะตะบะฮา ฟะฮิยะ ตุมลา อฺะลัยฮิ บุกเราะเตา วะอะศีลา
6,กฺุล อันซะละฮุล ละซี ยะอฺ์ละมุส สิรเราะ ฟิส สะมาวาติ วัลอัรฎ์  ^  อินนะฮู กานะ เฆาะฟูร็อร เราะฮีมา
7,วะกฺอลู มาลิ ฮาซัร เราะสูลิ ยะอ์กุลุฏ เฏาะอฺามะ วะยัมชี ฟิล อัสวากฺิ เลาลา อุนซิละ อิลัยฮิ มะละกุน ฟะยะกูนะ มะอฺะฮู นะซีรอ
8,เอา ยุลกฺอ อิลัยฮิ กันซุน เอา ตะกูนุ ละฮู ญันนะตุย ยะอ์กุลุ มินฮา  ^  วะกฺอลัซฺ ซฺอลิมูนะ อิน ตัตตะบิอฺูนะ อิลลา เราะญุลัม มัสฮูรอ
9,อินซฺุร กัยฟะ เฎาะเราะบู ละกัล อัมษาละ ฟะฎ็อลลู ฟะลา ยัสตะฏีอฺูนะ สะบีลา
10,ตะบาเราะกัล ละซี อิน ชาอะ ญะอฺะละ ละกะ ค็อยร็อม มิน ซาลิกะ ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮารุ วะยัจญ์อฺัล ละกะ กฺุศูรอ
11,บัล กัซซะบู บิสสาอฺะฮ์  ^  วะอะอฺ์ตัดนา ลิมัน กัซซะบะ บิสสาอฺะติ สะอฺีรอ
12,อิซา เราะอัตฮุม มิม มะกานิม บะอฺีดิน สะมิอฺู ละฮา ตะฆ็อยยุเซฺอ์า วะซะฟีรอ
13,วะอิซา อุลกฺู มินฮา มะกานัน ฎ็อยยิกฺ็อม มุกฺ็อรเราะนีนะ ดะเอฺา ฮุนาลิกะ ษุบูรอ
14,ลา ตัดอฺุล เยามะ ษุบูเรอ์า วาฮิเดา วัดอฺู ษุบูร็อน กะษีรอ
15,กฺุล อะซาลิกะ ค็อยรุน อัม ญันนะตุล คุลดิล ละตี วุอฺิดัล มุตตะกฺูน  ^  กานัต ละฮุม ญะซาเอา วะมะศีรอ
16,ละฮุม ฟีฮา มา ยะชาอูนะ คอลิดีน  ^  กานะ อฺะลา ร็อบบิกะ วะอฺ์ดัม มัสอูลา
17,วะเยามะ ยะห์ชุรุฮุม วะมา ยะอฺ์บุดูนะ มิน ดูนิล ลาฮิ ฟะยะกฺูลุ อะอันตุม อัฎลัลตุม อฺิบาดี ฮาอุลาอิ อัม ฮุม ฎ็อลลุส สะบีล
18,กฺอลู สุบฮานะกะ มา กานะ ยัมบะฆี ละนา อัน นัตตะคิซะ มิน ดูนิกะ มิน เอาลิยาอะ วะลากิม มัตตะอฺ์ตะฮุม วะอาบาอะฮุม ฮัตตา นะสุซ ซิกเราะ วะกานู เกฺอ์ามัม บูรอ
19,ฟะกฺ็อด กัซซะบูกุม บิมา ตะกฺูลูนะ ฟะมา ตัสตะฏีอฺูนะ ศ็อรเฟา วะลา นัศรอ  ^  วะมัย ยัซฺลิม มินกุม นุซิกฺฮุ อฺะซาบัน กะบีรอ
20,วะมา อัรสัลนา กฺ็อบละกะ มินัล มุรสะลีนะ อิลลา อินนะฮุม ละยะอ์กุลูนัฏ เฏาะอฺามะ วะยัมชูนะ ฟิล อัสวากฺ  ^  วะญะอฺัลนา บะอฺ์เฎาะกุม ลิบะอฺ์ฎิน ฟิตนะตัน อะตัศบิรูน  ^  วะกานะ ร็อบบุกะ บะศีรอ
21,วะกฺอลัล ละซีนะ ลา ยัรญูนะ ลิกฺออะนา เลาลา อุนซิละ อฺะลัยนัล มะลาอิกะตุ เอา นะรอ ร็อบบะนา  ^  ละเกฺาะดิส ตักบะรู ฟี อันฟุสิฮิม วะอฺะเตา อฺุตูว์วัน กะบีรอ
22,เยามะ ยะเรอ์านัล มะลาอิกะตะ ลา บุชรอ เยามะอิซิล ลิลมุจญ์ริมีนะ วะยะกฺูลูนะ ฮิจญ์ร็อม มะห์ญูรอ
23,วะเกฺาะดิมนา อิลา มา อฺะมิลู มิน อฺะมะลิน ฟะญะอฺัลนาฮุ ฮะบาอัม มันษูรอ
24,อัศฮาบุล ญันนะติ เยามะอิซิน ค็อยรุม มุสตะกฺ็อรเรอ์า วะอะห์สะนุ มะกฺีลา
25,วะเยามะ ตะชักฺเกฺาะกฺุส สะมาอุ บิลเฆาะมามิ วะนุซซิลัล มะลาอิกะตุ ตันซีลา
26,อัลมุลกุ เยามะอิซินิล ฮักฺกฺุ ลิรเราะห์มาน  ^  วะกานะ เยามัน อฺะลัล กาฟิรีนะ อฺะสีรอ
27,วะเยามะ ยะอฺัฎฎุซฺ ซฺอลิมุ อฺะลา ยะดัยฮิ ยะกฺูลุ ยาลัยตะนิต ตะค็อซตุ มะอฺัร เราะสูลิ สะบีลา
28,ยาวัยละตา ลัยตะนี ลัม อัตตะคิซ ฟุลานัน เคาะลีลา
29,ละกฺ็อด อะฎ็อลละนี อฺะนิซ ซิกริ บะอฺ์ดะ อิซ ญาอะนี  ^  วะกานัช ชัยฏอนุ ลิลอินสานิ เคาะซูลา
30,วะกฺอลัร เราะสูลุ ยาร็อบบิ อินนะ เกฺอ์ามิต ตะเคาะซู ฮาซัล กฺุรอานะ มะฮ์ญูรอ
31,วะกะซาลิกะ ญะอฺัลนา ลิกุลลิ นะบีย์ยิน อฺะดูว์วัม มินัล มุจญ์ริมีน  ^  วะกะฟา บิร็อบบิกะ ฮาดิเยา วะนะศีรอ
32,วะกฺอลัล ละซีนะ กะฟะรู เลาลา นุซซิละ อฺะลัยฮิล กฺุรอานุ ญุมละเตา วาฮิดะฮ์  ^  กะซาลิกะ ลินุษับบิตะ บิฮี ฟุอาดัก  ^  วะร็อตตัลนาฮุ ตัรตีลา
33,วะลา ยะอ์ตูนะกะ บิมะษะลิน อิลลา ญิอ์นากะ บิลฮักฺกฺิ วะอะห์สะนะ ตัฟสีรอ
34,อัลละซีนะ ยุห์ชะรูนะ อฺะลา วุญูฮิฮิม อิลา ญะฮันนะมะ อุลาอิกะ ชัรรุม มะกาเนา วะอะฎ็อลลุ สะบีลา
35,วะละกฺ็อด อาตัยนา มูสัล กิตาบะ วะญะอฺัลนา มะอฺะฮู อะคอฮุ ฮารูนะ วะซีรอ
36,ฟะกฺุลนัซ ฮะบา อิลัล เกฺอ์ามิล ละซีนะ กัซซะบู บิอายาตินา ฟะดัมมัรนาฮุม ตัดมีรอ
