id,t
1,ฏอ สี-ม มีม
2,ติลกะ อายาตุล กิตาบิล มุบีน
3,ละอฺัลละกะ บาคิอฺุน นัฟสะกะ อัลลา ยะกูนู มุอ์มินีน
4,อิน นะชะอ์ นุนัซซิล อฺะลัยฮิม มินัส สะมาอิ อายะตัน ฟะซฺ็อลลัต อะอฺ์นากฺุฮุม ละฮา คอฎิอฺีน
5,วะมา ยะอ์ตีฮิม มิน ซิกริม มินัร เราะห์มานิ มุห์ดะษิน อิลลา กานู อฺันฮุ มุอฺ์ริฎีน
6,ฟะกฺ็อด กัซซะบู ฟะสะยะอ์ตีฮิม อัมบาอุ มา กานู บิฮี ยัสตะฮ์ซิอูน
7,อะวะ ลัม ยะเรอ์า อิลัล อัรฎิ กัม อัมบัตนา ฟีฮา มิน กุลลิ เซาญิน กะรีม
8,อินนะ ฟี ซาลิกะ ละอายะฮ์  ^  วะมา กานะ อักษะรุฮุม มุอ์มินีน
9,วะอินนะ ร็อบบะกะ ละฮุวัล อฺะซีซุร เราะฮีม
10,วะอิซ นาดา ร็อบบุกะ มูสา อะนิอ์ ติล เกฺอ์ามัซฺ ซฺอลิมีน
11,เกฺอ์ามะ ฟิรเอฺาน์  ^  อะลา ยัตตะกฺูน
12,กฺอละ ร็อบบิ อินนี อะคอฟุ อัย ยุกัซซิบูน
13,วะยะฎีกฺุ ศ็อดรี วะลา ยันเฏาะลิกฺุ ลิสานี ฟะอัรสิล อิลา ฮารูน
14,วะละฮุม อฺะลัยยะ ซัมบุน ฟะอะคอฟุ อัย ยักฺตุลูน
15,กฺอละ กัลลา  ^  ฟัซฮะบา บิอายาตินา  ^  อินนา มะอฺะกุม มุสตะมิอฺูน
16,ฟะอ์ติยา ฟิรเอฺานะ ฟะกฺูลา อินนา เราะสูลุ ร็อบบิล อฺาละมีน
17,อัน อัรสิล มะอฺะนา บะนี อิสรออีล
18,กฺอละ อะลัม นุร็อบบิกะ ฟีนา วะลีเดา วะละบิษตะ ฟีนา มิน อฺุมุริกะ สินีน
19,วะฟะอฺัลตะ ฟะอฺ์ละตะกัล ละตี ฟะอฺัลตะ วะอันตะ มินัล กาฟิรีน
20,กฺอละ ฟะอฺัลตุฮา อิเซา วะอะนะ มินัฎ ฎอ-ลลีน
21,ฟะฟะร็อรตุ มินกุม ลัมมา คิฟตุกุม ฟะวะฮะบะ ลี ร็อบบี ฮุกเมา วะญะอฺะละนี มินัล มุรสะลีน
22,วะติลกะ นิอฺ์มะตุน ตะมุนนุฮา อฺะลัยยะ อัน อฺับบัตตะ บะนี อิสรออีล
23,กฺอละ ฟิรเอฺานุ วะมา ร็อบบุล อฺาละมีน
24,กฺอละ ร็อบบุส สะมาวาติ วัลอัรฎิ วะมา บัยนะฮุมา  ^  อิน กุนตุม มูกฺินีน
25,กฺอละ ลิมัน เฮาละฮู อะลา ตัสตะมิอฺูน
26,กฺอละ ร็อบบุกุม วะร็อบบุ อาบาอิกุมุล เอาวะลีน
27,กฺอละ อินนะ เราะสูละกุมุล ละซี อุรสิละ อิลัยกุม ละมัจญ์นูน
28,กฺอละ ร็อบบุล มัชริกฺิ วัลมัฆริบิ วะมา บัยนะฮุมา  ^  อิน กุนตุม ตะอฺ์กฺิลูน
29,กฺอละ ละอินิต ตะค็อซตะ อิลาฮัน ฆ็อยรี ละอัจญ์อฺะลันนะกะ มินัล มัสญูนีน
30,กฺอละ อะวะเลา ญิอ์ตุกะ บิชัยอิม มุบีน
31,กฺอละ ฟะอ์ติ บิฮี อิน กุนตะ มินัศ ศอดิกฺีน
32,ฟะอัลกฺอ อฺะศอฮุ ฟะอิซา ฮิยะ ษุอฺ์บานุม มุบีน
33,วะนะซะอฺะ ยะดะฮู ฟะอิซา ฮิยะ บัยฎออุ ลินนาซฺิรีน
34,กฺอละ ลิลมะละอิ เฮาละฮู อินนะ ฮาซา ละสาฮิรุน อฺะลีม
35,ยุรีดุ อัย ยุคริญะกุม มิน อัรฎิกุม บิสิห์ริฮี ฟะมาซา ตะอ์มุรูน
36,กฺอลู อัรญิฮ์ วะอะคอฮุ วับอฺัษ ฟิล มะดาอินิ ฮาชิรีน
37,ยะอ์ตูกะ บิกุลลิ สะห์ฮาริน อฺะลีม
38,ฟะญุมิอฺัส สะฮะเราะตุ ลิมีกฺอติ เยามิม มะอฺ์ลูม
39,วะกฺีละ ลินนาสิ ฮัล อันตุม มุจญ์ตะมิอฺูน
40,ละอฺัลละนา นัตตะบิอฺุส สะฮะเราะตะ อิน กานู ฮุมุล ฆอลิบีน
41,ฟะลัมมา ญาอัส สะฮะเราะตุ กฺอลู ลิฟิรเอฺานะ อะอินนะ ละนา ละอัจญ์ร็อน อิน กุนนา นะห์นุล ฆอลิบีน
42,กฺอละ นะอฺัม วะอินนะกุม อิซัล ละมินัล มุกฺ็อรเราะบีน
43,กฺอละ ละฮุม มูสา อัลกฺู มา อันตุม มุลกฺูน
44,ฟะอัลเกฺอ์า ฮิบาละฮุม วะอฺิศีย์ยะฮุม วะกฺอลู บิอฺิซซะติ ฟิรเอฺานะ อินนา ละนะห์นุล ฆอลิบูน
45,ฟะอัลกฺอ มูสา อฺะศอฮุ ฟะอิซา ฮิยะ ตัลเกฺาะฟุ มา ยะอ์ฟิกูน
46,ฟะอุลกฺิยัส สะฮะเราะตุ สาญิดีน
47,กฺอลู อามันนา บิร็อบบิล อฺาละมีน
48,ร็อบบิ มูสา วะฮารูน
