id,t
1,ฏอ สี-น  ^  ติลกะ อายาตุล กฺุรอานิ วะกิตาบิม มุบีน
2,ฮุเดา วะบุชรอ ลิลมุอ์มินีน
3,อัลละซีนะ ยุกฺีมูนัศ เศาะลาตะ วะยุอ์ตูนัซ ซะกาตะ วะฮุม บิลอาคิเราะติ ฮุม ยูกฺินูน
4,อินนัล ละซีนะ ลา ยุอ์มินูนะ บิลอาคิเราะติ ซัยยันนา ละฮุม อะอฺ์มาละฮุม ฟะฮุม ยะอฺ์มะฮูน
5,อุลาอิกัล ละซีนะ ละฮุม สูอุล อฺะซาบิ วะฮุม ฟิล อาคิเราะติ ฮุมุล อัคสะรูน
6,วะอินนะกะ ละตุลักฺกฺ็อล กฺุรอานะ มิล ละดุน ฮะกีมิน อฺะลีม
7,อิซ กฺอละ มูสา ลิอะฮ์ลิฮี อินนี อานัสตุ นาร็อน สะอาตีกุม มินฮา บิเคาะบะริน เอา อาตีกุม บิชิฮาบิน เกฺาะบะสิล ละอฺัลละกุม ตัศเฏาะลูน
8,ฟะลัมมา ญาอะฮา นูดิยะ อัม บูริกะ มัน ฟิน นาริ วะมัน เฮาละฮา วะสุบฮานัล ลอฮิ ร็อบบิล อฺาละมีน
9,ยามูสา อินนะฮู อะนัล ลอฮุล อฺะซีซุล ฮะกีม
10,วะอัลกฺิ อฺะศอก  ^  ฟะลัมมา เราะอาฮา ตะฮ์ตัซซุ กะอันนะฮา ญา-นนู วัลลา มุดบิเรอ์า วะลัม ยุอฺักฺกฺิบ  ^  ยามูสา ลา ตะค็อฟ อินนี ลา ยะคอฟุ ละดัยยัล มุรสะลูน
11,อิลลา มัน เซฺาะละมะ ษุมมะ บัดดะละ ฮุสนัม บะอฺ์ดะ สูอิน ฟะอินนี เฆาะฟูรุร เราะฮีม
12,วะอัดคิล ยะดะกะ ฟี ญัยบิกะ ตัครุจญ์ บัยฎออะ มิน ฆ็อยริ สูอ์  ^  ฟี ติสอฺิ อายาติน อิลา ฟิรเอฺานะ วะเกฺอ์ามิฮ์  ^  อินนะฮุม กานู เกฺอ์ามัน ฟาสิกฺีน
13,ฟะลัมมา ญาอัตฮุม อายาตุนา มุบศิเราะตัน กฺอลู ฮาซา สิห์รุม มุบีน
14,วะญะฮะดู บิฮา วัสตัยเกฺาะนัตฮา อันฟุสุฮุม ซฺุลเมา วะอฺุลูว์วา  ^  ฟันซฺุร กัยฟะ กานะ อฺากฺิบะตุล มุฟสิดีน
15,วะละกฺ็อด อาตัยนา ดาวูดะ วะสุลัยมานะ อฺิลมา  ^  วะกฺอลัล ฮัมดุ ลิลลาฮิล ละซี ฟัฎเฎาะละนา อฺะลา กะษีริม มิน อฺิบาดิฮิล มุอ์มินีน
16,วะวะริษะ สุลัยมานุ ดาวูด  ^  วะกฺอละ ยาอัยยุฮัน นาสุ อฺุลลิมนา มันฏิกฺ็อฏ ฏ็อยริ วะอูตีนา มิน กุลลิ ชัยอ์  ^  อินนะ ฮาซา ละฮุวัล ฟัฎลุล มุบีน
17,วะฮุชิเราะ ลิสุลัยมานะ ญุนูดุฮู มินัล ญินนิ วัลอินสิ วัฏฏ็อยริ ฟะฮุม ยูซะอฺูน
18,ฮัตตา อิซา อะเตา อฺะลา วาดิน นัมลิ กฺอลัต นัมละตุย ยาอัยยุฮัน นัมลุด คุลู มะสากินะกุม ลา ยะห์ฏิมันนะกุม สุลัยมานุ วะญุนูดุฮู วะฮุม ลา ยัชอฺุรูน
19,ฟะตะบัสสะมะ ฎอฮิกัม มิน เกฺอ์าลิฮา วะกฺอละ ร็อบบิ เอาซิอฺ์นี อัน อัชกุเราะ นิอฺ์มะตะกัล ละตี อันอฺัมตะ อฺะลัยยะ วะอฺะลา วาลิดัยยะ วะอัน อะอฺ์มะละ ศอลิฮัน ตัรฎอฮุ วะอัดคิลนี บิเราะห์มะติกะ ฟี อฺิบาดิกัศ ศอลิฮีน
20,วะตะฟักฺเกฺาะดัฏ ฏ็อยเราะ ฟะกฺอละ มา ลิยะ ลา อะร็อล ฮุดฮุดะ อัม กานะ มินัล ฆออิบีน
21,ละอุอฺัซซิบันนะฮู อฺะซาบัน ชะดีดัน เอา ละอัซบะฮันนะฮู เอา ละยะอ์ติยันนี บิสุลฏอนิม มุบีน
22,ฟะมะกะษะ ฆ็อยเราะ บะอฺีดิน ฟะกฺอละ อะฮัฏตุ บิมา ลัม ตุฮิฏ บิฮี วะญิอ์ตุกะ มิน สะบะอิม บินะบะอี ยะกฺีน
23,อินนี วะญัตตุม เราะอะตัน ตัมลิกุฮุม วะอูติยัต มิน กุลลิ ชัยอิว วะละฮา อฺัรชุน อฺะซฺีม
24,วะญัตตุฮา วะเกฺอ์ามะฮา ยัสญุดูนะ ลิชชัมสิ มิน ดูนิล ลาฮิ วะซัยยะนะ ละฮุมุช ชัยฏอนุ อะอฺ์มาละฮุม ฟะศ็อดดะฮุม อฺะนิส สะบีลิ ฟะฮุม ลา ยะฮ์ตะดูน
25,อัลลา ยัสญุดู ลิลลาฮิล ละซี ยุคริญุล ค็อบอะ ฟิส สะมาวาติ วัลอัรฎิ วะยะอฺ์ละมุ มา ตุคฟูนะ วะมา ตุอฺ์ลินูน
26,อัลลอฮุ ลา อิลาฮะ อิลลา ฮุวะ ร็อบบุล อฺัรชิล อฺะซฺีม
27,กฺอละ สะนันซฺุรุ อะเศาะดักฺตะ อัม กุนตะ มินัล กาซิบีน
28,อิซฮับ บิกิตาบี ฮาซา ฟะอัลกฺิฮ์ อิลัยฮิม ษุมมะ ตะวัลละ อฺันฮุม ฟันซฺุร มาซา ยัรญิอฺูน
29,กฺอลัต ยาอัยยุฮัล มะละอุ อินนี อุลกฺิยะ อิลัยยะ กิตาบุน กะรีม
30,อินนะฮู มิน สุลัยมานะ วะอินนะฮ์
31,อัลลา ตะอฺ์ลู อฺะลัยยะ วะอ์ตูนี มุสลิมีน
32,กฺอลัต ยาอัยยุฮัล มะละอุ อัฟตูนี ฟี อัมรี มา กุนตุ กฺอฏิอฺะตัน อัมร็อน ฮัตตา ตัชฮะดูน
33,กฺอลู นะห์นุ อุลู กฺูว์วะติว วะอุลู บะอ์สิน ชะดีดิว วัลอัมรุ อิลัยกิ ฟันซฺุรี มาซา ตะอ์มุรีน
34,กฺอลัต อินนัล มุลูกะ อิซา ดะเคาะลู กฺ็อรยะตัน อัฟสะดูฮา วะญะอฺะลู อะอฺิซซะตะ อะฮ์ลิฮา อะซิลละฮ์  ^  วะกะซาลิกะ ยัฟอฺะลูน
35,วะอินนี มุรสิละตุน อิลัยฮิม บิฮะดีย์ยะติน ฟะนาซฺิเราะตุม บิมะ ยัรญิอฺุล มุรสะลูน
36,ฟะลัมมา ญาอะ สุลัยมานะ กฺอละ อะตุมิดดูนะนิ บิมาลิน ฟะมา อาตานิยัล ลอฮุ ค็อยรุม มิมมา อาตากุม  ^  บัล อันตุม บิฮะดีย์ยะติกุม ตัฟเราะฮูน
37,อิรญิอฺ์ อิลัยฮิม ฟะละนะอ์ติยันนะฮุม บิญุนูดิล ลา กฺิบะละ ละฮุม บิฮา วะละนุคริญันนะฮุม มินฮา อะซิลละเตา วะฮุม ศอฆิรูน
38,กฺอละ ยาอัยยุฮัล มะละอุ อัยยุกุม ยะอ์ตีนี บิอฺัรชิฮา กฺ็อบละ อัย ยะอ์ตูนี มุสลิมีน
39,กฺอละ อฺิฟรีตุม มินัล ญินนิ อะนะ อาตีกะ บิฮี กฺ็อบละ อัน ตะกฺูมะ มิม มะกฺอมิก  ^  วะอินนี อฺะลัยฮิ ละเกฺาะวีย์ยุน อะมีน
40,กฺอลัล ละซี อฺินดะฮู อฺิลมุม มินัล กิตาบิ อะนะ อาตีกะ บิฮี กฺ็อบละ อัย ยัรตัดดะ อิลัยกะ ฏ็อรฟุก  ^  ฟะลัมมา เราะอาฮุ มุสตะกฺิรร็อน อฺินดะฮู กฺอละ ฮาซา มิน ฟัฎลิ ร็อบบี ลิยับลุวะนี อะอัชกุรุ อัม อักฟุร  ^  วะมัน ชะกะเราะ ฟะอินนะมา ยัชกุรุ ลินัฟสิฮ์  ^  วะมัน กะฟะเราะ ฟะอินนะ ร็อบบี เฆาะนีย์ยุน กะรีม
41,กฺอละ นักกิรู ละฮา อฺัรชะฮา นันซฺุร อะตะฮ์ตะดี อัม ตะกูนุ มินัล ละซีนะ ลา ยะฮ์ตะดูน
42,ฟะลัมมา ญาอัต กฺีละ อะฮากะซา อฺัรชุก  ^  กฺอลัต กะอันนะฮู ฮู  ^  วะอูตีนัล อฺิลมะ มิน กฺ็อบลิฮา วะกุนนา มุสลิมีน
43,วะศ็อดดะฮา มา กานัต ตะอฺ์บุดุ มิน ดูนิล ลาฮ์  ^  อินนะฮา กานัต มิน เกฺอ์ามิน กาฟิรีน
44,กฺีละ ละฮัด คุลิศ ศ็อรฮ์  ^  ฟะลัมมา เราะอัตฮุ ฮะสิบัตฮุ ลุจญ์ญะเตา วะกะชะฟัต อฺัน สากฺ็อยฮา  ^  กฺอละ อินนะฮู ศ็อรฮุม มุมัรเราะดุม มิน เกฺาะวารีร  ^  กฺอลัต ร็อบบิ อินนี เซฺาะลัมตุ นัฟสี วะอัสลัมตุ มะอฺะ สุลัยมานะ ลิลลาฮิ ร็อบบิล อฺาละมีน
45,วะละกฺ็อด อัรสัลนา อิลา ษะมูดะ อะคอฮุม ศอลิฮัน อะนิอฺ์ บุดุล ลอฮะ ฟะอิซา ฮุม ฟะรีกฺอนิ ยัคตะศิมูน
46,กฺอละ ยาเกฺอ์ามิ ลิมะ ตัสตะอฺ์ญิลูนะ บิสสัยยิอะติ กฺ็อบลัล ฮะสะนะฮ์  ^  เลาลา ตัสตัฆฟิรูนัล ลอฮะ ละอฺัลละกุม ตุรฮะมูน
47,กฺอลุฏ ฏ็อยยัรนา บิกะ วะบิมัม มะอฺัก  ^  กฺอละ ฏออิรุกุม อฺินดัล ลอฮ์  ^  บัล อันตุม เกฺอ์ามุน ตุฟตะนูน
48,วะกานะ ฟิล มะดีนะติ ติสอฺะตุ เราะฮ์ฏี ยุฟสิดูนะ ฟิล อัรฎิ วะลา ยุศลิฮูน
