id,t
1,ฏอ สี-ม มี-ม
2,ติลกะ อายาตุล กิตาบิล มุบีน
3,นัตลู อฺะลัยกะ มิน นะบะอิ มูสา วะฟิรเอฺานะ บิลฮักฺกฺิ ลิเกฺอ์ามี ยุอ์มินูน
4,อินนะ ฟิรเอฺานะ อฺะลา ฟิล อัรฎิ วะญะอฺะละ อะฮ์ละฮา ชิยะอฺัย ยัสตัฎอฺิฟุ ฏออิฟะตัม มินฮุม ยุซับบิฮุ อับนาอะฮุม วะยัสตะห์ยี นิสาอะฮุม  ^  อินนะฮู กานะ มินัล มุฟสิดีน
5,วะนุรีดุ อัน นะมุนนะ อฺะลัล ละซีนัส ตุฎอฺิฟู ฟิล อัรฎิ วะนัจญ์อฺะละฮุม อะอิมมะเตา วะนัจญ์อฺะละฮุมุล วาริษีน
6,วะนุมักกินะ ละฮุม ฟิล อัรฎิ วะนุริยะ ฟิรเอฺานะ วะฮามานะ วะญุนูดะฮุมา มินฮุม มา กานู ยะห์ซะรูน
7,วะเอาฮัยนา อิลา อุมมิ มูสา อัน อัรฎิอฺีฮ์  ^  ฟะอิซา คิฟติ อฺะลัยฮิ ฟะอัลกฺีฮิ ฟิล ยัมมิ วะลา ตะคอฟี วะลา ตะห์ซะนี  ^  อินนา รอ-ดดูฮุ อิลัยกิ วะญาอฺิลูฮุ มินัล มุรสะลีน
8,ฟัลตะเกฺาะเฏาะฮู อาลุ ฟิรเอฺานะ ลิยะกูนะ ละฮุม อฺะดูว์เวา วะฮะซะนา  ^  อินนะ ฟิรเอฺานะ วะฮามานะ วะญุนูดะฮุมา กานู คอฏิอีน
9,วะกฺอละติม เราะอะตุ ฟิรเอฺานะ กฺุรเราะตุ อฺัยนิล ลี วะลัก  ^  ลา ตักฺตุลูฮุ อฺะสา อัย ยันฟะอฺะนา เอา นัตตะคิซะฮู วะละเดา วะฮุม ลา ยัชอฺุรูน
10,วะอัศบะฮะ ฟุอาดุ อุมมิ มูสา ฟาริฆอ  ^  อิน กาดัต ละตุบดี บิฮี เลาลา อัร เราะบัฏนา อฺะลา กฺ็อลบิฮา ลิตะกูนะ มินัล มุอ์มินีน
11,วะกฺอลัต ลิอุคติฮี กฺุศศีฮ์  ^  ฟะบะศุร็อต บิฮี อฺัน ญุนุบิว วะฮุม ลา ยัชอฺุรูน
12,วะฮัรร็อมนา อฺะลัยฮิล มะรอฎิอฺะ มิน กฺ็อบลุ ฟะกฺอลัต ฮัล อะดุลลุกุม อฺะลา อะฮ์ลิ บัยตี ยักฟุลูนะฮู ละกุม วะฮุม ละฮู นาศิฮูน
13,ฟะเราะดัดนาฮุ อิลา อุมมิฮี กัย ตะกฺ็อรเราะ อฺัยนุฮา วะลา ตะห์ซะนะ วะลิตะอฺ์ละมะ อันนะ วะอฺ์ดัล ลอฮิ ฮักฺกฺู วะลากินนะ อักษะเราะฮุม ลา ยะอฺ์ละมูน
14,วะลัมมา บะละเฆาะ อะชุดดะฮู วัสตะวา อาตัยนาฮุ ฮุกเมา วะอฺิลมา  ^  วะกะซาลิกะ นัจญ์ซิล มุห์สินีน
15,วะดะเคาะลัล มะดีนะตะ อฺะลา ฮีนิ ฆ็อฟละติม มิน อะฮ์ลิฮา ฟะวะญะดะ ฟีฮา เราะญุลัยนิ ยักฺตะติลานิ ฮาซา มิน ชีอฺะติฮี วะฮาซา มิน อฺะดูว์วิฮ์  ^  ฟัสตะฆอษะฮุล ละซี มิน ชีอฺะติฮี อฺะลัล ละซี มิน อฺะดูว์วิฮี ฟะวะกะซะฮู มูสา ฟะเกฺาะฎอ อฺะลัยฮ์  ^  กฺอละ ฮาซา มิน อฺะมะลิช ชัยฏอน  ^  อินนะฮู อฺะดูว์วุม มุฎิลลุม มุบีน
16,กฺอละ ร็อบบิ อินนี เซฺาะลัมตุ นัฟสี ฟัฆฟิร ลี ฟะเฆาะฟะเราะ ละฮ์  ^  อินนะฮู ฮุวัล เฆาะฟูรุร เราะฮีม
17,กฺอละ ร็อบบิ บิมา อันอฺัมตะ อฺะลัยยะ ฟะลัน อะกูนะ เซฺาะฮีร็อล ลิลมุจญ์ริมีน
18,ฟะอัศบะฮะ ฟิล มะดีนะติ คออิฟัย ยะตะร็อกฺเกฺาะบุ ฟะอิซัล ละซิส ตันเศาะเราะฮู บิลอัมสิ ยัสตัศริคุฮ์  ^  กฺอละ ละฮู มูสา อินนะกะ ละเฆาะวีย์ยุม มุบีน
19,ฟะลัมมา อัน อะรอดะ อัย ยับฏิชะ บิลละซี ฮุวะ อฺะดูว์วุล ละฮุมา กฺอละ ยามูสา อะตุรีดุ อัน ตักฺตุละนี กะมา เกฺาะตัลตะ นัฟสัม บิลอัมส์  ^  อิน ตุรีดุ อิลลา อัน ตะกูนะ ญับบาร็อน ฟิล อัรฎิ วะมา ตุรีดุ อัน ตะกูนะ มินัล มุศลิฮีน
20,วะญาอะ เราะญุลุม มิน อักฺศ็อล มะดีนะติ ยัสอฺา กฺอละ ยามูสา อินนัล มะละอะ ยะอ์ตะมิรูนะ บิกะ ลิยักฺตุลูกะ ฟัครุจญ์ อินนี ละกะ มินัน นาศิฮีน
21,ฟะเคาะเราะญะ มินฮา คออิฟัย ยะตะร็อกฺกฺ็อบ  ^  กฺอละ ร็อบบิ นัจญ์ญินี มินัล เกฺอ์ามิซฺ ซฺอลิมีน
22,วะลัมมา ตะวัจญ์ญะฮะ ติลกฺออะ มัดยะนะ กฺอละ อฺะสา ร็อบบี อัย ยะฮ์ดิยะนี สะวาอัส สะบีล
