id,t
1,อะลิฟ ลา-ม มี-ม
2,อัลลอฮุ ลา อิลาฮะ อิลลา ฮุวัล ฮัยยุล กฺ็อยยูม
3,นัซซะละ อฺะลัยกัล กิตาบะ บิลฮักฺกฺิ มุศ็อดดิกฺ็อล ลิมา บัยนะ ยะดัยฮิ วะอันซะลัต เตารอตะ วัลอินญีล
4,มิน กฺ็อบลุ ฮุดัล ลินนาสิ วะอันซะลัล ฟุรกฺอน  ^  อินนัล ละซีนะ กะฟะรู บิอายาติล ลาฮิ ละฮุม อฺะซาบุน ชะดีด  ^  วัลลอฮุ อฺะซีซุน ซุน ติกฺอม
5,อินนัล ลอฮะ ลา ยัคฟา อฺะลัยฮิ ชัยอุน ฟิล อัรฎิ วะลา ฟิส สะมาอ์
6,ฮุวัล ละซี ยุเศอ์าวิรุกุม ฟิล อัรฮามิ กัยฟะ ยะชาอ์  ^  ลา อิลาฮะ อิลลา ฮุวัล อฺะซีซุล ฮะกีม
7,ฮุวัล ละซี อันซะละ อฺะลัยกัล กิตาบะ มินฮุ อายาตุม มุห์กะมาตุน ฮุนนะ อุมมุล กิตาบิ วะอุเคาะรุ มุตะชาบิฮาต  ^  ฟะอัมมัล ละซีนะ ฟี กฺุลูบิฮิม ซัยฆุน ฟะยัตตะบิอฺูนะ มา ตะชาบะฮะ มินฮุบ ติฆออัล ฟิตนะติ วับติฆออะ ตะอ์วีลิฮ์  ^  วะมา ยะอฺ์ละมุ ตะอ์วีละฮู อิลลัล ลอฮ์  ^  วัรรอสิคูนะ ฟิล อฺิลมิ ยะกฺูลูนะ อามันนา บิฮี กุลลุม มิน อฺินดิ ร็อบบินา  ^  วะมา ยัซซักกะรุ อิลลา อุลุล อัลบาบ
8,ร็อบบะนา ลา ตุซิฆ กฺุลูบะนา บะอฺ์ดะ อิซ ฮะดัยตะนา วะฮับ ละนา มิล ละดุนกะ เราะห์มะฮ์  ^  อินนะกะ อันตัล วะฮ์ฮาบ
9,ร็อบบะนา อินนะกะ ญามิอฺุน นาสิ ลิเยามิล ลา ร็อยบะ ฟีฮ์  ^  อินนัล ลอฮะ ลา ยุคลิฟุล มีอฺาด
10,อินนัล ละซีนะ กะฟะรู ลัน ตุฆนิยะ อฺันฮุม อัมวาลุฮุม วะลา เอาลาดุฮุม มินัล ลอฮิ ชัยอา  ^  วะอุลาอิกะ ฮุม วะกฺูดุน นาร
