id,t
1,อะลิฟ ลา-ม มี-ม
2,ฆุลิบะติร รูม
3,ฟี อัดนัล อัรฎิ วะฮุม มิม บะอฺ์ดิ เฆาะละบิฮิม สะยัฆลิบูน
4,ฟี บิฎอฺิ สินีน  ^  ลิลลาฮิล อัมรุ มิน กฺ็อบลุ วะมิม บะอฺ์ด์  ^  วะเยามะอิซี ยัฟเราะฮุล มุอ์มินูน
5,บินัศริล ลาฮ์  ^  ยันศุรุ มัย ยะชาอ์  ^  วะฮุวัล อฺะซีซุร เราะฮีม
6,วะอฺ์ดัล ลอฮ์  ^  ลา ยุคลิฟุล ลอฮุ วะอฺ์ดะฮู วะลากินนะ อักษะร็อน นาสิ ลา ยะอฺ์ละมูน
7,ยะอฺ์ละมูนะ ซฺอฮิร็อม มินัล ฮะยาติด ดุนยา วะฮุม อฺะนิล อาคิเราะติ ฮุม ฆอฟิลูน
8,อะวะ ลัม ยะตะฟักกะรู ฟี อันฟุสิฮิม  ^  มา เคาะละกฺ็อล ลอฮุส สะมาวาติ วัลอัรเฎาะ วะมา บัยนะฮุมา อิลลา บิลฮักฺกฺิ วะอะญะลิม มุสัมมา  ^  วะอินนะ กะษีร็อม มินัน นาสิ บิลิกฺออิ ร็อบบิฮิม ละกาฟิรูน
9,อะวะ ลัม ยะสีรู ฟิล อัรฎิ ฟะยันซฺุรู กัยฟะ กานะ อฺากฺิบะตุล ละซีนะ มิน กฺ็อบลิฮิม  ^  กานู อะชัดดะ มินฮุม กฺูว์วะเตา วะอะษารุล อัรเฎาะ วะอฺะมะรูฮา อักษะเราะ มิมมา อฺะมะรูฮา วะญาอัตฮุม รุสุลุฮุม บิลบัยยินาต  ^  ฟะมา กานัล ลอฮุ ลิยัซฺลิมะฮุม วะลากิน กานู อันฟุสะฮุม ยัซฺลิมูน
10,ษุมมะ กานะ อฺากฺิบะตัล ละซีนะ อะสาอุส สูอา อัน กัซซะบู บิอายาติล ลาฮิ วะกานู บิฮา ยัสตะฮ์ซิอูน
11,อัลลอฮุ ยับดะอุล ค็อลเกฺาะ ษุมมะ ยุอฺีดุฮู ษุมมะ อิลัยฮิ ตุรญะอฺูน
12,วะเยามะ ตะกฺูมุส สาอฺะตุ ยุบลิสุล มุจญ์ริมูน
13,วะลัม ยะกุล ละฮุม มิน ชุเราะกาอิฮิม ชุฟะอฺาอุ วะกานู บิชุเราะกาอิฮิม กาฟิรีน
14,วะเยามะ ตะกฺูมุส สาอฺะตุ เยามะอิซี ยะตะฟัรเราะกฺูน
15,ฟะอัมมัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ ฟะฮุม ฟี เรอ์าเฎาะตี ยุห์บะรูน
16,วะอัมมัล ละซีนะ กะฟะรู วะกัซซะบู บิอายาตินา วะลิกฺออิล อาคิเราะติ ฟะอุลาอิกะ ฟิล อฺะซาบิ มุห์เฎาะรูน
17,ฟะสุบฮานัล ลอฮิ ฮีนะ ตุมสูนะ วะฮีนะ ตุศบิฮูน
18,วะละฮุล ฮัมดุ ฟิส สะมาวาติ วัลอัรฎิ วะอฺะชีย์เยา วะฮีนะ ตุซฺฮิรูน
19,ยุคริญุล ฮัยยะ มินัล มัยยิติ วะยุคริญุล มัยยิตะ มินัล ฮัยยิ วะยุห์ยิล อัรเฎาะ บะอฺ์ดะ เมาติฮา  ^  วะกะซาลิกะ ตุคเราะญูน
20,วะมิน อายาติฮี อัน เคาะละเกฺาะกุม มิน ตุรอบิน ษุมมะ อิซา อันตุม บะชะรุน ตันตะชิรูน
21,วะมิน อายาติฮี อัน เคาะละเกฺาะ ละกุม มิน อันฟุสิกุม อัซวาญัล ลิตัสกุนู อิลัยฮา วะญะอฺะละ บัยนะกุม มะวัดดะเตา วะเราะห์มะฮ์  ^  อินนะ ฟี ซาลิกะ ละอายาติล ลิเกฺอ์ามี ยะตะฟักกะรูน
22,วะมิน อายาติฮี ค็อลกฺุส สะมาวาติ วัลอัรฎิ วัคติลาฟุ อัลสินะติกุม วะอัลวานิกุม  ^  อินนะ ฟี ซาลิกะ ละอายาติล ลิลอฺาลิมีน
