id,t
1,อะลิฟ ลา-ม มี-ม
2,ติลกะ อายาตุล กิตาบิล ฮะกีม
3,ฮุเดา วะเราะห์มะตัล ลิลมุห์สินีน
4,อัลละซีนะ ยุกฺีมูนัศ เศาะลาตะ วะยุอ์ตูนัซ ซะกาตะ วะฮุม บิลอาคิเราะติ ฮุม ยูกฺินูน
5,อุลาอิกะ อฺะลา ฮุดัม มิร ร็อบบิฮิม  ^  วะอุลาอิกะ ฮุมุล มุฟลิฮูน
6,วะมินัน นาสิ มัย ยัชตะรี ละฮ์วัล ฮะดีษิ ลิยุฎิลละ อฺัน สะบีลิล ลาฮิ บิฆ็อยริ อฺิลมิว วะยัตตะคิซะฮา ฮุซุวา  ^  อุลาอิกะ ละฮุม อฺะซาบุม มุฮีน
7,วะอิซา ตุตลา อฺะลัยฮิ อายาตุนา วัลลา มุสตักบิร็อน กะอัล ลัม ยัสมะอฺ์ฮา กะอันนะ ฟี อุซุนัยฮิ วักฺรอ  ^  ฟะบัชชิรฮุ บิอฺะซาบิน อะลีม
8,อินนัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ ละฮุม ญันนาตุน นะอฺีม
9,คอลิดีนะ ฟีฮา  ^  วะอฺ์ดัล ลอฮิ ฮักฺกฺอ  ^  วะฮุวัล อฺะซีซุล ฮะกีม
10,เคาะละกฺ็อส สะมาวาติ บิฆ็อยริ อฺะมะดิน ตะเรอ์านะฮา  ^  วะอัลกฺอ ฟิล อัรฎิ เราะวาสิยะ อัน ตะมีดะ บิกุม วะบัษษะ ฟีฮา มิน กุลลิ ดา-บบะฮ์  ^  วะอันซัลนา มินัส สะมาอิ มาอัน ฟะอัมบัตนา ฟีฮา มิน กุลลิ เซาญิน กะรีม
11,ฮาซา ค็อลกฺุล ลอฮิ ฟะอะรูนี มาซา เคาะละกฺ็อล ละซีนะ มิน ดูนิฮ์  ^  บะลิซฺ ซฺอลิมูนะ ฟี เฎาะลาลิม มุบีน
12,วะละกฺ็อด อาตัยนา ลุกฺมานัล ฮิกมะตะ อะนิช กุร ลิลลาฮ์  ^  วะมัย ยัชกุร ฟะอินนะมา ยัชกุรุ ลินัฟสิฮ์  ^  วะมัน กะฟะเราะ ฟะอินนัล ลอฮะ เฆาะนีย์ยุน ฮะมีด
13,วะอิซ กฺอละ ลุกฺมานุ ลิบนิฮี วะฮุวะ ยะอฺิซฺุฮู ยาบุนัยยะ ลา ตุชริก บิลลาฮ์  ^  อินนัช ชิรกะ ละซฺุลมุน อฺะซฺีม
