id,t
1,อะลิฟ ลา-ม มี-ม
2,ตันซีลุล กิตาบิ ลา ร็อยบะ ฟีฮิ มิร ร็อบบิล อฺาละมีน
3,อัม ยะกฺูลูนัฟ ตะรอฮ์  ^  บัล ฮุวัล ฮักฺกฺุ มิร ร็อบบิกะ ลิตุนซิเราะ เกฺอ์ามัม มา อะตาฮุม มิน นะซีริม มิน กฺ็อบลิกะ ละอฺัลละฮุม ยะฮ์ตะดูน
4,อัลลอฮุล ละซี เคาะละกฺ็อส สะมาวาติ วัลอัรเฎาะ วะมา บัยนะฮุมา ฟี สิตตะติ อัยยามิน ษุมมัส ตะวา อฺะลัล อฺัรช์  ^  มา ละกุม มิน ดูนิฮี มิว วะลีย์ยิว วะลา ชะฟีอฺ์  ^  อะฟะลา ตะตะซักกะรูน
5,ยุดับบิรุล อัมเราะ มินัส สะมาอิ อิลัล อัรฎิ ษุมมะ ยะอฺ์รุญุ อิลัยฮิ ฟี เยามิน กานะ มิกฺดารุฮู อัลฟะ สะนะติม มิมมา ตะอฺุดดูน
6,ซาลิกะ อฺาลิมุล ฆ็อยบิ วัชชะฮาดะติล อฺะซีซุร เราะฮีม
7,อัลละซี อะห์สะนะ กุลละ ชัยอิน เคาะละเกฺาะฮ์  ^  วะบะดะอะ ค็อลกฺ็อล อินสานิ มิน ฏีน
8,ษุมมะ ญะอฺะละ นัสละฮู มิน สุลาละติม มิม มาอิม มะฮีน
9,ษุมมะ เสาวาฮุ วะนะฟะเคาะ ฟีฮิ มิร รูฮิฮ์  ^  วะญะอฺะละ ละกุมุส สัมอฺะ วัลอับศอเราะ วัลอัฟอิดะฮ์  ^  เกฺาะลีลัม มา ตัชกุรูน
10,วะกฺอลู อะอิซา เฎาะลัลนา ฟิล อัรฎิ อะอินนา ละฟี ค็อลกฺิน ญะดีด  ^  บัล ฮุม บิลิกฺออิ ร็อบบิฮิม กาฟิรูน
11,กฺุล ยะตะวัฟฟากุม มะละกุล เมาติล ละซี วุกกิละ บิกุม ษุมมะ อิลา ร็อบบิกุม ตุรญะอฺูน
12,วะเลา ตะรอ อิซิล มุจญ์ริมูนะ นากิสู รุอูสิฮิม อฺินดะ ร็อบบิฮิม ร็อบบะนา อับศ็อรนา วะสะมิอฺ์นา ฟัรญิอฺ์นา นะอฺ์มัล ศอลิฮัน อินนา มูกฺินูน
13,วะเลา ชิอ์นา ละอาตัยนา กุลละ นัฟสิน ฮุดาฮา วะลากิน ฮักฺกฺ็อล เกฺอ์าลุ มินนี ละอัมละอันนะ ญะฮันนะมะ มินัล ญินนะติ วันนาสิ อัจญ์มะอฺีน
14,ฟะซูกฺู บิมา นะสีตุม ลิกฺออะ เยามิกุม ฮาซา อินนา นะสีนากุม  ^  วะซูกฺู อฺะซาบัล คุลดิ บิมา กุนตุม ตะอฺ์มะลูน
15,อินนะมา ยุอ์มินุ บิอายาตินัล ละซีนะ อิซา ซุกกิรู บิฮา ค็อรรู สุจญ์ญะเดา วะสับบะฮู บิฮัมดิ ร็อบบิฮิม วะฮุม ลา ยัสตักบิรูน
16,ตะตะญาฟา ญุนูบุฮุม อฺะนิล มะฎอญิอฺิ ยัดอฺูนะ ร็อบบะฮุม เคอ์าเฟา วะเฏาะมะเอฺา วะมิมมา เราะซักฺนาฮุม ยุนฟิกฺูน
17,ฟะลา ตะอฺ์ละมุ นัฟสุม มา อุคฟิยะ ละฮุม มิน กฺุรเราะติ อะอฺ์ยุนิน ญะซาอัม บิมา กานู ยะอฺ์มะลูน
18,อะฟะมัน กานะ มุอ์มินัน กะมัน กานะ ฟาสิกฺอ  ^  ลา ยัสตะวูน
19,อัมมัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ ฟะละฮุม ญันนาตุล มะอ์วา นุซุลัม บิมา กานู ยะอฺ์มะลูน
20,วะอัมมัล ละซีนะ ฟะสะกฺู ฟะมะอ์วาฮุมุน นาร  ^  กุลละมา อะรอดู อัย ยัครุญู มินฮา อุอฺีดู ฟีฮา วะกฺีละ ละฮุม ซูกฺู อฺะซาบัน นาริล ละซี กุนตุม บิฮี ตุกัซซิบูน
21,วะละนุซีกฺ็อนนะฮุม มินัล อฺะซาบิล อัดนา ดูนัล อฺะซาบิล อักบะริ ละอฺัลละฮุม ยัรญิอฺูน
22,วะมัน อัซฺละมุ มิมมัน ซุกกิเราะ บิอายาติ ร็อบบิฮี ษุมมะ อะอฺ์เราะเฎาะ อฺันฮา  ^  อินนา มินัล มุจญ์ริมีนะ มุนตะกฺิมูน
23,วะละกฺ็อด อาตัยนา มูสัล กิตาบะ ฟะลา ตะกุน ฟี มิรยะติม มิล ลิกฺออิฮ์  ^  วะญะอฺัลนาฮุ ฮุดัล ลิบะนี อิสรออีล
24,วะญะอฺัลนา มินฮุม อะอิมมะตัย ยะฮ์ดูนะ บิอัมรินา ลัมมา เศาะบะรู  ^  วะกานู บิอายาตินา ยูกฺินูน
25,อินนะ ร็อบบะกะ ฮุวะ ยัฟศิลุ บัยนะฮุม เยามัล กฺิยามะติ ฟีมา กานู ฟีฮิ ยัคตะลิฟูน
26,อะวะ ลัม ยะฮ์ดิ ละฮุม กัม อะฮ์ลักนา มิน กฺ็อบลิฮิม มินัล กฺุรูนิ ยัมชูนะ ฟี มะสากินิฮิม  ^  อินนะ ฟี ซาลิกะ ละอายาต  ^  อะฟะลา ยัสมะอฺูน
27,อะวะ ลัม ยะเรอ์า อันนา นะสูกฺุล มาอะ อิลัล อัรฎิล ญุรุซิ ฟะนุคริญุ บิฮี ซัรอฺัน ตะอ์กุลุ มินฮุ อันอฺามุฮุม วะอันฟุสุฮุม  ^  อะฟะลา ยุบศิรูน
28,วะยะกฺูลูนะ มะตา ฮาซัล ฟัตฮุ อิน กุนตุม ศอดิกฺีน
29,กฺุล เยามัล ฟัตฮิ ลา ยันฟะอฺุล ละซีนะ กะฟะรู อีมานุฮุม วะลา ฮุม ยุนเซฺาะรูน
30,ฟะอะอฺ์ริฎ อฺันฮุม วันตะซฺิร อินนะฮุม มุนตะซฺิรูน
