id,t
1,อัลฮัมดุ ลิลลาฮิล ละซี ละฮู มา ฟิส สะมาวาติ วะมา ฟิล อัรฎิ วะละฮุล ฮัมดุ ฟิล อาคิเราะฮ์  ^  วะฮุวัล ฮะกีมุล เคาะบีร
2,ยะอฺ์ละมุ มา ยะลิญุ ฟิล อัรฎิ วะมา ยัครุญุ มินฮา วะมา ยันซิลุ มินัส สะมาอิ วะมา ยะอฺ์รุญุ ฟีฮา  ^  วะฮุวัร เราะฮีมุล เฆาะฟูร
3,วะกฺอลัล ละซีนะ กะฟะรู ลา ตะอ์ตีนัส สาอฺะฮ์  ^  กฺุล บะลา วะร็อบบี ละตะอ์ติยันนะกุม อฺาลิมิล ฆ็อยบ์  ^  ลา ยะอฺ์ซุบุ อฺันฮุ มิษกฺอลุ ซัรเราะติน ฟิส สะมาวาติ วะลา ฟิล อัรฎิ วะลา อัศเฆาะรุ มิน ซาลิกะ วะลา อักบะรุ อิลลา ฟี กิตาบิม มุบีน
4,ลิยัจญ์ซิยัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาต  ^  อุลาอิกะ ละฮุม มัฆฟิเราะตู วะริซกฺุน กะรีม
5,วัลละซีนะ สะเอฺา ฟี อายาตินา มุอฺาญิซีนะ อุลาอิกะ ละฮุม อฺะซาบุม มิร ริจญ์ซิน อะลีม
6,วะยะร็อล ละซีนะ อูตุล อฺิลมัล ละซี อุนซิละ อิลัยกะ มิร ร็อบบิกะ ฮุวัล ฮักฺเกฺาะ วะยะฮ์ดี อิลา ศิรอฏิล อฺะซีซิล ฮะมีด
7,วะกฺอลัล ละซีนะ กะฟะรู ฮัล นะดุลลุกุม อฺะลา เราะญุลี ยุนับบิอุกุม อิซา มุซซิกฺตุม กุลละ มุมัซซะกฺิน อินนะกุม ละฟี ค็อลกฺิน ญะดีด
8,อัฟตะรอ อฺะลัล ลอฮิ กะซิบัน อัม บิฮี ญินนะฮ์  ^  บะลิล ละซีนะ ลา ยุอ์มินูนะ บิลอาคิเราะติ ฟิล อฺะซาบิ วัฎเฎาะลาลิล บะอฺีด
9,อะฟะลัม ยะเรอ์า อิลา มา บัยนะ อัยดีฮิม วะมา ค็อลฟะฮุม มินัส สะมาอิ วัลอัรฎ์  ^  อิน นะชะอ์ นัคสิฟ บิฮิมุล อัรเฎาะ เอา นุสกฺิฏ อฺะลัยฮิม กิสะฟัม มินัส สะมาอ์  ^  อินนะ ฟี ซาลิกะ ละอายะตัล ลิกุลลิ อฺับดิม มุนีบ
10,วะละกฺ็อด อาตัยนา ดาวูดะ มินนา ฟัฎลา  ^  ยาญิบาลุ เอาวิบี มะอฺะฮู วัฏฏ็อยร์  ^  วะอะลันนา ละฮุล ฮะดีด
11,อะนิอฺ์ มัล สาบิฆอติว วะกฺ็อดดิร ฟิส สัรด์  ^  วะอฺ์มะลู ศอลิฮา  ^  อินนี บิมา ตะอฺ์มะลูนะ บะศีร
12,วะลิสุลัยมานัร รีฮะ ฆุดูว์วุฮา ชะฮ์รู วะเราะวาฮุฮา ชะฮ์ร์  ^  วะอะสัลนา ละฮู อฺัยนัล กฺิฏร์  ^  วะมินัล ญินนิ มัย ยะอฺ์มะลุ บัยนะ ยะดัยฮิ บิอิซนิ ร็อบบิฮ์  ^  วะมัย ยะซิฆ มินฮุม อฺัน อัมรินา นุซิกฺฮุ มิน อฺะซาบิส สะอฺีร
13,ยะอฺ์มะลูนะ ละฮู มา ยะชาอุ มิม มะฮารีบะ วะตะมาษีละ วะญิฟานิน กัลญะวาบิ วะกฺุดูริร รอสิยาต  ^  อิอฺ์มะลู อาละ ดาวูดะ ชุกรอ  ^  วะเกฺาะลีลุม มิน อฺิบาดิยัช ชะกูร
14,ฟะลัมมา เกฺาะฎ็อยนา อฺะลัยฮิล เมาตะ มา ดัลละฮุม อฺะลา เมาติฮี อิลลา ดา-บบะตุล อัรฎิ ตะอ์กุลุ มินสะอะตะฮ์  ^  ฟะลัมมา ค็อรเราะ ตะบัยยะนะติล ญินนุ อัล เลา กานู ยะอฺ์ละมูนัล ฆ็อยบะ มา ละบิษู ฟิล อฺะซาบิล มุฮีน
15,ละกฺ็อด กานะ ลิสะบะอิน ฟี มัสกะนิฮิม อายะฮ์  ^  ญันนะตานิ อฺัย ยะมีนิว วะชิมาล  ^  กุลู มิร ริซกฺิ ร็อบบิกุม วัชกุรู ละฮ์  ^  บัลดะตุน ฏ็อยยิบะตู วะร็อบบุน เฆาะฟูร
16,ฟะอะอฺ์เราะฎู ฟะอัรสัลนา อฺะลัยฮิม สัยลัล อฺะริมิ วะบัดดัลนาฮุม บิญันนะตัยฮิม ญันนะตัยนิ ซะวาตัย อุกุลิน ค็อมฏิว วะอัษลิว วะชัยอิม มิน สิดริน เกฺาะลีล
17,ซาลิกะ ญะซัยนาฮุม บิมา กะฟะรู  ^  วะฮัล นุญาซี อิลลัล กะฟูร
18,วะญะอฺัลนา บัยนะฮุม วะบัยนัล กฺุร็อล ละตี บาร็อกนา ฟีฮา กฺุร็อน ซฺอฮิเราะเตา วะกฺ็อดดัรนา ฟีฮัส สัยร์  ^  สีรู ฟีฮา ละยาลิยะ วะอัยยามัน อามินีน
19,ฟะกฺอลู ร็อบบะนา บาอฺิด บัยนะ อัสฟารินา วะเซฺาะละมู อันฟุสะฮุม ฟะญะอฺัลนาฮุม อะฮาดีษะ วะมัซซักฺนาฮุม กุลละ มุมัซซักฺ  ^  อินนะ ฟี ซาลิกะ ละอายาติล ลิกุลลิ ศ็อบบาริน ชะกูร
20,วะละกฺ็อด ศ็อดดะเกฺาะ อฺะลัยฮิม อิบลีสุ ซฺ็อนนะฮู ฟัตตะบะอฺูฮุ อิลลา ฟะรีกฺ็อม มินัล มุอ์มินีน
21,วะมา กานะ ละฮู อฺะลัยฮิม มิน สุลฏอนิน อิลลา ลินะอฺ์ละมะ มัย ยุอ์มินุ บิลอาคิเราะติ มิมมัน ฮุวะ มินฮา ฟี ชักก์  ^  วะร็อบบุกะ อฺะลา กุลลิ ชัยอิน ฮะฟีซฺ
