id,t
1,ยา สี-น
2,วัลกฺุรอานิล ฮะกีม
3,อินนะกะ ละมินัล มุรสะลีน
4,อฺะลา ศิรอฏิม มุสตะกฺีม
5,ตันซีลัล อฺะซีซิร เราะฮีม
6,ลิตุนซิเราะ เกฺอ์ามัม มา อุนซิเราะ อาบาอุฮุม ฟะฮุม ฆอฟิลูน
7,ละกฺ็อด ฮักฺกฺ็อล เกฺอ์าลุ อฺะลา อักษะริฮิม ฟะฮุม ลา ยุอ์มินูน
8,อินนา ญะอฺัลนา ฟี อะอฺ์นากฺิฮิม อัฆลาลัน ฟะฮิยะ อิลัล อัซกฺอนิ ฟะฮุม มุกฺมะฮูน
9,วะญะอฺัลนา มิม บัยนิ อัยดีฮิม สัดเดา วะมิน ค็อลฟิฮิม สัดดัน ฟะอัฆชัยนาฮุม ฟะฮุม ลา ยุบศิรูน
10,วะสะวาอุน อฺะลัยฮิม อะอันซัรตะฮุม อัม ลัม ตุนซิรฮุม ลา ยุอ์มินูน
11,อินนะมา ตุนซิรุ มะนิต ตะบะอฺัซ ซิกเราะ วะเคาะชิยัร เราะห์มานะ บิลฆ็อยบ์  ^  ฟะบัชชิรฮุ บิมัฆฟิเราะติว วะอัจญ์ริน กะรีม
12,อินนา นะห์นุ นุห์ยิล เมาตา วะนักตุบุ มา กฺ็อดดะมู วะอาษาเราะฮุม  ^  วะกุลละ ชัยอิน อะห์ศ็อยนาฮุ ฟี อิมามิม มุบีน
13,วัฎริบ ละฮุม มะษะลัน อัศฮาบัล กฺ็อรยะติ อิซ ญาอะฮัล มุรสะลูน
14,อิซ อัรสัลนา อิลัยฮิมุษ นัยนิ ฟะกัซซะบูฮุมา ฟะอฺัซซัซนา บิษาลิษิน ฟะกฺอลู อินนา อิลัยกุม มุรสะลูน
15,กฺอลู มา อันตุม อิลลา บะชะรุม มิษลุนา วะมา อันซะลัร เราะห์มานุ มิน ชัยอิน อิน อันตุม อิลลา ตักซิบูน
16,กฺอลู ร็อบบุนา ยะอฺ์ละมุ อินนา อิลัยกุม ละมุรสะลูน
17,วะมา อฺะลัยนา อิลลัล บะลาฆุล มุบีน
18,กฺอลู อินนา ตะฏ็อยยัรนา บิกุม  ^  ละอิล ลัม ตันตะฮู ละนัรญุมันนะกุม วะละยะมัสสันนะกุม มินนา อฺะซาบุน อะลีม
19,กฺอลู ฏออิรุกุม มะอฺะกุม อะอิน ซุกกิรตุม  ^  บัล อันตุม เกฺอ์ามุม มุสริฟูน
20,วะญาอะ มิน อักฺศ็อล มะดีนะติ เราะญุลุย ยัสอฺา กฺอละ ยาเกฺอ์ามิต ตะบิอฺุล มุรสะลีน
21,อิตตะบิอฺู มัล ลา ยัสอะลุกุม อัจญ์เรอ์า วะฮุม มุฮ์ตะดูน
22,วะมา ลิยะ ลา อะอฺ์บุดุล ละซี ฟะเฏาะเราะนี วะอิลัยฮิ ตุรญะอฺูน
23,อะอัตตะคิซุ มิน ดูนิฮี อาลิฮะตัน อี ยุริดนิร เราะห์มานุ บิฎุรริล ลา ตุฆนิ อฺันนี ชะฟาอฺะตุฮุม ชัยเอา วะลา ยุนกฺิซูน
24,อินนี อิซัล ละฟี เฎาะลาลิม มุบีน
25,อินนี อามันตุ บิร็อบบิกุม ฟัสมะอฺูน
26,กฺีลัด คุลิล ญันนะฮ์  ^  กฺอละ ยาลัยตะ เกฺอ์ามี ยะอฺ์ละมูน
27,บิมา เฆาะฟะเราะ ลี ร็อบบี วะญะอฺะละนี มินัล มุกเราะมีน
28,วะมา อันซัลนา อฺะลา เกฺอ์ามิฮี มิม บะอฺ์ดิฮี มิน ญุนดิม มินัส สะมาอิ วะมา กุนนา มุนซิลีน
29,อิน กานัต อิลลา ศ็อยฮะเตา วาฮิดะตัน ฟะอิซา ฮุม คอมิดูน
30,ยาฮัสเราะตัน อฺะลัล อฺิบาด  ^  มา ยะอ์ตีฮิม มิร เราะสูลิน อิลลา กานู บิฮี ยัสตะฮ์ซิอูน
31,อะลัม ยะเรอ์า กัม อะฮ์ลักนา กฺ็อบละฮุม มินัล กฺุรูนิ อันนะฮุม อิลัยฮิม ลา ยัรญิอฺูน
32,วะอิน กุลลุล ลัมมา ญะมีอฺุล ละดัยนา มุห์เฎาะรูน
33,วะอายะตุล ละฮุมุล อัรฎุล มัยตะตุ อะห์ยัยนาฮา วะอัคร็อจญ์นา มินฮา ฮับบัน ฟะมินฮุ ยะอ์กุลูน
34,วะญะอฺัลนา ฟีฮา ญันนาติม มิน นะคีลิว วะอะอฺ์นาบิว วะฟัจญ์ญัรนา ฟีฮา มินัล อฺุยูน
35,ลิยะอ์กุลู มิน ษะมะริฮี วะมา อฺะมิลัตฮุ อัยดีฮิม  ^  อะฟะลา ยัชกุรูน
36,สุบฮานัล ละซี เคาะละกฺ็อล อัซวาญะ กุลละฮา มิมมา ตุมบิตุล อัรฎุ วะมิน อันฟุสิฮิม วะมิมมา ลา ยะอฺ์ละมูน
37,วะอายะตุล ละฮุมุล ลัยลุ นัสละคุ มินฮุน นะฮาเราะ ฟะอิซา ฮุม มุซฺลิมูน
