id,t
1,วัศศอ-ฟฟาติ ศ็อฟฟา
2,ฟัซซาญิรอติ ซัจญ์รอ
3,ฟัตตาลิยาติ ซิกรอ
4,อินนะ อิลาฮะกุม ละวาฮิด
5,ร็อบบุส สะมาวาติ วัลอัรฎิ วะมา บัยนะฮุมา วะร็อบบุล มะชาริกฺ
6,อินนา ซัยยันนัส สะมาอัด ดุนยา บิซีนะตินิล กะวากิบ
7,วะฮิฟซฺ็อม มิน กุลลิ ชัยฏอนิม มาริด
8,ลา ยัสสัมมะอฺูนะ อิลัล มะละอิล อะอฺ์ลา วะยุกฺซะฟูนะ มิน กุลลิ ญานิบ
9,ดุฮูรอ  ^  วะละฮุม อฺะซาบู วาศิบ
10,อิลลา มัน เคาะฏิฟัล ค็อฏฟะตะ ฟะอัตบะอฺะฮู ชิฮาบุน ษากฺิบ
11,ฟัสตัฟติฮิม อะฮุม อะชัดดุ ค็อลกฺ็อน อัม มัน เคาะลักฺนา  ^  อินนา เคาะลักฺนาฮุม มิน ฏีนิล ลาซิบ
12,บัล อฺะญิบตะ วะยัสเคาะรูน
13,วะอิซา ซุกกิรู ลา ยัซกุรูน
14,วะอิซา เราะเอา อายะตัย ยัสตัสคิรูน
15,วะกฺอลู อิน ฮาซา อิลลา สิห์รุม มุบีน
16,อะอิซา มิตนา วะกุนนา ตุรอเบา วะอฺิซฺอมัน อะอินนา ละมับอฺูษูน
17,อะวะ อาบาอุนัล เอาวะลูน
18,กฺุล นะอฺัม วะอันตุม ดาคิรูน
19,ฟะอินนะมา ฮิยะ ซัจญ์เราะตู วาฮิดะตุน ฟะอิซา ฮุม ยันซฺุรูน
20,วะกฺอลู ยาวัยละนา ฮาซา เยามุด ดีน
21,ฮาซา เยามุล ฟัศลิล ละซี กุนตุม บิฮี ตุกัซซิบูน
22,อุห์ชุรุล ละซีนะ เซฺาะละมู วะอัซวาญะฮุม วะมา กานู ยะอฺ์บุดูน
23,มิน ดูนิล ลาฮิ ฟะฮ์ดูฮุม อิลา ศิรอฏิล ญะฮีม
24,วะกฺิฟูฮุม  ^  อินนะฮุม มัสอูลูน
25,มา ละกุม ลา ตะนาเศาะรูน
26,บัล ฮุมุล เยามะ มุสตัสลิมูน
27,วะอักฺบะละ บะอฺ์ฎุฮุม อฺะลา บะอฺ์ฎี ยะตะสาอะลูน
28,กฺอลู อินนะกุม กุนตุม ตะอ์ตูนะนา อฺะนิล ยะมีน
29,กฺอลู บัล ลัม ตะกูนู มุอ์มินีน
30,วะมา กานะ ละนา อฺะลัยกุม มิน สุลฏอน  ^  บัล กุนตุม เกฺอ์ามัน ฏอฆีน
31,ฟะฮักฺเกฺาะ อฺะลัยนา เกฺอ์าลุ ร็อบบินา  ^  อินนา ละซาอิกฺูน
32,ฟะอัฆวัยนากุม อินนา กุนนา ฆอวีน
33,ฟะอินนะฮุม เยามะอิซิน ฟิล อฺะซาบิ มุชตะริกูน
34,อินนา กะซาลิกะ นัฟอฺะลุ บิลมุจญ์ริมีน
35,อินนะฮุม กานู อิซา กฺีละ ละฮุม ลา อิลาฮะ อิลลัล ลอฮุ ยัสตักบิรูน
36,วะยะกฺูลูนะ อะอินนา ละตาริกู อาลิฮะตินา ลิชาอฺิริม มัจญ์นูน
37,บัล ญาอะ บิลฮักฺกฺิ วะศ็อดดะกฺ็อล มุรสะลีน
38,อินนะกุม ละซาอิกฺุล อฺะซาบิล อะลีม
39,วะมา ตุจญ์เซานะ อิลลา มา กุนตุม ตะอฺ์มะลูน
40,อิลลา อฺิบาดัล ลอฮิล มุคละศีน
41,อุลาอิกะ ละฮุม ริซกฺุม มะอฺ์ลูม
