id,t
1,ศอ-ด  ^  วัลกฺุรอานิ ซิซ ซิกร์
2,บะลิล ละซีนะ กะฟะรู ฟี อฺิซซะติว วะชิกฺอกฺ
3,กัม อะฮ์ลักนา มิน กฺ็อบลิฮิม มิน กฺ็อรนิน ฟะนาเดา วะลาตะ ฮีนะ มะนาศ
4,วะอฺะญิบู อัน ญาอะฮุม มุนซิรุม มินฮุม  ^  วะกฺอลัล กาฟิรูนะ ฮาซา สาฮิรุน กัซซาบ
5,อะญะอฺะลัล อาลิฮะตะ อิลาเฮา วาฮิดา  ^  อินนะ ฮาซา ละชัยอุน อฺุญาบ
6,วันเฏาะละกฺ็อล มะละอุ มินฮุม อะนิม ชู วัศบิรู อฺะลา อาลิฮะติกุม  ^  อินนะ ฮาซา ละชัยอุย ยุรอด
7,มา สะมิอฺ์นา บิฮาซา ฟิล มิลละติล อาคิเราะติ อิน ฮาซา อิลลัค ติลากฺ
8,อะอุนซิละ อฺะลัยฮิซ ซิกรุ มิม บัยนินา  ^  บัล ฮุม ฟี ชักกิม มิน ซิกรี  ^  บัล ลัมมา ยะซูกฺู อฺะซาบ
9,อัม อฺินดะฮุม เคาะซาอินุ เราะห์มะติ ร็อบบิกัล อฺะซีซิล วะฮ์ฮาบ
10,อัม ละฮุม มุลกุส สะมาวาติ วัลอัรฎิ วะมา บัยนะฮุมา  ^  ฟัลยัรตะกฺู ฟิล อัสบาบ
11,ญุนดุม มา ฮุนาลิกะ มะฮ์ซูมุม มินัล อะห์ซาบ
12,กัซซะบัต กฺ็อบละฮุม เกฺอ์ามุ นูฮิว วะอฺาดู วะฟิรเอฺานุ ซุล เอาตาด
13,วะษะมูดุ วะเกฺอ์ามุ ลูฏิว วะอัศฮาบุล อัยกะฮ์  ^  อุลาอิกัล อะห์ซาบ
14,อิน กุลลุน อิลลา กัซซะบัร รุสุละ ฟะฮักฺเกฺาะ อฺิกฺอบ
15,วะมา ยันซฺุรุ ฮาอุลาอิ อิลลา ศ็อยฮะเตา วาฮิดะตัม มา ละฮา มิน ฟะวากฺ
16,วะกฺอลู ร็อบบะนา อฺัจญ์ญิล ละนา กฺิฏเฏาะนา กฺ็อบละ เยามิล ฮิสาบ
17,อิศบิร อฺะลา มา ยะกฺูลูนะ วัซกุร อฺับดะนา ดาวูดะ ซัล อัยด์  ^  อินนะฮู เอาวาบ
18,อินนา สัคค็อรนัล ญิบาละ มะอฺะฮู ยุสับบิห์นะ บิลอฺะชีย์ยิ วัลอิชรอกฺ
19,วัฏฏ็อยเราะ มะห์ชูเราะฮ์  ^  กุลลุล ละฮู เอาวาบ
20,วะชะดัดนา มุลกะฮู วะอาตัยนาฮุล ฮิกมะตะ วะฟัศลัล คิฏอบ
21,วะฮัล อะตากะ นะบะอุล ค็อศมิ อิซ ตะเสาวะรุล มิห์รอบ
22,อิซ ดะเคาะลู อฺะลา ดาวูดะ ฟะฟะซิอฺะ มินฮุม  ^  กฺอลู ลา ตะค็อฟ  ^  ค็อศมานิ บะฆอ บะอฺ์ฎุนา อฺะลา บะอฺ์ฎิน ฟะห์กุม บัยนะนา บิลฮักฺกฺิ วะลา ตุชฏิฏ วะฮ์ดินา อิลา สะวาอิศ ศิรอฏ
23,อินนะ ฮาซา อะคี ละฮู ติสอฺู วะติสอฺูนะ นะอฺ์ญะเตา วะลิยะ นะอฺ์ญะตู วาฮิดะตุน ฟะกฺอละ อักฟิลนีฮา วะอฺัซซะนี ฟิล คิฏอบ
24,กฺอละ ละกฺ็อด เซฺาะละมะกะ บิสุอาลิ นะอฺ์ญะติกะ อิลา นิอฺาญิฮ์  ^  วะอินนะ กะษีร็อม มินัล คุละฏออิ ละยับฆี บะอฺ์ฎุฮุม อฺะลา บะอฺ์ฎิน อิลลัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ วะเกฺาะลีลุม มา ฮุม  ^  วะซฺ็อนนะ ดาวูดุ อันนะมา ฟะตันนาฮุ ฟัสตัฆฟะเราะ ร็อบบะฮู วะค็อรเราะ รอกิเอฺา วะอะนาบ
25,ฟะเฆาะฟัรนา ละฮู ซาลิก  ^  วะอินนะ ละฮู อฺินดะนา ละซุลฟา วะฮุสนะ มะอาบ
26,ยาดาวูดุ อินนา ญะอฺัลนากะ เคาะลีฟะตัน ฟิล อัรฎิ ฟะห์กุม บัยนัน นาสิ บิลฮักฺกฺิ วะลา ตัตตะบิอฺิล ฮะวา ฟะยุฎิลละกะ อฺัน สะบีลิล ลาฮ์  ^  อินนัล ละซีนะ ยะฎิลลูนะ อฺัน สะบีลิล ลาฮิ ละฮุม อฺะซาบุน ชะดีดุม บิมา นะสู เยามัล ฮิสาบ
27,วะมา เคาะลักฺนัส สะมาอะ วัลอัรเฎาะ วะมา บัยนะฮุมา บาฏิลา  ^  ซาลิกะ ซฺ็อนนุล ละซีนะ กะฟะรู  ^  ฟะวัยลุล ลิลละซีนะ กะฟะรู มินัน นาร
28,อัม นัจญ์อฺะลุล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ กัลมุฟสิดีนะ ฟิล อัรฎิ อัม นัจญ์อฺะลุล มุตตะกฺีนะ กัลฟุจญ์ญาร
29,กิตาบุน อันซัลนาฮุ อิลัยกะ มุบาเราะกุล ลิยัดดับบะรู อายาติฮี วะลิยะตะซักกะเราะ อุลุล อัลบาบ
30,วะวะฮับนา ลิดาวูดะ สุลัยมาน  ^  นิอฺ์มัล อฺับดุ อินนะฮู เอาวาบ
31,อิซ อฺุริเฎาะ อฺะลัยฮิ บิลอฺะชีย์ยิศ ศอฟินาตุล ญิยาด
32,ฟะกฺอละ อินนี อะห์บับตุ ฮุบบัล ค็อยริ อฺัน ซิกริ ร็อบบี ฮัตตา ตะวาร็อต บิลฮิญาบ
33,รุดดูฮา อฺะลัยย์  ^  ฟะเฏาะฟิเกฺาะ มัสฮัม บิสสูกฺิ วัลอะอฺ์นากฺ
34,วะละกฺ็อด ฟะตันนา สุลัยมานะ วะอัลกฺ็อยนา อฺะลา กุรสีย์ยิฮี ญะสะดัน ษุมมะ อะนาบ
35,กฺอละ ร็อบบิฆ ฟิร ลี วะฮับ ลี มุลกัล ลา ยัมบะฆี ลิอะฮะดิม มิม บะอฺ์ดี  ^  อินนะกะ อันตัล วะฮ์ฮาบ
36,ฟะสัคค็อรนา ละฮุร รีฮะ ตัจญ์รี บิอัมริฮี รุคออัน ฮัยษุ อะศอบ
37,วัชชะยาฏีนะ กุลละ บันนาอิว วะเฆอ์าวาศ
38,วะอาเคาะรีนะ มุกฺ็อรเราะนีนะ ฟิล อัศฟาด
39,ฮาซา อฺะฏออุนา ฟัมนุน เอา อัมสิก บิฆ็อยริ ฮิสาบ
40,วะอินนะ ละฮู อฺินดะนา ละซุลฟา วะฮุสนะ มะอาบ
41,วัซกุร อฺับดะนา อัยยูบะ อิซ นาดา ร็อบบะฮู อันนี มัสสะนิยัช ชัยฏอนุ บินุศบิว วะอฺะซาบ
42,อุรกุฎ บิริจญ์ลิก  ^  ฮาซา มุฆตะสะลุม บาริดู วะชะรอบ
43,วะวะฮับนา ละฮู อะฮ์ละฮู วะมิษละฮุม มะอฺะฮุม เราะห์มะตัม มินนา วะซิกรอ ลิอุลิล อัลบาบ
44,วะคุซ บิยะดิกะ ฎิฆษัน ฟัฎริบ บิฮี วะลา ตะห์นัษ  ^  อินนา วะญัดนาฮุ ศอบิรอ  ^  นิอฺ์มัล อฺับดุ อินนะฮู เอาวาบ
45,วัซกุร อฺิบาดะนา อิบรอฮีมะ วะอิสฮาเกฺาะ วะยะอฺ์กฺูบะ อุลิล อัยดี วัลอับศอร
46,อินนา อัคลัศนาฮุม บิคอลิเศาะติน ซิกร็อด ดาร
47,วะอินนะฮุม อฺินดะนา ละมินัล มุศเฏาะฟัยนัล อัคยาร
48,วัซกุร อิสมาอฺีละ วัลยะสะอฺะ วะซัล กิฟล์  ^  วะกุลลุม มินัล อัคยาร
49,ฮาซา ซิกร์  ^  วะอินนะ ลิลมุตตะกฺีนะ ละฮุสนะ มะอาบ
50,ญันนาติ อฺัดนิม มุฟัตตะฮะตัล ละฮุมุล อับวาบ
51,มุตตะกิอีนะ ฟีฮา ยัดอฺูนะ ฟีฮา บิฟากิฮะติน กะษีเราะติว วะชะรอบ
52,วะอฺินดะฮุม กฺอศิรอตุฏ ฏ็อรฟิ อัตรอบ
53,ฮาซา มา ตูอฺะดูนะ ลิเยามิล ฮิสาบ
54,อินนะ ฮาซา ละริซกฺุนา มา ละฮู มิน นะฟาด
55,ฮาซา  ^  วะอินนะ ลิฏฏอฆีนะ ละชัรเราะ มะอาบ
56,ญะฮันนะมะ ยัศเลานะฮา ฟะบิอ์สัล มิฮาด
57,ฮาซา ฟัลยะซูกฺูฮุ ฮะมีมู วะฆ็อสสากฺ
58,วะอาเคาะรุ มิน ชักลิฮี อัซวาจญ์
59,ฮาซา เฟาญุม มุกฺตะฮิมุม มะอฺะกุม ลา มัรฮะบัม บิฮิม  ^  อินนะฮุม ศอลุน นาร
