id,t
1,ตันซีลุล กิตาบิ มินัล ลอฮิล อฺะซีซิล ฮะกีม
2,อินนา อันซัลนา อิลัยกัล กิตาบะ บิลฮักฺกฺิ ฟะอฺ์บุดิล ลาฮะ มุคลิศ็อล ละฮุด ดีน
3,อะลา ลิลลาฮิด ดีนุล คอลิศ  ^  วัลละซีนัต ตะเคาะซู มิน ดูนิฮี เอาลิยาอะ มา นะอฺ์บุดุฮุม อิลลา ลิยุกฺ็อรริบูนา อิลัล ลอฮิ ซุลฟา อินนัล ลอฮะ ยะห์กุมุ บัยนะฮุม ฟี มา ฮุม ฟีฮิ ยัคตะลิฟูน  ^  อินนัล ลอฮะ ลา ยะฮ์ดี มัน ฮุวะ กาซิบุน กัฟฟาร
4,เลา อะรอดัล ลอฮุ อัย ยัตตะคิซะ วะละดัล ลัศเฏาะฟา มิมมา ยัคลุกฺุ มา ยะชาอ์  ^  สุบฮานะฮ์  ^  ฮุวัล ลอฮุล วาฮิดุล เกฺาะฮ์ฮาร
5,เคาะละกฺ็อส สะมาวาติ วัลอัรเฎาะ บิลฮักฺกฺ์  ^  ยุเกาวิรุล ลัยละ อฺะลัน นะฮาริ วะยุเกาวิรุน นะฮาเราะ อฺะลัล ลัยล์  ^  วะสัคเคาะร็อช ชัมสะ วัลเกฺาะมัร  ^  กุลลุย ยัจญ์รี ลิอะญะลิม มุสัมมา  ^  อะลา ฮุวัล อฺะซีซุล ฆ็อฟฟาร
6,เคาะละเกฺาะกุม มิน นัฟสิว วาฮิดะติน ษุมมะ ญะอฺะละ มินฮา เซาญะฮา วะอันซะละ ละกุม มินัล อันอฺามิ ษะมานิยะตะ อัซวาจญ์  ^  ยัคลุกฺุกุม ฟี บุฏูนิ อุมมะฮาติกุม ค็อลกฺ็อม มิม บะอฺ์ดิ ค็อลกฺิน ฟี ซฺุลุมาติน ษะลาษ  ^  ซาลิกุมุล ลอฮุ ร็อบบุกุม ละฮุล มุลก์  ^  ลา อิลาฮะ อิลลา ฮู  ^  ฟะอันนา ตุศเราะฟูน
7,อิน ตักฟุรู ฟะอินนัล ลอฮะ เฆาะนีย์ยุน อฺันกุม  ^  วะลา ยัรฎอ ลิอฺิบาดิฮิล กุฟร์  ^  วะอิน ตัชกุรู ยัรเฎาะฮุ ละกุม  ^  วะลา ตะซิรุ วาซิเราะตู วิซเราะ อุครอ  ^  ษุมมะ อิลา ร็อบบิกุม มัรญิอฺุกุม ฟะยุนับบิอุกุม บิมา กุนตุม ตะอฺ์มะลูน  ^  อินนะฮู อฺะลีมุม บิซาติศ ศุดูร
8,วะอิซา มัสสัล อินสานะ ฎุรรุน ดะอฺา ร็อบบะฮู มุนีบัน อิลัยฮิ ษุมมะ อิซา เคอ์าวะละฮู นิอฺ์มะตัม มินฮุ นะสิยะ มา กานะ ยัดอฺู อิลัยฮิ มิน กฺ็อบลุ วะญะอฺะละ ลิลลาฮิ อันดาดัล ลิยุฎิลละ อฺัน สะบีลิฮ์  ^  กฺุล ตะมัตตะอฺ์ บิกุฟริกะ เกฺาะลีลัน อินนะกะ มิน อัศฮาบิน นาร
9,อัมมัน ฮุวะ กฺอนิตุน อานาอัล ลัยลิ สาญิเดา วะกฺออิมัย ยะห์ซะรุล อาคิเราะตะ วะยัรญู เราะห์มะตะ ร็อบบิฮ์  ^  กฺุล ฮัล ยัสตะวิล ละซีนะ ยะอฺ์ละมูนะ วัลละซีนะ ลา ยะอฺ์ละมูน  ^  อินนะมา ยะตะซักกะรุ อุลุล อัลบาบ
10,กฺุล ยาอฺิบาดิล ละซีนะ อามะนุต ตะกฺู ร็อบบะกุม  ^  ลิลละซีนะ อะห์สะนู ฟี ฮาซิฮิด ดุนยา ฮะสะนะฮ์  ^  วะอัรฎุล ลอฮิ วาสิอฺะฮ์  ^  อินนะมา ยุวัฟฟัศ ศอบิรูนะ อัจญ์เราะฮุม บิฆ็อยริ ฮิสาบ
