id,t
1,ยาอัยยุฮัน นาสุต ตะกฺู ร็อบบะกุมุล ละซี เคาะละเกฺาะกุม มิน นัฟสิว วาฮิดะติว วะเคาะละเกฺาะ มินฮา เซาญะฮา วะบัษษะ มินฮุมา ริญาลัน กะษีเรอ์า วะนิสาอา  ^  วัตตะกฺุล ลอฮัล ละซี ตะสาอะลูนะ บิฮี วัลอัรฮาม  ^  อินนัล ลอฮะ กานะ อฺะลัยกุม เราะกฺีบา
2,วะอาตุล ยะตามา อัมวาละฮุม  ^  วะลา ตะตะบัดดะลุล เคาะบีษะ บิฏฏ็อยยิบ  ^  วะลา ตะอ์กุลู อัมวาละฮุม อิลา อัมวาลิกุม  ^  อินนะฮู กานะ ฮูบัน กะบีรอ
3,วะอิน คิฟตุม อัลลา ตุกฺสิฏู ฟิล ยะตามา ฟันกิฮู มา ฏอบะ ละกุม มินัน นิสาอิ มัษนา วะษุลาษะ วะรุบาอฺ์  ^  ฟะอิน คิฟตุม อัลลา ตะอฺ์ดิลู ฟะวาฮิดะตัน เอา มา มะละกัต อัยมานุกุม  ^  ซาลิกะ อัดนา อัลลา ตะอฺูลู
4,วะอาตุน นิสาอะ เศาะดุกฺอติฮินนะ นิห์ละฮ์  ^  ฟะอิน ฏิบนะ ละกุม อฺัน ชัยอิม มินฮุ นัฟสัน ฟะกุลูฮุ ฮะนีอัม มะรีอา
5,วะลา ตุอ์ตุส สุฟะฮาอะ อัมวาละกุมุล ละตี ญะอฺะลัล ลอฮุ ละกุม กฺิยาเมา วัรซุกฺูฮุม ฟีฮา วักสูฮุม วะกฺูลู ละฮุม เกฺอ์าลัม มะอฺ์รูฟา
6,วับตะลุล ยะตามา ฮัตตา อิซา บะละฆุน นิกาฮะ ฟะอิน อานัสตุม มินฮุม รุชดัน ฟัดฟะอฺู อิลัยฮิม อัมวาละฮุม  ^  วะลา ตะอ์กุลูฮา อิสรอเฟา วะบิดาร็อน อัย ยักบะรู  ^  วะมัน กานะ เฆาะนีย์ยัน ฟัลยัสตะอฺ์ฟิฟ  ^  วะมัน กานะ ฟะกฺีร็อน ฟัลยะอ์กุล บิลมะอฺ์รูฟ  ^  ฟะอิซา ดะฟะอฺ์ตุม อิลัยฮิม อัมวาละฮุม ฟะอัชฮิดู อฺะลัยฮิม  ^  วะกะฟา บิลลาฮิ ฮะสีบา
7,ลิรริญาลิ นะศีบุม มิมมา ตะเราะกัล วาลิดานิ วัลอักฺเราะบูนะ วะลินนิสาอิ นะศีบุม มิมมา ตะเราะกัล วาลิดานิ วัลอักฺเราะบูนะ มิมมา กฺ็อลละ มินฮุ เอา กะษุร  ^  นะศีบัม มัฟรูฎอ
8,วะอิซา ฮะเฎาะร็อล กฺิสมะตะ อุลุล กฺุรบา วัลยะตามา วัลมะสากีนุ ฟัรซุกฺูฮุม มินฮุ วะกฺูลู ละฮุม เกฺอ์าลัม มะอฺ์รูฟา
9,วัลยัคชัล ละซีนะ เลา ตะเราะกู มิน ค็อลฟิฮิม ซุรรีย์ยะตัน ฎิอฺาฟัน คอฟู อฺะลัยฮิม ฟัลยัตตะกฺุล ลอฮะ วัลยะกฺูลู เกฺอ์าลัน สะดีดา
10,อินนัล ละซีนะ ยะอ์กุลูนะ อัมวาลัล ยะตามา ซฺุลมัน อินนะมา ยะอ์กุลูนะ ฟี บุฏูนิฮิม นารอ  ^  วะสะยัศเลานะ สะอฺีรอ
11,ยูศีกุมุล ลอฮุ ฟี เอาลาดิกุม  ^  ลิซซะกะริ มิษลุ ฮัซฺซฺิล อุนษะยัยน์  ^  ฟะอิน กุนนะ นิสาอัน เฟากฺ็อษ นะตัยนิ ฟะละฮุนนะ ษุลุษา มา ตะร็อก  ^  วะอิน กานัต วาฮิดะตัน ฟะละฮัน นิศฟ์  ^  วะลิอะบะวัยฮิ ลิกุลลิ วาฮิดิม มินฮุมัส สุดุสุ มิมมา ตะเราะกะ อิน กานะ ละฮู วะลัด  ^  ฟะอิล ลัม ยะกุล ละฮู วะละดู วะวะริษะฮู อะบะวาฮุ ฟะลิอุมมิฮิษ ษุลุษ  ^  ฟะอิน กานะ ละฮู อิควะตุน ฟะลิอุมมิฮิส สุดุส  ^  มิม บะอฺ์ดิ วะศีย์ยะตี ยูศี บิฮา เอา ดัยน์  ^  อาบาอุกุม วะอับนาอุกุม ลา ตัดรูนะ อัยยุฮุม อักฺเราะบุ ละกุม นัฟอฺา  ^  ฟะรีเฎาะตัม มินัล ลอฮ์  ^  อินนัล ลอฮะ กานะ อฺะลีมัน ฮะกีมา
12,วะละกุม นิศฟุ มา ตะเราะกะ อัซวาญุกุม อิล ลัม ยะกุล ละฮุนนะ วะลัด  ^  ฟะอิน กานะ ละฮุนนะ วะละดุน ฟะละกุมุร รุบุอฺุ มิมมา ตะร็อกน์  ^  มิม บะอฺ์ดิ วะศีย์ยะตี ยูศีนะ บิฮา เอา ดัยน์  ^  วะละฮุนนัร รุบุอฺุ มิมมา ตะร็อกตุม อิล ลัม ยะกุล ละกุม วะลัด  ^  ฟะอิน กานะ ละกุม วะละดุน ฟะละฮุนนัษ ษุมุนุ มิมมา ตะร็อกตุม  ^  มิม บะอฺ์ดิ วะศีย์ยะติน ตูศูนะ บิฮา เอา ดัยน์  ^  วะอิน กานะ เราะญุลุย ยูเราะษุ กะลาละตัน อะวิม เราะอะตู วะละฮู อะคุน เอา อุคตุน ฟะลิกุลลิ วาฮิดิม มินฮุมัส สุดุส  ^  ฟะอิน กานู อักษะเราะ มิน ซาลิกะ ฟะฮุม ชุเราะกาอุ ฟิษ ษุลุษ  ^  มิม บะอฺ์ดิ วะศีย์ยะตี ยูศอ บิฮา เอา ดัยนิน ฆ็อยเราะ มุฎอ-รร์  ^  วะศีย์ยะตัม มินัล ลอฮ์  ^  วัลลอฮุ อฺะลีมุน ฮะลีม
13,ติลกะ ฮุดูดุล ลอฮ์  ^  วะมัย ยุฏิอฺิล ลาฮะ วะเราะสูละฮู ยุดคิลฮุ ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮารุ คอลิดีนะ ฟีฮา  ^  วะซาลิกัล เฟาซุล อฺะซฺีม
14,วะมัย ยะอฺ์ศิล ลาฮะ วะเราะสูละฮู วะยะตะอฺัดดะ ฮุดูดะฮู ยุดคิลฮุ นาร็อน คอลิดัน ฟีฮา วะละฮู อฺะซาบุม มุฮีน
15,วัลลาตี ยะอ์ตีนัล ฟาฮิชะตะ มิน นิสาอิกุม ฟัสตัชฮิดู อฺะลัยฮินนะ อัรบะอฺะตัม มินกุม  ^  ฟะอิน ชะฮิดู ฟะอัมสิกูฮุนนะ ฟิล บุยูติ ฮัตตา ยะตะวัฟฟาฮุนนัล เมาตุ เอา ยัจญ์อฺะลัล ลอฮุ ละฮุนนะ สะบีลา
16,วัลละซานิ ยะอ์ติยานิฮา มินกุม ฟะอาซูฮุมา  ^  ฟะอิน ตาบา วะอัศละฮา ฟะอะอฺ์ริฎู อฺันฮุมา  ^  อินนัล ลอฮะ กานะ เตาวาบัร เราะฮีมา
17,อินนะมัต เตาบะตุ อฺะลัล ลอฮิ ลิลละซีนะ ยะอฺ์มะลูนัส สูอะ บิญะฮาละติน ษุมมะ ยะตูบูนะ มิน เกฺาะรีบิน ฟะอุลาอิกะ ยะตูบุล ลอฮุ อฺะลัยฮิม  ^  วะกานัล ลอฮุ อฺะลีมัน ฮะกีมา
18,วะลัยสะติต เตาบะตุ ลิลละซีนะ ยะอฺ์มะลูนัส สัยยิอาติ ฮัตตา อิซา ฮะเฎาะเราะ อะฮะดะฮุมุล เมาตุ กฺอละ อินนี ตุบตุล อานะ วะลัล ละซีนะ ยะมูตูนะ วะฮุม กุฟฟาร  ^  อุลาอิกะ อะอฺ์ตัดนา ละฮุม อฺะซาบัน อะลีมา
