id,t
1,ฮา มี-ม
2,ตันซีลุม มินัร เราะห์มานิร เราะฮีม
3,กิตาบุน ฟุศศิลัต อายาตุฮู กฺุรอานัน อฺะเราะบีย์ยัล ลิเกฺอ์ามี ยะอฺ์ละมูน
4,บะชีเรอ์า วะนะซีร็อน ฟะอะอฺ์เราะเฎาะ อักษะรุฮุม ฟะฮุม ลา ยัสมะอฺูน
5,วะกฺอลู กฺุลูบุนา ฟี อะกินนะติม มิมมา ตัดอฺูนา อิลัยฮิ วะฟี อาซานินา วักฺรู วะมิม บัยนินา วะบัยนิกะ ฮิญาบุน ฟะอฺ์มัล อินนะนา อฺามิลูน
6,กฺุล อินนะมา อะนะ บะชะรุม มิษลุกุม ยูฮา อิลัยยะ อันนะมา อิลาฮุกุม อิลาฮู วาฮิดุน ฟัสตะกฺีมู อิลัยฮิ วัสตัฆฟิรูฮ์  ^  วะวัยลุล ลิลมุชริกีน
7,อัลละซีนะ ลา ยุอ์ตูนัซ ซะกาตะ วะฮุม บิลอาคิเราะติ ฮุม กาฟิรูน
8,อินนัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ ละฮุม อัจญ์รุน ฆ็อยรุ มัมนูน
9,กฺุล อะอินนะกุม ละตักฟุรูนะ บิลละซี เคาะละกฺ็อล อัรเฎาะ ฟี เยามัยนิ วะตัจญ์อฺะลูนะ ละฮู อันดาดา  ^  ซาลิกะ ร็อบบุล อฺาละมีน
10,วะญะอฺะละ ฟีฮา เราะวาสิยะ มิน เฟากฺิฮา วะบาเราะกะ ฟีฮา วะกฺ็อดดะเราะ ฟีฮา อักฺวาตะฮา ฟี อัรบะอฺะติ อัยยามิน สะวาอัล ลิสสาอิลีน
11,ษุมมัส ตะวา อิลัส สะมาอิ วะฮิยะ ดุคอนุน ฟะกฺอละ ละฮา วะลิลอัรฎิอ์ ติยา เฏอ์าอฺัน เอา กัรฮัน กฺอละตา อะตัยนา ฏออิอฺีน
12,ฟะเกฺาะฎอฮุนนะ สับอฺะ สะมาวาติน ฟี เยามัยนิ วะเอาฮา ฟี กุลลิ สะมาอิน อัมเราะฮา  ^  วะซัยยันนัส สะมาอัด ดุนยา บิมะศอบีฮะ วะฮิฟซฺอ  ^  ซาลิกะ ตักฺดีรุล อฺะซีซิล อฺะลีม
13,ฟะอิน อะอฺ์เราะฎู ฟะกฺุล อันซัรตุกุม ศออฺิเกฺาะตัม มิษละ ศออฺิเกฺาะติ อฺาดิว วะษะมูด
14,อิซ ญาอัตฮุมุร รุสุลุ มิม บัยนิ อัยดีฮิม วะมิน ค็อลฟิฮิม อัลลา ตะอฺ์บุดู อิลลัล ลอฮ์  ^  กฺอลู เลา ชาอะ ร็อบบุนา ละอันซะละ มะลาอิกะตัน ฟะอินนา บิมา อุรสิลตุม บิฮี กาฟิรูน
15,ฟะอัมมา อฺาดุน ฟัสตักบะรู ฟิล อัรฎิ บิฆ็อยริล ฮักฺกฺิ วะกฺอลู มัน อะชัดดุ มินนา กฺูว์วะฮ์  ^  อะวะ ลัม ยะเรอ์า อันนัล ลอฮัล ละซี เคาะละเกฺาะฮุม ฮุวะ อะชัดดุ มินฮุม กฺูว์วะฮ์  ^  วะกานู บิอายาตินา ยัจญ์ฮะดูน
