id,t
1,ฮา มี-ม
2,วัลกิตาบิล มุบีน
3,อินนา ญะอฺัลนาฮุ กฺุรอานัน อฺะเราะบีย์ยัล ละอฺัลละกุม ตะอฺ์กฺิลูน
4,วะอินนะฮู ฟี อุมมิล กิตาบิ ละดัยนา ละอฺะลีย์ยุน ฮะกีม
5,อะฟะนัฎริบุ อฺันกุมุซ ซิกเราะ ศ็อฟฮัน อัน กุนตุม เกฺอ์ามัม มุสริฟีน
6,วะกัม อัรสัลนา มิน นะบีย์ยิน ฟิล เอาวะลีน
7,วะมา ยะอ์ตีฮิม มิน นะบีย์ยิน อิลลา กานู บิฮี ยัสตะฮ์ซิอูน
8,ฟะอะฮ์ลักนา อะชัดดะ มินฮุม บัฏเชา วะมะฎอ มะษะลุล เอาวะลีน
9,วะละอิน สะอัลตะฮุม มัน เคาะละกฺ็อส สะมาวาติ วัลอัรเฎาะ ละยะกฺูลุนนะ เคาะละเกฺาะฮุนนัล อฺะซีซุล อฺะลีม
10,อัลละซี ญะอฺะละ ละกุมุล อัรเฎาะ มะฮ์เดา วะญะอฺะละ ละกุม ฟีฮา สุบุลัล ละอฺัลละกุม ตะฮ์ตะดูน
11,วัลละซี นัซซะละ มินัส สะมาอิ มาอัม บิเกฺาะดะริน ฟะอันชัรนา บิฮี บัลดะตัม มัยตา  ^  กะซาลิกะ ตุคเราะญูน
12,วัลละซี เคาะละกฺ็อล อัซวาญะ กุลละฮา วะญะอฺะละ ละกุม มินัล ฟุลกิ วัลอันอฺามิ มา ตัรกะบูน
13,ลิตัสตะวู อฺะลา ซฺุฮูริฮี ษุมมะ ตัซกุรู นิอฺ์มะตะ ร็อบบิกุม อิซัส ตะวัยตุม อฺะลัยฮิ วะตะกฺูลู สุบฮานัล ละซี สัคเคาะเราะ ละนา ฮาซา วะมา กุนนา ละฮู มุกฺรินีน
14,วะอินนา อิลา ร็อบบินา ละมุนเกฺาะลิบูน
15,วะญะอฺะลู ละฮู มิน อฺิบาดิฮี ญุซอา  ^  อินนัล อินสานะ ละกะฟูรุม มุบีน
16,อะมิต ตะเคาะซะ มิมมา ยัคลุกฺุ บะนาติว วะอัศฟากุม บิลบะนีน
