id,t
1,ฮา มี-ม
2,วัลกิตาบิล มุบีน
3,อินนา อันซัลนาฮุ ฟี ลัยละติม มุบาเราะกะฮ์  ^  อินนา กุนนา มุนซิรีน
4,ฟีฮา ยุฟเราะกฺุ กุลลุ อัมริน ฮะกีม
5,อัมร็อม มิน อฺินดินา  ^  อินนา กุนนา มุรสิลีน
6,เราะห์มะตัม มิร ร็อบบิก  ^  อินนะฮู ฮุวัส สะมีอฺุล อฺะลีม
7,ร็อบบิส สะมาวาติ วัลอัรฎิ วะมา บัยนะฮุมา  ^  อิน กุนตุม มูกฺินีน
8,ลา อิลาฮะ อิลลา ฮุวะ ยุห์ยี วะยุมีต  ^  ร็อบบุกุม วะร็อบบุ อาบาอิกุมุล เอาวะลีน
9,บัล ฮุม ฟี ชักกี ยัลอฺะบูน
10,ฟัรตะกฺิบ เยามะ ตะอ์ติส สะมาอุ บิดุคอนิม มุบีน
11,ยัฆชัน นาส  ^  ฮาซา อฺะซาบุน อะลีม
12,ร็อบบะนัก ชิฟ อฺันนัล อฺะซาบะ อินนา มุอ์มินูน
13,อันนา ละฮุมุซ ซิกรอ วะกฺ็อด ญาอะฮุม เราะสูลุม มุบีน
14,ษุมมะ ตะวัลเลา อฺันฮุ วะกฺอลู มุอฺัลละมุม มัจญ์นูน
15,อินนา กาชิฟุล อฺะซาบิ เกฺาะลีลา  ^  อินนะกุม อฺาอิดูน
16,เยามะ นับฏิชุล บัฏชะตัล กุบรอ อินนา มุนตะกฺิมูน
17,วะละกฺ็อด ฟะตันนา กฺ็อบละฮุม เกฺอ์ามะ ฟิรเอฺานะ วะญาอะฮุม เราะสูลุน กะรีม
18,อัน อัดดู อิลัยยะ อฺิบาดัล ลอฮ์  ^  อินนี ละกุม เราะสูลุน อะมีน
19,วะอัล ลา ตะอฺ์ลู อฺะลัล ลอฮ์  ^  อินนี อาตีกุม บิสุลฏอนิม มุบีน
20,วะอินนี อฺุซตุ บิร็อบบี วะร็อบบิกุม อัน ตัรญุมูน
21,วะอิล ลัม ตุอ์มินู ลี ฟะอฺ์ตะซิลูน
22,ฟะดะอฺา ร็อบบะฮู อันนะ ฮาอุลาอิ เกฺอ์ามุม มุจญ์ริมูน
