id,t
1,ฮา มี-ม
2,ตันซีลุล กิตาบิ มินัล ลอฮิล อฺะซีซิล ฮะกีม
3,อินนะ ฟิส สะมาวาติ วัลอัรฎิ ละอายาติล ลิลมุอ์มินีน
4,วะฟี ค็อลกฺิกุม วะมา ยะบุษษุ มิน ดา-บบะติน อายาตุล ลิเกฺอ์ามี ยูกฺินูน
5,วัคติลาฟิล ลัยลิ วันนะฮาริ วะมา อันซะลัล ลอฮุ มินัส สะมาอิ มิร ริซกฺิน ฟะอะห์ยา บิฮิล อัรเฎาะ บะอฺ์ดะ เมาติฮา วะตัศรีฟิร ริยาฮิ อายาตุล ลิเกฺอ์ามี ยะอฺ์กฺิลูน
6,ติลกะ อายาตุล ลอฮิ นัตลูฮา อฺะลัยกะ บิลฮักฺกฺ์  ^  ฟะบิอัยยิ ฮะดีษิม บะอฺ์ดัล ลอฮิ วะอายาติฮี ยุอ์มินูน
7,วัยลุล ลิกุลลิ อัฟฟากิน อะษีม
8,ยัสมะอฺุ อายาติล ลาฮิ ตุตลา อฺะลัยฮิ ษุมมะ ยุศิรรุ มุสตักบิร็อน กะอัล ลัม ยัสมะอฺ์ฮา  ^  ฟะบัชชิรฮุ บิอฺะซาบิน อะลีม
9,วะอิซา อฺะลิมะ มิน อายาตินา ชัยอะนิต ตะเคาะซะฮา ฮุซุวา  ^  อุลาอิกะ ละฮุม อฺะซาบุม มุฮีน
10,มิว วะรออิฮิม ญะฮันนัม  ^  วะลา ยุฆนี อฺันฮุม มา กะสะบู ชัยเอา วะลา มัต ตะเคาะซู มิน ดูนิล ลาฮิ เอาลิยาอ์  ^  วะละฮุม อฺะซาบุน อฺะซฺีม
11,ฮาซา ฮุดา  ^  วัลละซีนะ กะฟะรู บิอายาติ ร็อบบิฮิม ละฮุม อฺะซาบุม มิร ริจญ์ซิน อะลีม
12,อัลลอฮุล ละซี สัคเคาะเราะ ละกุมุล บะห์เราะ ลิตัจญ์ริยัล ฟุลกุ ฟีฮิ บิอัมริฮี วะลิตับตะฆู มิน ฟัฎลิฮี วะละอฺัลละกุม ตัชกุรูน
13,วะสัคเคาะเราะ ละกุม มา ฟิส สะมาวาติ วะมา ฟิล อัรฎิ ญะมีอฺัม มินฮ์  ^  อินนะ ฟี ซาลิกะ ละอายาติล ลิเกฺอ์ามี ยะตะฟักกะรูน
14,กฺุล ลิลละซีนะ อามะนู ยัฆฟิรู ลิลละซีนะ ลา ยัรญูนะ อัยยามัล ลอฮิ ลิยัจญ์ซิยะ เกฺอ์ามัม บิมา กานู ยักสิบูน
15,มัน อฺะมิละ ศอลิฮัน ฟะลินัฟสิฮ์  ^  วะมัน อะสาอะ ฟะอฺะลัยฮา  ^  ษุมมะ อิลา ร็อบบิกุม ตุรญะอฺูน
16,วะละกฺ็อด อาตัยนา บะนี อิสรออีลัล กิตาบะ วัลฮุกมะ วันนุบูว์วะตะ วะเราะซักฺนาฮุม มินัฏ ฏ็อยยิบาติ วะฟัฎฎ็อลนาฮุม อฺะลัล อฺาละมีน
