id,t
1,อัลละซีนะ กะฟะรู วะศ็อดดู อฺัน สะบีลิล ลาฮิ อะฎ็อลละ อะอฺ์มาละฮุม
2,วัลละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ วะอามะนู บิมา นุซซิละ อฺะลา มุฮัมมะดิว วะฮุวัล ฮักฺกฺุ มิร ร็อบบิฮิม กัฟฟะเราะ อฺันฮุม สัยยิอาติฮิม วะอัศละฮะ บาละฮุม
3,ซาลิกะ บิอันนัล ละซีนะ กะฟะรุต ตะบะอฺุล บาฏิละ วะอันนัล ละซีนะ อามะนุต ตะบะอฺุล ฮักฺเกฺาะ มิร ร็อบบิฮิม  ^  กะซาลิกะ ยัฎริบุล ลอฮุ ลินนาสิ อัมษาละฮุม
4,ฟะอิซา ละกฺีตุมุล ละซีนะ กะฟะรู ฟะฎ็อรบัร ริกฺอบิ ฮัตตา อิซา อัษค็อนตุมูฮุม ฟะชุดดุล วะษาเกฺาะ ฟะอิมมา มันนัม บะอฺ์ดุ วะอิมมา ฟิดาอัน ฮัตตา ตะเฎาะอฺัล ฮัรบุ เอาซาเราะฮา  ^  ซาลิก  ^  วะเลา ยะชาอุล ลอฮุ ลันตะเศาะเราะ มินฮุม วะลากิล ลิยับลุวะ บะอฺ์เฎาะกุม บิบะอฺ์ฎ์  ^  วัลละซีนะ กฺุติลู ฟี สะบีลิล ลาฮิ ฟะลัย ยุฎิลละ อะอฺ์มาละฮุม
5,สะยะฮ์ดีฮิม วะยุศลิฮุ บาละฮุม
6,วะยุดคิลุฮุมุล ญันนะตะ อฺัรเราะฟะฮา ละฮุม
7,ยาอัยยุฮัล ละซีนะ อามะนู อิน ตันศุรุล ลอฮะ ยันศุรกุม วะยุษับบิต อักฺดามะกุม
8,วัลละซีนะ กะฟะรู ฟะตะอฺ์สัล ละฮุม วะอะฎ็อลละ อะอฺ์มาละฮุม
9,ซาลิกะ บิอันนะฮุม กะริฮู มา อันซะลัล ลอฮุ ฟะอะห์บะเฏาะ อะอฺ์มาละฮุม
10,อะฟะลัม ยะสีรู ฟิล อัรฎิ ฟะยันซฺุรู กัยฟะ กานะ อฺากฺิบะตุล ละซีนะ มิน กฺ็อบลิฮิม  ^  ดัมมะร็อล ลอฮุ อฺะลัยฮิม  ^  วะลิลกาฟิรีนะ อัมษาลุฮา
11,ซาลิกะ บิอันนัล ลอฮะ เมาลัล ละซีนะ อามะนู วะอันนัล กาฟิรีนะ ลา เมาลา ละฮุม
12,อินนัล ลอฮะ ยุดคิลุล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮาร  ^  วัลละซีนะ กะฟะรู ยะตะมัตตะอฺูนะ วะยะอ์กุลูนะ กะมา ตะอ์กุลุล อันอฺามุ วันนารุ มัษวัล ละฮุม
13,วะกะอัยยิม มิน กฺ็อรยะติน ฮิยะ อะชัดดุ กฺูว์วะตัม มิน กฺ็อรยะติกัล ละตี อัคเราะญัตกะ อะฮ์ลักนาฮุม ฟะลา นาศิเราะ ละฮุม
14,อะฟะมัน กานะ อฺะลา บัยยินะติม มิร ร็อบบิฮี กะมัน ซุยยินะ ละฮู สูอุ อฺะมะลิฮี วัตตะบะอฺู อะฮ์วาอะฮุม
15,มะษะลุล ญันนะติล ละตี วุอฺิดัล มุตตะกฺูน  ^  ฟีฮา อันฮารุม มิม มาอิน ฆ็อยริ อาสินิว วะอันฮารุม มิล ละบะนิล ลัม ยะตะฆ็อยยัร เฏาะอฺ์มุฮู วะอันฮารุม มิน ค็อมริล ลัซซะติล ลิชชาริบีนะ วะอันฮารุม มิน อฺะสะลิม มุศ็อฟฟา  ^  วะละฮุม ฟีฮา มิน กุลลิษ ษะมะรอติ วะมัฆฟิเราะตุม มิร ร็อบบิฮิม  ^  กะมัน ฮุวะ คอลิดุน ฟิน นาริ วะสุกฺู มาอัน ฮะมีมัน ฟะกฺ็อฏเฏาะอฺะ อัมอฺาอะฮุม
16,วะมินฮุม มัย ยัสตะมิอฺุ อิลัยกะ ฮัตตา อิซา เคาะเราะญู มิน อฺินดิกะ กฺอลู ลิลละซีนะ อูตุล อฺิลมะ มาซา กฺอละ อานิฟา  ^  อุลาอิกัล ละซีนะ เฏาะบะอฺัล ลอฮุ อฺะลา กฺุลูบิฮิม วัตตะบะอฺู อะฮ์วาอะฮุม
17,วัลละซีนะฮ์ ตะเดา ซาดะฮุม ฮุเดา วะอาตาฮุม ตักฺวาฮุม
18,ฟะฮัล ยันซฺุรูนะ อิลลัส สาอฺะตะ อัน ตะอ์ติยะฮุม บัฆตะฮ์  ^  ฟะกฺ็อด ญาอะ อัชรอฏุฮา  ^  ฟะอันนา ละฮุม อิซา ญาอัตฮุม ซิกรอฮุม
19,ฟะอฺ์ลัม อันนะฮู ลา อิลาฮะ อิลลัล ลอฮุ วัสตัฆฟิร ลิซัมบิกะ วะลิลมุอ์มินีนะ วัลมุอ์มินาต  ^  วัลลอฮุ ยะอฺ์ละมุ มุตะกฺ็อลละบะกุม วะมัษวากุม
20,วะยะกฺูลุล ละซีนะ อามะนู เลาลา นุซซิลัต สูเราะฮ์  ^  ฟะอิซา อุนซิลัต สูเราะตุม มุห์กะมะตู วะซุกิเราะ ฟีฮัล กฺิตาลุ เราะอัยตัล ละซีนะ ฟี กฺุลูบิฮิม มะเราะฎุย ยันซฺุรูนะ อิลัยกะ นะเซฺาะร็อล มัฆชีย์ยิ อฺะลัยฮิ มินัล เมาต์  ^  ฟะเอาลา ละฮุม
21,ฏออฺะตู วะเกฺอ์าลุม มะอฺ์รูฟ  ^  ฟะอิซา อฺะซะมัล อัมรุ ฟะเลา เศาะดะกฺุล ลอฮะ ละกานะ ค็อยร็อล ละฮุม
22,ฟะฮัล อฺะสัยตุม อิน ตะวัลลัยตุม อัน ตุฟสิดู ฟิล อัรฎิ วะตุกฺ็อฏฏิอฺู อัรฮามะกุม
23,อุลาอิกัล ละซีนะ ละอฺะนะฮุมุล ลอฮุ ฟะอะศ็อมมะฮุม วะอะอฺ์มา อับศอเราะฮุม
24,อะฟะลา ยะตะดับบะรูนัล กฺุรอานะ อัม อฺะลา กฺุลูบิน อักฺฟาลุฮา
25,อินนัล ละซีนัร ตัดดู อฺะลา อัดบาริฮิม มิม บะอฺ์ดิ มา ตะบัยยะนะ ละฮุมุล ฮุดัช ชัยฏอนุ เสาวะละ ละฮุม วะอัมลา ละฮุม
26,ซาลิกะ บิอันนะฮุม กฺอลู ลิลละซีนะ กะริฮู มา นัซซะลัล ลอฮุ สะนุฏีอฺุกุม ฟี บะอฺ์ฎิล อัมร์  ^  วัลลอฮุ ยะอฺ์ละมุ อิสรอเราะฮุม
27,ฟะกัยฟะ อิซา ตะวัฟฟัตฮุมุล มะลาอิกะตุ ยัฎริบูนะ วุญูฮะฮุม วะอัดบาเราะฮุม
28,ซาลิกะ บิอันนะฮุมุต ตะบะอฺู มา อัสเคาะฏ็อล ลอฮะ วะกะริฮู ริฎวานะฮู ฟะอะห์บะเฏาะ อะอฺ์มาละฮุม
29,อัม ฮะสิบัล ละซีนะ ฟี กฺุลูบิฮิม มะเราะฎุน อัล ลัย ยุคริญัล ลอฮุ อัฎฆอนะฮุม
30,วะเลา นะชาอุ ละอะร็อยนากะฮุม ฟะละอฺะร็อฟตะฮุม บิสีมาฮุม  ^  วะละตะอฺ์ริฟันนะฮุม ฟี ละห์นิล เกฺอ์าล์  ^  วัลลอฮุ ยะอฺ์ละมุ อะอฺ์มาละกุม
31,วะละนับลุวันนะกุม ฮัตตา นะอฺ์ละมัล มุญาฮิดีนะ มินกุม วัศศอบิรีนะ วะนับลุวะ อัคบาเราะกุม
32,อินนัล ละซีนะ กะฟะรู วะศ็อดดู อฺัน สะบีลิล ลาฮิ วะชา-กฺกฺุร เราะสูละ มิม บะอฺ์ดิ มา ตะบัยยะนะ ละฮุมุล ฮุดา ลัย ยะฎุรรุล ลอฮะ ชัยเอา วะสะยุห์บิฏุ อะอฺ์มาละฮุม
33,ยาอัยยุฮัล ละซีนะ อามะนู อะฏีอฺุล ลอฮะ วะอะฏีอฺุร เราะสูละ วะลา ตุบฏิลู อะอฺ์มาละกุม
34,อินนัล ละซีนะ กะฟะรู วะศ็อดดู อฺัน สะบีลิล ลาฮิ ษุมมะ มาตู วะฮุม กุฟฟารุน ฟะลัย ยัฆฟิร็อล ลอฮุ ละฮุม
35,ฟะลา ตะฮินู วะตัดอฺู อิลัส สัลมิ วะอันตุมุล อะอฺ์เลานะ วัลลอฮุ มะอฺะกุม วะลัย ยะติเราะกุม อะอฺ์มาละกุม
36,อินนะมัล ฮะยาตุด ดุนยา ละอฺิบู วะละฮ์ว์  ^  วะอิน ตุอ์มินู วะตัตตะกฺู ยุอ์ติกุม อุญูเราะกุม วะลา ยัสอัลกุม อัมวาละกุม
37,อี ยัสอัลกุมูฮา ฟะยุห์ฟิกุม ตับเคาะลู วะยุคริจญ์ อัฎฆอนะกุม
38,ฮาอันตุม ฮาอุลาอิ ตุดเอฺานะ ลิตุนฟิกฺู ฟี สะบีลิล ลาฮิ ฟะมินกุม มัย ยับค็อล  ^  วะมัย ยับค็อล ฟะอินนะมา ยับเคาะลุ อฺัน นัฟสิฮ์  ^  วัลลอฮุล เฆาะนีย์ยุ วะอันตุมุล ฟุเกฺาะรออ์  ^  วะอิน ตะตะวัลเลา ยัสตับดิล เกฺอ์ามัน ฆ็อยเราะกุม ษุมมะ ลา ยะกูนู อัมษาละกุม
