id,t
1,อินนา ฟะตะห์นา ละกะ ฟัตฮัม มุบีนา
2,ลิยัฆฟิเราะ ละกัล ลอฮุ มา ตะกฺ็อดดะมะ มิน ซัมบิกะ วะมา ตะอัคเคาะเราะ วะยุติมมะ นิอฺ์มะตะฮู อฺะลัยกะ วะยะฮ์ดิยะกะ ศิรอฏ็อม มุสตะกฺีมา
3,วะยันศุเราะกัล ลอฮุ นัศร็อน อฺะซีซา
4,ฮุวัล ละซี อันซะลัส สะกีนะตะ ฟี กฺุลูบิล มุอ์มินีนะ ลิยัซดาดู อีมานัม มะอฺะ อีมานิฮิม  ^  วะลิลลาฮิ ญุนูดุส สะมาวาติ วัลอัรฎ์  ^  วะกานัล ลอฮุ อฺะลีมัน ฮะกีมา
5,ลิยุดคิลัล มุอ์มินีนะ วัลมุอ์มินาติ ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮารุ คอลิดีนะ ฟีฮา วะยุกัฟฟิเราะ อฺันฮุม สัยยิอาติฮิม  ^  วะกานะ ซาลิกะ อฺินดัล ลอฮิ เฟาซัน อฺะซฺีมา
6,วะยุอฺัซซิบัล มุนาฟิกฺีนะ วัลมุนาฟิกฺอติ วัลมุชริกีนะ วัลมุชริกาติซฺ ซฺอ-นนีนะ บิลลาฮิ ซฺ็อนนัส เสาอ์  ^  อฺะลัยฮิม ดาอิเราะตุส เสาอ์  ^  วะเฆาะฎิบัล ลอฮุ อฺะลัยฮิม วะละอฺะนะฮุม วะอะอฺัดดะ ละฮุม ญะฮันนัม  ^  วะสาอัต มะศีรอ
7,วะลิลลาฮิ ญุนูดุส สะมาวาติ วัลอัรฎ์  ^  วะกานัล ลอฮุ อฺะซีซัน ฮะกีมา
8,อินนา อัรสัลนากะ ชาฮิเดา วะมุบัชชิเรอ์า วะนะซีรอ
9,ลิตุอ์มินู บิลลาฮิ วะเราะสูลิฮี วะตุอฺัซซิรูฮุ วะตุวักฺกฺิรูฮ์  ^  วะตุสับบิฮูฮุ บุกเราะเตา วะอะศีลา
10,อินนัล ละซีนะ ยุบายิอฺูนะกะ อินนะมา ยุบายิอฺูนัล ลอฮะ ยะดุล ลอฮิ เฟาเกฺาะ อัยดีฮิม  ^  ฟะมัน นะกะษะ ฟะอินนะมา ยันกุษุ อฺะลา นัฟสิฮ์  ^  วะมัน เอาฟา บิมา อฺาฮะดะ อฺะลัยฮุล ลอฮะ ฟะสะยุอ์ตีฮิ อัจญ์ร็อน อฺะซฺีมา
11,สะยะกฺูลุ ละกัล มุค็อลละฟูนะ มินัล อะอฺ์รอบิ ชะเฆาะลัตนา อัมวาลุนา วะอะฮ์ลูนา ฟัสตัฆฟิร ละนา  ^  ยะกฺูลูนะ บิอัลสินะติฮิม มา ลัยสะ ฟี กฺุลูบิฮิม  ^  กฺุล ฟะมัย ยัมลิกุ ละกุม มินัล ลอฮิ ชัยอัน อิน อะรอดะ บิกุม ฎ็อรร็อน เอา อะรอดะ บิกุม นัฟอฺา  ^  บัล กานัล ลอฮุ บิมา ตะอฺ์มะลูนะ เคาะบีรอ
12,บัล เซฺาะนันตุม อัล ลัย ยันเกฺาะลิบัร เราะสูลุ วัลมุอ์มินูนะ อิลา อะฮ์ลีฮิม อะบะเดา วะซุยยินะ ซาลิกะ ฟี กฺุลูบิกุม วะเซฺาะนันตุม ซฺ็อนนัส เสาอิ วะกุนตุม เกฺอ์ามัม บูรอ
13,วะมัล ลัม ยุอ์มิม บิลลาฮิ วะเราะสูลิฮี ฟะอินนา อะอฺ์ตัดนา ลิลกาฟิรีนะ สะอฺีรอ
14,วะลิลลาฮิ มุลกุส สะมาวาติ วัลอัรฎ์  ^  ยัฆฟิรุ ลิมัย ยะชาอุ วะยุอฺัซซิบุ มัย ยะชาอ์  ^  วะกานัล ลอฮุ เฆาะฟูร็อร เราะฮีมา
15,สะยะกฺูลุล มุค็อลละฟูนะ อิซัน เฏาะลักฺตุม อิลา มะฆอนิมะ ลิตะอ์คุซูฮา ซะรูนา นัตตะบิอฺ์กุม  ^  ยุรีดูนะ อัย ยุบัดดิลู กะลามัล ลอฮ์  ^  กฺุล ลัน ตัตตะบิอฺูนา กะซาลิกุม กฺอลัล ลอฮุ มิน กฺ็อบล์  ^  ฟะสะยะกฺูลูนะ บัล ตะห์สุดูนะนา  ^  บัล กานู ลา ยัฟเกฺาะฮูนะ อิลลา เกฺาะลีลา
16,กฺุล ลิลมุค็อลละฟีนะ มินัล อะอฺ์รอบิ สะตุดเอฺานะ อิลา เกฺอ์ามิน อุลี บะอ์สิน ชะดีดิน ตุกฺอติลูนะฮุม เอา ยุสลิมูน  ^  ฟะอิน ตุฏีอฺู ยุอ์ติกุมุล ลอฮุ อัจญ์ร็อน ฮะสะนา  ^  วะอิน ตะตะวัลเลา กะมา ตะวัลลัยตุม มิน กฺ็อบลุ ยุอฺัซซิบกุม อฺะซาบัน อะลีมา
17,ลัยสะ อฺะลัล อะอฺ์มา ฮะเราะญู วะลา อฺะลัล อะอฺ์เราะญิ ฮะเราะญู วะลา อฺะลัล มะรีฎิ ฮะร็อจญ์  ^  วะมัย ยุฏิอฺิล ลาฮะ วะเราะสูละฮู ยุดคิลฮุ ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮาร  ^  วะมัย ยะตะวัลละ ยุอฺัซซิบฮุ อฺะซาบัน อะลีมา
