id,t
1,ยาอัยยุฮัล ละซีนะ อามะนู ลา ตุกฺ็อดดิมู บัยนะ ยะดะยิล ลาฮิ วะเราะสูลิฮ์  ^  วัตตะกฺุล ลอฮ์  ^  อินนัล ลอฮะ สะมีอฺุน อฺะลีม
2,ยาอัยยุฮัล ละซีนะ อามะนู ลา ตัรฟะอฺู อัศวาตะกุม เฟาเกฺาะ เศอ์าติน นะบีย์ยิ วะลา ตัจญ์ฮะรู ละฮู บิลเกฺอ์าลิ กะญะฮ์ริ บะอฺ์ฎิกุม ลิบะอฺ์ฎิน อัน ตะห์บะเฏาะ อะอฺ์มาลุกุม วะอันตุม ลา ตัชอฺุรูน
3,อินนัล ละซีนะ ยะฆุฎฎูนะ อัศวาตะฮุม อฺินดะ เราะสูลิล ลาฮิ อุลาอิกัล ละซีนัม ตะฮะนัล ลอฮุ กฺุลูบะฮุม ลิตตักฺวา  ^  ละฮุม มัฆฟิเราะตู วะอัจญ์รุน อฺะซฺีม
4,อินนัล ละซีนะ ยุนาดูนะกะ มิว วะรออิล ฮุญุรอติ อักษะรุฮุม ลา ยะอฺ์กฺิลูน
5,วะเลา อันนะฮุม เศาะบะรู ฮัตตา ตัครุญะ อิลัยฮิม ละกานะ ค็อยร็อล ละฮุม  ^  วัลลอฮุ เฆาะฟูรุร เราะฮีม
6,ยาอัยยุฮัล ละซีนะ อามะนู อิน ญาอะกุม ฟาสิกฺุม บินะบะอิน ฟะตะบัยยะนู อัน ตุศีบู เกฺอ์ามัม บิญะฮาละติน ฟะตุศบิฮู อฺะลา มา ฟะอฺัลตุม นาดิมีน
7,วะอฺ์ละมู อันนะ ฟีกุม เราะสูลัล ลอฮ์  ^  เลา ยุฏีอฺุกุม ฟี กะษีริม มินัล อัมริ ละอฺะนิตตุม วะลากินนัล ลอฮะ ฮับบะบะ อิลัยกุมุล อีมานะ วะซัยยะนะฮู ฟี กฺุลูบิกุม วะกัรเราะฮะ อิลัยกุมุล กุฟเราะ วัลฟุสูเกฺาะ วัลอฺิศยาน  ^  อุลาอิกะ ฮุมุร รอชิดูน
8,ฟัฎลัม มินัล ลอฮิ วะนิอฺ์มะฮ์  ^  วัลลอฮุ อฺะลีมุน ฮะกีม
9,วะอิน ฏออิฟะตานิ มินัล มุอ์มินีนักฺ ตะตะลู ฟะอัศลิฮู บัยนะฮุมา  ^  ฟะอิม บะฆ็อต อิห์ดาฮุมา อฺะลัล อุครอ ฟะกฺอติลุล ละตี ตับฆี ฮัตตา ตะฟีอะ อิลา อัมริล ลาฮ์  ^  ฟะอิน ฟาอัต ฟะอัศลิฮู บัยนะฮุมา บิลอฺัดลิ วะอักฺสิฏู  ^  อินนัล ลอฮะ ยุฮิบบุล มุกฺสิฏีน
10,อินนะมัล มุอ์มินูนะ อิควะตุน ฟะอัศลิฮู บัยนะ อะเคาะวัยกุม  ^  วัตตะกฺุล ลอฮะ ละอฺัลละกุม ตุรฮะมูน
11,ยาอัยยุฮัล ละซีนะ อามะนู ลา ยัสค็อร เกฺอ์ามุม มิน เกฺอ์ามิน อฺะสา อัย ยะกูนู ค็อยร็อม มินฮุม วะลา นิสาอุม มิน นิสาอิน อฺะสา อัย ยะกุนนะ ค็อยร็อม มินฮุนน์  ^  วะลา ตัลมิซู อันฟุสะกุม วะลา ตะนาบะซู บิลอัลกฺอบ  ^  บิอ์สะ ลิสมุล ฟุสูกฺุ บะอฺ์ดัล อีมาน  ^  วะมัล ลัม ยะตุบ ฟะอุลาอิกะ ฮุมุซฺ ซฺอลิมูน
12,ยาอัยยุฮัล ละซีนะ อามะนุจญ์ ตะนิบู กะษีร็อม มินัซฺ ซฺ็อนนิ อินนะ บะอฺ์ฎ็อซฺ ซฺ็อนนิ อิษม์  ^  วะ ลา ตะญัสสะสู วะลา ยัฆตับ บะอฺ์ฎุกุม บะอฺ์ฎอ  ^  อะยุฮิบบุ อะฮะดุกุม อัย ยะอ์กุละ ละห์มะ อะคีฮิ มัยตัน ฟะกะริฮ์ตุมูฮ์  ^  วัตตะกฺุล ลอฮ์  ^  อินนัล ลอฮะ เตาวาบุร เราะฮีม
13,ยาอัยยุฮัน นาสุ อินนา เคาะลักฺนากุม มิน ซะกะริว วะอุนษา วะญะอฺัลนากุม ชุอฺูเบา วะเกฺาะบาอิละ ลิตะอฺาเราะฟู  ^  อินนะ อักเราะมะกุม อฺินดัล ลอฮิ อัตกฺอกุม  ^  อินนัล ลอฮะ อฺะลีมุน เคาะบีร
14,กฺอละติล อะอฺ์รอบุ อามันนา  ^  กฺุล ลัม ตุอ์มินู วะลากิน กฺูลู อัสลัมนา วะลัมมา ยัดคุลิล อีมานุ ฟี กฺุลูบิกุม  ^  วะอิน ตุฏีอฺุล ลอฮะ วะเราะสูละฮู ลา ยะลิตกุม มิน อะอฺ์มาลิกุม ชัยอา  ^  อินนัล ลอฮะ เฆาะฟูรุร เราะฮีม
15,อินนะมัล มุอ์มินูนัล ละซีนะ อามะนู บิลลาฮิ วะเราะสูลิฮี ษุมมะ ลัม ยัรตาบู วะญาฮะดู บิอัมวาลิฮิม วะอันฟุสิฮิม ฟี สะบีลิล ลาฮ์  ^  อุลาอิกะ ฮุมุศ ศอดิกฺูน
16,กฺุล อะตุอฺัลลิมูนัล ลอฮะ บิดีนิกุม วัลลอฮุ ยะอฺ์ละมุ มา ฟิส สะมาวาติ วะมา ฟิล อัรฎ์  ^  วัลลอฮุ บิกุลลิ ชัยอิน อฺะลีม
17,ยะมุนนูนะ อฺะลัยกะ อัน อัสละมู  ^  กฺุล ลา ตะมุนนู อฺะลัยยะ อิสลามะกุม  ^  บะลิล ลาฮุ ยะมุนนุ อฺะลัยกุม อัน ฮะดากุม ลิลอีมานิ อิน กุนตุม ศอดิกฺีน
18,อินนัล ลอฮะ ยะอฺ์ละมุ ฆ็อยบัส สะมาวาติ วัลอัรฎ์  ^  วัลลอฮุ บะศีรุม บิมา ตะอฺ์มะลูน
