id,t
1,ยาอัยยุฮัล ละซีนะ อามะนู เอาฟู บิลอฺุกฺูด  ^  อุฮิลลัต ละกุม บะฮีมะตุล อันอฺามิ อิลลา มา ยุตลา อฺะลัยกุม ฆ็อยเราะ มุฮิลลิศ ศ็อยดิ วะอันตุม ฮุรุม  ^  อินนัล ลอฮะ ยะห์กุมุ มา ยุรีด
2,ยาอัยยุฮัล ละซีนะ อามะนู ลา ตุฮิลลู ชะอฺาอิร็อล ลอฮิ วะลัช ชะฮ์ร็อล ฮะรอมะ วะลัล ฮัดยะ วะลัล เกฺาะลาอิดะ วะลา อา-มมีนัล บัยตัล ฮะรอมะ ยับตะฆูนะ ฟัฎลัม มิร ร็อบบิฮิม วะริฎวานา  ^  วะอิซา ฮะลัลตุม ฟัศฏอดู  ^  วะลา ยัจญ์ริมันนะกุม ชะนะอานุ เกฺอ์ามิน อัน ศ็อดดูกุม อฺะนิล มัสญิดิล ฮะรอมิ อัน ตะอฺ์ตะดู  ^  วะตะอฺาวะนู อฺะลัล บิรริ วัตตักฺวา  ^  วะลา ตะอฺาวะนู อฺะลัล อิษมิ วัลอฺุดวาน  ^  วัตตะกฺุล ลอฮ์  ^  อินนัล ลอฮะ ชะดีดุล อฺิกฺอบ
3,ฮุรริมัต อฺะลัยกุมุล มัยตะตุ วัดดะมุ วะละห์มุล คินซีริ วะมา อุฮิลละ ลิฆ็อยริล ลาฮิ บิฮี วัลมุนเคาะนิเกฺาะตุ วัลเมากฺูซะตุ วัลมุตะร็อดดิยะตุ วันนะฏีฮะตุ วะมา อะกะลัส สะบุอฺุ อิลลา มา ซักกัยตุม วะมา ซุบิฮะ อฺะลัน นุศุบิ วะอัน ตัสตักฺสิมู บิลอัซลาม  ^  ซาลิกุม ฟิสกฺ์  ^  อัลเยามะ ยะอิสัล ละซีนะ กะฟะรู มิน ดีนิกุม ฟะลา ตัคเชาฮุม วัคเชาน์  ^  อัลเยามะ อักมัลตุ ละกุม ดีนะกุม วะอัตมัมตุ อฺะลัยกุม นิอฺ์มะตี วะเราะฎีตุ ละกุมุล อิสลามะ ดีนา  ^  ฟะมะนิฎ ฏุรเราะ ฟี มัคมะเศาะติน ฆ็อยเราะ มุตะญานิฟิล ลิอิษมิน ฟะอินนัล ลอฮะ เฆาะฟูรุร เราะฮีม
4,ยัสอะลูนะกะ มาซา อุฮิลละ ละฮุม  ^  กฺุล อุฮิลละ ละกุมุฏ ฏ็อยยิบาตุ วะมา อฺัลลัมตุม มินัล ญะวาริฮิ มุกัลลิบีนะ ตุอฺัลลิมูนะฮุนนะ มิมมา อฺัลละมะกุมุล ลอฮ์  ^  ฟะกุลู มิมมา อัมสักนะ อฺะลัยกุม วัซกุรุส มัล ลอฮิ อฺะลัยฮ์  ^  วัตตะกฺุล ลอฮ์  ^  อินนัล ลอฮะ สะรีอฺุล ฮิสาบ
5,อัลเยามะ อุฮิลละ ละกุมุฏ ฏ็อยยิบาต  ^  วะเฏาะอฺามุล ละซีนะ อูตุล กิตาบะ ฮิลลุล ละกุม วะเฏาะอฺามุกุม ฮิลลุล ละฮุม  ^  วัลมุห์เศาะนาตุ มินัล มุอ์มินาติ วัลมุห์เศาะนาตุ มินัล ละซีนะ อูตุล กิตาบะ มิน กฺ็อบลิกุม อิซา อาตัยตุมูฮุนนะ อุญูเราะฮุนนะ มุห์ศินีนะ ฆ็อยเราะ มุสาฟิฮีนะ วะลา มุตตะคิซี อัคดาน  ^  วะมัย ยักฟุร บิลอีมานิ ฟะกฺ็อด ฮะบิเฏาะ อฺะมะลุฮู วะฮุวะ ฟิล อาคิเราะติ มินัล คอสิรีน
6,ยาอัยยุฮัล ละซีนะ อามะนู อิซา กฺุมตุม อิลัศ เศาะลาติ ฟัฆสิลู วุญูฮะกุม วะอัยดิยะกุม อิลัล มะรอฟิกฺิ วัมสะฮู บิรุอูสิกุม วะอัรญุละกุม อิลัล กะอฺ์บัยน์  ^  วะอิน กุนตุม ญุนุบัน ฟัฏเฏาะฮ์ฮะรู  ^  วะอิน กุนตุม มัรฎอ เอา อฺะลา สะฟะริน เอา ญาอะ อะฮะดุม มินกุม มินัล ฆออิฏิ เอา ลามัสตุมุน นิสาอะ ฟะลัม ตะญิดู มาอัน ฟะตะยัมมะมู เศาะอฺีดัน ฏ็อยยิบัน ฟัมสะฮู บิวุญูฮิกุม วะอัยดีกุม มินฮ์  ^  มา ยุรีดุล ลอฮุ ลิยัจญ์อฺะละ อฺะลัยกุม มิน ฮะเราะญิว วะลากี ยุรีดุ ลิยุเฏาะฮ์ฮิเราะกุม วะลิยุติมมะ นิอฺ์มะตะฮู อฺะลัยกุม ละอฺัลละกุม ตัชกุรูน
7,วัซกุรู นิอฺ์มะตัล ลอฮิ อฺะลัยกุม วะมีษาเกฺาะฮุล ละซี วาษะเกฺาะกุม บิฮี อิซ กฺุลตุม สะมิอฺ์นา วะอะเฏาะอฺ์นา  ^  วัตตะกฺุล ลอฮ์  ^  อินนัล ลอฮะ อฺะลีมุม บิซาติศ ศุดูร
8,ยาอัยยุฮัล ละซีนะ อามะนู กูนู เกฺอ์าวามีนะ ลิลลาฮิ ชุฮะดาอะ บิลกฺิสฏ์  ^  วะลา ยัจญ์ริมันนะกุม ชะนะอานุ เกฺอ์ามิน อฺะลา อัลลา ตะอฺ์ดิลู  ^  อิอฺ์ดิลู ฮุวะ อักฺเราะบุ ลิตตักฺวา  ^  วัตตะกฺุล ลอฮ์  ^  อินนัล ลอฮะ เคาะบีรุม บิมา ตะอฺ์มะลูน
9,วะอฺะดัล ลอฮุล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ ละฮุม มัฆฟิเราะตู วะอัจญ์รุน อฺะซฺีม
10,วัลละซีนะ กะฟะรู วะกัซซะบู บิอายาตินา อุลาอิกะ อัศฮาบุล ญะฮีม
11,ยาอัยยุฮัล ละซีนะ อามะนุซ กุรู นิอฺ์มะตัล ลอฮิ อฺะลัยกุม อิซ ฮัมมะ เกฺอ์ามุน อัย ยับสุฏู อิลัยกุม อัยดิยะฮุม ฟะกัฟฟะ อัยดิยะฮุม อฺันกุม  ^  วัตตะกฺุล ลอฮ์  ^  วะอฺะลัล ลอฮิ ฟัลยะตะวักกะลิล มุอ์มินูน
12,วะละกฺ็อด อะเคาะซัล ลอฮุ มีษาเกฺาะ บะนี อิสรออีละ วะบะอฺัษนา มินฮุมุษ นัย อฺะชะเราะ นะกฺีบา  ^  วะกฺอลัล ลอฮุ อินนี มะอฺะกุม  ^  ละอิน อะกฺ็อมตุมุศ เศาะลาตะ วะอาตัยตุมุซ ซะกาตะ วะอามันตุม บิรุสุลี วะอฺัซซัรตุมูฮุม วะอักฺร็อฎตุมุล ลอฮะ กฺ็อรฎ็อน ฮะสะนัล ละอุกัฟฟิร็อนนะ อฺันกุม สัยยิอาติกุม วะละอุดคิลันนะกุม ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮาร  ^  ฟะมัน กะฟะเราะ บะอฺ์ดะ ซาลิกะ มินกุม ฟะกฺ็อด ฎ็อลละ สะวาอัส สะบีล
13,ฟะบิมา นักฺฎิฮิม มีษาเกฺาะฮุม ละอฺันนาฮุม วะญะอฺัลนา กฺุลูบะฮุม กฺอสิยะฮ์  ^  ยุฮัรริฟูนัล กะลิมะ อฺัม มะวาฎิอฺิฮี วะนะสู ฮัซฺซฺ็อม มิมมา ซุกกิรู บิฮ์  ^  วะลา ตะซาลุ ตัฏเฏาะลิอฺุ อฺะลา คออินะติม มินฮุม อิลลา เกฺาะลีลัม มินฮุม  ^  ฟะอฺ์ฟุ อฺันฮุม วัศฟะห์  ^  อินนัล ลอฮะ ยุฮิบบุล มุห์สินีน
14,วะมินัล ละซีนะ กฺอลู อินนา นะศอรอ อะค็อซนา มีษาเกฺาะฮุม ฟะนะสู ฮัซฺซฺ็อม มิมมา ซุกกิรู บิฮี ฟะอัฆร็อยนา บัยนะฮุมุล อฺะดาวะตะ วัลบัฆฎออะ อิลา เยามิล กฺิยามะฮ์  ^  วะเสาฟะ ยุนับบิอุฮุมุล ลอฮุ บิมา กานู ยัศนะอฺูน
15,ยาอะฮ์ลัล กิตาบิ กฺ็อด ญาอะกุม เราะสูลุนา ยุบัยยินุ ละกุม กะษีร็อม มิมมา กุนตุม ตุคฟูนะ มินัล กิตาบิ วะยะอฺ์ฟู อฺัน กะษีร  ^  กฺ็อด ญาอะกุม มินัล ลอฮิ นูรู วะกิตาบุม มุบีน
16,ยะฮ์ดี บิฮิล ลาฮุ มะนิต ตะบะอฺะ ริฎวานะฮู สุบุลัส สะลามิ วะยุคริญุฮุม มินัซฺ ซฺุลุมาติ อิลัน นูริ บิอิซนิฮี วะยะฮ์ดีฮิม อิลา ศิรอฏิม มุสตะกฺีม
17,ละกฺ็อด กะฟะร็อล ละซีนะ กฺอลู อินนัล ลอฮะ ฮุวัล มะสีฮุบ นุ มัรยัม  ^  กฺุล ฟะมัย ยัมลิกุ มินัล ลอฮิ ชัยอัน อิน อะรอดะ อัย ยุฮ์ลิกัล มะสีฮับ นะ มัรยะมะ วะอุมมะฮู วะมัน ฟิล อัรฎิ ญะมีอฺา  ^  วะลิลลาฮิ มุลกุส สะมาวาติ วัลอัรฎิ วะมา บัยนะฮุมา  ^  ยัคลุกฺุ มา ยะชาอ์  ^  วัลลอฮุ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
18,วะกฺอละติล ยะฮูดุ วันนะศอรอ นะห์นุ อับนาอุล ลอฮิ วะอะฮิบบาอุฮ์  ^  กฺุล ฟะลิมะ ยุอฺัซซิบุกุม บิซุนูบิกุม  ^  บัล อันตุม บะชะรุม มิมมัน เคาะลักฺ  ^  ยัฆฟิรุ ลิมัย ยะชาอุ วะยุอฺัซซิบุ มัย ยะชาอ์  ^  วะลิลลาฮิ มุลกุส สะมาวาติ วัลอัรฎิ วะมา บัยนะฮุมา  ^  วะอิลัยฮิล มะศีร
19,ยาอะฮ์ลัล กิตาบิ กฺ็อด ญาอะกุม เราะสูลุนา ยุบัยยินุ ละกุม อฺะลา ฟัตเราะติม มินัร รุสุลิ อัน ตะกฺูลู มา ญาอะนา มิม บะชีริว วะลา นะซีร  ^  ฟะกฺ็อด ญาอะกุม บะชีรู วะนะซีร  ^  วัลลอฮุ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
20,วะอิซ กฺอละ มูสา ลิเกฺอ์ามิฮี ยาเกฺอ์ามิซ กุรู นิอฺ์มะตัล ลอฮิ อฺะลัยกุม อิซ ญะอฺะละ ฟีกุม อัมบิยาอะ วะญะอฺะละกุม มุลูเกา วะอาตากุม มา ลัม ยุอ์ติ อะฮะดัม มินัล อฺาละมีน
21,ยาเกฺอ์ามิด คุลุล อัรฎ็อล มุกฺ็อดดะสะตัล ละตี กะตะบัล ลอฮุ ละกุม วะลา ตัรตัดดู อฺะลา อัดบาริกุม ฟะตันเกฺาะลิบู คอสิรีน
22,กฺอลู ยามูสา อินนะ ฟีฮา เกฺอ์ามัน ญับบารีนะ วะอินนา ลัน นัดคุละฮา ฮัตตา ยัครุญู มินฮา ฟะอี ยัครุญู มินฮา ฟะอินนา ดาคิลูน
23,กฺอละ เราะญุลานิ มินัล ละซีนะ ยะคอฟูนะ อันอฺะมัล ลอฮุ อฺะลัยฮิมัด คุลู อฺะลัยฮิมุล บาบะ ฟะอิซา ดะค็อลตุมูฮุ ฟะอินนะกุม ฆอลิบูน  ^  วะอฺะลัล ลอฮิ ฟะตะวักกะลู อิน กุนตุม มุอ์มินีน
24,กฺอลู ยามูสา อินนา ลัน นัดคุละฮา อะบะดัม มา ดามู ฟีฮา ฟัซฮับ อันตะ วะร็อบบุกะ ฟะกฺอติลา อินนา ฮาฮุนา กฺออฺิดูน
25,กฺอละ ร็อบบิ อินนี ลา อัมลิกุ อิลลา นัฟสี วะอะคี  ^  ฟัฟรุกฺ บัยนะนา วะบัยนัล เกฺอ์ามิล ฟาสิกฺีน
26,กฺอละ ฟะอินนะฮา มุฮัรเราะมะตุน อฺะลัยฮิม อัรบะอฺีนะ สะนะตัย ยะตีฮูนะ ฟิล อัรฎ์  ^  ฟะลา ตะอ์สะ อฺะลัล เกฺอ์ามิล ฟาสิกฺีน
27,วัตลุ อฺะลัยฮิม นะบะอับ นัย อาดะมะ บิลฮักฺกฺิ อิซ กฺ็อรเราะบา กฺุรบานัน ฟะตุกฺุบบิละ มิน อะฮะดิฮิมา วะลัม ยุตะกฺ็อบบัล มินัล อาเคาะริ กฺอละ ละอักฺตุลันนัก  ^  กฺอละ อินนะมา ยะตะกฺ็อบบะลุล ลอฮุ มินัล มุตตะกฺีน
28,ละอิม บะสัฏตะ อิลัยยะ ยะดะกะ ลิตักฺตุละนี มา อะนะ บิบาสิฏี ยะดิยะ อิลัยกะ ลิอักฺตุลัก  ^  อินนี อะคอฟุล ลอฮะ ร็อบบัล อฺาละมีน
29,อินนี อุรีดุ อัน ตะบูอะ บิอิษมี วะอิษมิกะ ฟะตะกูนะ มิน อัศฮาบิน นาร  ^  วะซาลิกะ ญะซาอุซฺ ซฺอลิมีน
30,ฟะเฏอ์าวะอฺัต ละฮู นัฟสุฮู กฺ็อตละ อะคีฮิ ฟะเกฺาะตะละฮู ฟะอัศบะฮะ มินัล คอสิรีน
31,ฟะบะอฺะษัล ลอฮุ ฆุรอบัย ยับฮะษุ ฟิล อัรฎิ ลิยุริยะฮู กัยฟะ ยุวารี เสาอะตะ อะคีฮ์  ^  กฺอละ ยาวัยละตา อะอฺะญัซตุ อัน อะกูนะ มิษละ ฮาซัล ฆุรอบิ ฟะอุวาริยะ เสาอะตะ อะคี  ^  ฟะอัศบะฮะ มินัน นาดิมีน
32,มิน อัจญ์ลิ ซาลิกะ กะตับนา อฺะลา บะนี อิสรออีละ อันนะฮู มัน เกฺาะตะละ นัฟสัม บิฆ็อยริ นัฟสิน เอา ฟะสาดิน ฟิล อัรฎิ ฟะกะอันนะมา เกฺาะตะลัน นาสะ ญะมีเอฺา วะมัน อะห์ยาฮา ฟะกะอันนะมา อะห์ยัน นาสะ ญะมีอฺา  ^  วะละกฺ็อด ญาอัตฮุม รุสุลุนา บิลบัยยินาติ ษุมมะ อินนะ กะษีร็อม มินฮุม บะอฺ์ดะ ซาลิกะ ฟิล อัรฎิ ละมุสริฟูน
