id,t
1,กอ-ฟ  ^  วัลกฺุรอานิล มะญีด
2,บัล อฺะญิบู อัน ญาอะฮุม มุนซิรุม มินฮุม ฟะกฺอลัล กาฟิรูนะ ฮาซา ชัยอุน อฺะญีบ
3,อะอิซา มิตนา วะกุนนา ตุรอบา  ^  ซาลิกะ ร็อจญ์อฺุม บะอฺีด
4,กฺ็อด อฺะลิมนา มา ตันกฺุศุล อัรฎุ มินฮุม  ^  วะอฺินดะนา กิตาบุน ฮะฟีซฺ
5,บัล กัซซะบู บิลฮักฺกฺิ ลัมมา ญาอะฮุม ฟะฮุม ฟี อัมริม มะรีจญ์
6,อะฟะลัม ยันซฺุรู อิลัส สะมาอิ เฟาเกฺาะฮุม กัยฟะ บะนัยนาฮา วะซัยยันนาฮา วะมา ละฮา มิน ฟุรูจญ์
7,วัลอัรเฎาะ มะดัดนาฮา วะอัลกฺ็อยนา ฟีฮา เราะวาสิยะ วะอัมบัตนา ฟีฮา มิน กุลลิ เซาญิม บะฮีจญ์
8,ตับศิเราะเตา วะซิกรอ ลิกุลลิ อฺับดิม มุนีบ
9,วะนัซซัลนา มินัส สะมาอิ มาอัม มุบาเราะกัน ฟะอัมบัตนา บิฮี ญันนาติว วะฮับบัล ฮะศีด
10,วันนัคละ บาสิกฺอติล ละฮา ฏ็อลอฺุน นะฎีด
11,ริซกฺ็อล ลิลอฺิบาด  ^  วะอะห์ยัยนา บิฮี บัลดะตัม มัยตา  ^  กะซาลิกัล คุรูจญ์
12,กัซซะบัต กฺ็อบละฮุม เกฺอ์ามุ นูฮิว วะอัศฮาบุร ร็อสสิ วะษะมูด
13,วะอฺาดู วะฟิรเอฺานุ วะอิควานุ ลูฏ
14,วะอัศฮาบุล อัยกะติ วะเกฺอ์ามุ ตุบบะอฺ์  ^  กุลลุน กัซซะบัร รุสุละ ฟะฮักฺเกฺาะ วะอฺีด
15,อะฟะอฺะยีนา บิลค็อลกฺิล เอาวัล  ^  บัล ฮุม ฟี ลับสิม มิน ค็อลกฺิน ญะดีด
16,วะละกฺ็อด เคาะลักฺนัล อินสานะ วะนะอฺ์ละมุ มา ตุวัสวิสุ บิฮี นัฟสุฮ์  ^  วะนะห์นุ อักฺเราะบุ อิลัยฮิ มิน ฮับลิล วะรีด
17,อิซ ยะตะลักฺกฺ็อล มุตะลักฺกฺิยานิ อฺะนิล ยะมีนิ วะอฺะนิช ชิมาลิ เกฺาะอฺีด
18,มา ยัลฟิซฺุ มิน เกฺอ์าลิน อิลลา ละดัยฮิ เราะกฺีบุน อฺะตีด
19,วะญาอัต สักเราะตุล เมาติ บิลฮักฺกฺ์  ^  ซาลิกะ มา กุนตะ มินฮุ ตะฮีด
20,วะนุฟิเคาะ ฟิศ ศูร  ^  ซาลิกะ เยามุล วะอฺีด
21,วะญาอัต กุลลุ นัฟสิม มะอฺะฮา สาอิกฺู วะชะฮีด
22,ละกฺ็อด กุนตะ ฟี ฆ็อฟละติม มิน ฮาซา ฟะกะชัฟนา อฺันกะ ฆิฏออะกะ ฟะบะเศาะรุกัล เยามะ ฮะดีด
23,วะกฺอละ เกฺาะรีนุฮู ฮาซา มา ละดัยยะ อฺะตีด
24,อัลกฺิยา ฟี ญะฮันนะมะ กุลละ กัฟฟาริน อฺะนีด
25,มันนาอฺิล ลิลค็อยริ มุอฺ์ตะดิม มุรีบ
26,อัลละซี ญะอฺะละ มะอฺัล ลอฮิ อิลาฮัน อาเคาะเราะ ฟะอัลกฺิยาฮุ ฟิล อฺะซาบิช ชะดีด
27,กฺอละ เกฺาะรีนุฮู ร็อบบะนา มา อัฏฆ็อยตุฮู วะลากิน กานะ ฟี เฎาะลาลิม บะอฺีด
