id,t
1,วัซซาริยาติ ซัรวา
2,ฟัลฮามิลาติ วิกฺรอ
3,ฟัลญาริยาติ ยุสรอ
4,ฟัลมุกฺ็อสสิมาติ อัมรอ
5,อินนะมา ตูอฺะดูนะ ละศอดิกฺ
6,วะอินนัด ดีนะ ละวากฺิอฺ์
7,วัสสะมาอิ ซาติล ฮุบุก
8,อินนะกุม ละฟี เกฺอ์าลิม มุคตะลิฟ
9,ยุอ์ฟะกุ อฺันฮุ มัน อุฟิก
10,กฺุติลัล ค็อรรอศูน
11,อัลละซีนะ ฮุม ฟี ฆ็อมเราะติน สาฮูน
12,ยัสอะลูนะ อัยยานะ เยามุด ดีน
13,เยามะ ฮุม อฺะลัน นาริ ยุฟตะนูน
14,ซูกฺู ฟิตนะตะกุม ฮาซัล ละซี กุนตุม บิฮี ตัสตะอฺ์ญิลูน
15,อินนัล มุตตะกฺีนะ ฟี ญันนาติว วะอฺุยูน
16,อาคิซีนะ มา อาตาฮุม ร็อบบุฮุม  ^  อินนะฮุม กานู กฺ็อบละ ซาลิกะ มุห์สินีน
17,กานู เกฺาะลีลัม มินัล ลัยลิ มา ยะฮ์ญะอฺูน
18,วะบิลอัสฮาริ ฮุม ยัสตัฆฟิรูน
19,วะฟี อัมวาลิฮิม ฮักฺกฺุล ลิสสาอิลิ วัลมะห์รูม
20,วะฟิล อัรฎิ อายาตุล ลิลมูกฺินีน
21,วะฟี อันฟุสิกุม  ^  อะฟะลา ตุบศิรูน
22,วะฟิส สะมาอิ ริซกฺุกุม วะมา ตูอฺะดูน
23,ฟะวะร็อบบิส สะมาอิ วัลอัรฎิ อินนะฮู ละฮักฺกฺุม มิษละ มา อันนะกุม ตันฏิกฺูน
24,ฮัล อะตากะ ฮะดีษุ ฎ็อยฟิ อิบรอฮีมัล มุกเราะมีน
25,อิซ ดะเคาะลู อฺะลัยฮิ ฟะกฺอลู สะลามา  ^  กฺอละ สะลามุน เกฺอ์ามุม มุนกะรูน
26,ฟะรอเฆาะ อิลา อะฮ์ลิฮี ฟะญาอะ บิอฺิจญ์ลิน สะมีน
27,ฟะกฺ็อรเราะบะฮู อิลัยฮิม กฺอละ อะลา ตะอ์กุลูน
28,ฟะเอาญะสะ มินฮุม คีฟะฮ์  ^  กฺอลู ลา ตะค็อฟ  ^  วะบัชชะรูฮุ บิฆุลามิน อฺะลีม
29,ฟะอักฺบะละติม เราะอะตุฮู ฟี ศ็อรเราะติน ฟะศ็อกกัต วัจญ์ฮะฮา วะกฺอลัต อฺะญูซุน อฺะกฺีม
30,กฺอลู กะซาลิกิ กฺอละ ร็อบบุก  ^  อินนะฮู ฮุวัล ฮะกีมุล อฺะลีม
31,กฺอละ ฟะมา ค็อฏบุกุม อัยยุฮัล มุรสะลูน
32,กฺอลู อินนา อุรสิลนา อิลา เกฺอ์ามิม มุจญ์ริมีน
33,ลินุรสิละ อฺะลัยฮิม ฮิญาเราะตัม มิน ฏีน
34,มุเสาวะมะตัน อฺินดะ ร็อบบิกะ ลิลมุสริฟีน
35,ฟะอัคร็อจญ์นา มัน กานะ ฟีฮา มินัล มุอ์มินีน
36,ฟะมา วะญัดนา ฟีฮา ฆ็อยเราะ บัยติม มินัล มุสลิมีน
37,วะตะร็อกนา ฟีฮา อายะตัล ลิลละซีนะ ยะคอฟูนัล อฺะซาบัล อะลีม
38,วะฟี มูสา อิซ อัรสัลนาฮุ อิลา ฟิรเอฺานะ บิสุลฏอนิม มุบีน
39,ฟะตะวัลลา บิรุกนิฮี วะกฺอละ สาฮิรุน เอา มัจญ์นูน
40,ฟะอะค็อซนาฮุ วะญุนูดะฮู ฟะนะบัซนาฮุม ฟิล ยัมมิ วะฮุวะ มุลีม
41,วะฟี อฺาดิน อิซ อัรสัลนา อฺะลัยฮิมุร รีฮัล อฺะกฺีม
42,มา ตะซะรุ มิน ชัยอิน อะตัต อฺะลัยฮิ อิลลา ญะอฺะลัตฮุ กัรเราะมีม
43,วะฟี ษะมูดะ อิซ กฺีละ ละฮุม ตะมัตตะอฺู ฮัตตา ฮีน
