id,t
1,วัฏฏูร
2,วะกิตาบิม มัสฏูร
3,ฟี ร็อกฺกฺิม มันชูร
4,วัลบัยติล มะอฺ์มูร
5,วัสสักฺฟิล มัรฟูอฺ์
6,วัลบะห์ริล มัสญูร
7,อินนะ อฺะซาบะ ร็อบบิกะ ละวากฺิอฺ์
8,มา ละฮู มิน ดาฟิอฺ์
9,เยามะ ตะมูรุส สะมาอุ เมารอ
10,วะตะสีรุล ญิบาลุ สัยรอ
11,ฟะวัยลุย เยามะอิซิล ลิลมุกัซซิบีน
12,อัลละซีนะ ฮุม ฟี เคอ์าฎี ยัลอฺะบูน
13,เยามะ ยุดะอฺ์อฺูนะ อิลา นาริ ญะฮันนะมะ ดะอฺ์อฺา
14,ฮาซิฮิน นารุล ละตี กุนตุม บิฮา ตุกัซซิบูน
15,อะฟะสิห์รุน ฮาซา อัม อันตุม ลา ตุบศิรูน
16,อิศเลาฮา ฟัศบิรู เอา ลา ตัศบิรู สะวาอุน อฺะลัยกุม  ^  อินนะมา ตุจญ์เซานะ มา กุนตุม ตะอฺ์มะลูน
17,อินนัล มุตตะกฺีนะ ฟี ญันนาติว วะนะอฺีม
18,ฟากิฮีนะ บิมา อาตาฮุม ร็อบบุฮุม วะวะกฺอฮุม ร็อบบุฮุม อฺะซาบัล ญะฮีม
19,กุลู วัชเราะบู ฮะนีอัม บิมา กุนตุม ตะอฺ์มะลูน
20,มุตตะกิอีนะ อฺะลา สุรุริม มัศฟูฟะฮ์  ^  วะเซาวัจญ์นาฮุม บิฮูริน อฺีน
21,วัลละซีนะ อามะนู วัตตะบะอฺัตฮุม ซุรรีย์ยะตุฮุม บิอีมานิน อัลฮักฺนา บิฮิม ซุรรีย์ยะตะฮุม วะมา อะลัตนาฮุม มิน อฺะมะลิฮิม มิน ชัยอ์  ^  กุลลุม รีอิม บิมา กะสะบะ เราะฮีน
22,วะอัมดัดนาฮุม บิฟากิฮะติว วะละห์มิม มิมมา ยัชตะฮูน
23,ยะตะนาซะอฺูนะ ฟีฮา กะอ์สัล ลา ลัฆวุน ฟีฮา วะลา ตะอ์ษีม
24,วะยะฏูฟุ อฺะลัยฮิม ฆิลมานุล ละฮุม กะอันนะฮุม ลุอ์ลุอุม มักนูน
25,วะอักฺบะละ บะอฺ์ฎุฮุม อฺะลา บะอฺ์ฎี ยะตะสาอะลูน
26,กฺอลู อินนา กุนนา กฺ็อบลุ ฟี อะฮ์ลินา มุชฟิกฺีน
27,ฟะมันนัล ลอฮุ อฺะลัยนา วะวะกฺอนา อฺะซาบัส สะมูม
28,อินนา กุนนา มิน กฺ็อบลุ นัดอฺูฮ์  ^  อินนะฮู ฮุวัล บัรรุร เราะฮีม
29,ฟะซักกิร ฟะมา อันตะ บินิอฺ์มะติ ร็อบบิกะ บิกาฮินิว วะลา มัจญ์นูน
30,อัม ยะกฺูลูนะ ชาอฺิรุน นะตะร็อบบะศุ บิฮี ร็อยบัล มะนูน
31,กฺุล ตะร็อบบะศู ฟะอินนี มะอฺะกุม มินัล มุตะร็อบบิศีน
32,อัม ตะอ์มุรุฮุม อะห์ลามุฮุม บิฮาซา  ^  อัม ฮุม เกฺอ์ามุน ฏอฆูน
33,อัม ยะกฺูลูนะ ตะเกฺอ์าวะละฮ์  ^  บัล ลา ยุอ์มินูน
34,ฟัลยะอ์ตู บิฮะดีษิม มิษลิฮี อิน กานู ศอดิกฺีน
35,อัม คุลิกฺู มิน ฆ็อยริ ชัยอิน อัม ฮุมุล คอลิกฺูน
36,อัม เคาะละกฺุส สะมาวาติ วัลอัรฎ์  ^  บัล ลา ยูกฺินูน
37,อัม อฺินดะฮุม เคาะซาอินุ ร็อบบิกะ อัม ฮุมุล มุศ็อยฏิรูน
38,อัม ละฮุม สุลละมุย ยัสตะมิอฺูนะ ฟีฮ์  ^  ฟัลยะอ์ติ มุสตะมิอฺุฮุม บิสุลฏอนิม มุบีน
39,อัม ละฮุล บะนาตุ วะละกุมุล บะนูน
40,อัม ตัสอะลุฮุม อัจญ์ร็อน ฟะฮุม มิม มัฆเราะมิม มุษเกฺาะลูน
41,อัม อฺินดะฮุมุล ฆ็อยบุ ฟะฮุม ยักตุบูน
42,อัม ยุรีดูนะ กัยดา  ^  ฟัลละซีนะ กะฟะรู ฮุมุล มะกีดูน
43,อัม ละฮุม อิลาฮุน ฆ็อยรุล ลอฮ์  ^  สุบฮานัล ลอฮิ อฺัมมา ยุชริกูน
44,วะอี ยะเรอ์า กิสฟัม มินัส สะมาอิ สากฺิฏ็อย ยะกฺูลู สะฮาบุม มัรกูม
45,ฟะซัรฮุม ฮัตตา ยุลากฺู เยามะฮุมุล ละซี ฟีฮิ ยุศอฺะกฺูน
46,เยามะ ลา ยุฆนี อฺันฮุม กัยดุฮุม ชัยเอา วะลา ฮุม ยุนเศาะรูน
47,วะอินนะ ลิลละซีนะ เซฺาะละมู อฺะซาบัน ดูนะ ซาลิกะ วะลากินนะ อักษะเราะฮุม ลา ยะอฺ์ละมูน
48,วัศบิร ลิฮุกมิ ร็อบบิกะ ฟะอินนะกะ บิอะอฺ์ยุนินา  ^  วะสับบิห์ บิฮัมดิ ร็อบบิกะ ฮีนะ ตะกฺูม
49,วะมินัล ลัยลิ ฟะสับบิห์ฮุ วะอิดบาร็อน นุญูม
