id,t
1,วันนัจญ์มิ อิซา ฮะวา
2,มา ฎ็อลละ ศอฮิบุกุม วะมา เฆาะวา
3,วะมา ยันฏิกฺุ อฺะนิล ฮะวา
4,อิน ฮุวะ อิลลา วะห์ยุย ยูฮา
5,อฺัลละมะฮู ชะดีดุล กฺุวา
6,ซู มิรเราะติน ฟัสตะวา
7,วะฮุวะ บิลอุฟุกฺิล อะอฺ์ลา
8,ษุมมะ ดะนา ฟะตะดัลลา
9,ฟะกานะ กฺอบะ เกฺอ์าสัยนิ เอา อัดนา
10,ฟะเอาฮา อิลา อฺับดิฮี มา เอาฮา
11,มา กะซะบัล ฟุอาดุ มา เราะอา
12,อะฟะตุมารูนะฮู อฺะลา มา ยะรอ
13,วะละกฺ็อด เราะอาฮุ นัซละตัน อุครอ
14,อฺินดะ สิดเราะติล มุนตะฮา
15,อฺินดะฮา ญันนะตุล มะอ์วา
16,อิซ ยัฆชัส สิดเราะตะ มา ยัฆชา
17,มา ซาฆ็อล บะเศาะรุ วะมา เฏาะฆอ
18,ละกฺ็อด เราะอา มิน อายาติ ร็อบบิฮิล กุบรอ
19,อะฟะเราะอัยตุมุล ลาตะ วัลอฺุซซา
20,วะมะนาตัษ ษาลิษะตัล อุครอ
21,อะละกุมุซ ซะกะรุ วะละฮุล อุนษา
22,ติลกะ อิซัน กฺิสมะตุน ฎีซา
23,อิน ฮิยะ อิลลา อัสมาอุน สัมมัยตุมูฮา อันตุม วะอาบาอุกุม มา อันซะลัล ลอฮุ บิฮา มิน สุลฏอน  ^  อี ยัตตะบิอฺูนะ อิลลัซฺ ซฺ็อนนะ วะมา ตะฮ์วัล อันฟุส  ^  วะละกฺ็อด ญาอะฮุม มิร ร็อบบิฮิมุล ฮุดา
24,อัม ลิลอินสานิ มา ตะมันนา
25,ฟะลิลลาฮิล อาคิเราะตุ วัลอูลา
26,วะกัม มิม มะละกิน ฟิส สะมาวาติ ลา ตุฆนี ชะฟาอฺะตุฮุม ชัยอัน อิลลา มิม บะอฺ์ดิ อัย ยะอ์ซะนัล ลอฮุ ลิมัย ยะชาอุ วะยัรฎอ
27,อินนัล ละซีนะ ลา ยุอ์มินูนะ บิลอาคิเราะติ ละยุสัมมูนัล มะลาอิกะตะ ตัสมิยะตัล อุนษา
28,วะมา ละฮุม บิฮี มิน อฺิลม์  ^  อี ยัตตะบิอฺูนะ อิลลัซฺ ซฺ็อนน์  ^  วะอินนัซฺ ซฺ็อนนะ ลา ยุฆนี มินัล ฮักฺกฺิ ชัยอา
29,ฟะอะอฺ์ริฎ อฺัม มัน ตะวัลลา อฺัน ซิกรินา วะลัม ยุริด อิลลัล ฮะยาตัด ดุนยา
30,ซาลิกะ มับละฆุฮุม มินัล อฺิลม์  ^  อินนะ ร็อบบะกะ ฮุวะ อะอฺ์ละมุ บิมัน ฎ็อลละ อฺัน สะบีลิฮี วะฮุวะ อะอฺ์ละมุ บิมะนิฮ์ ตะดา
31,วะลิลลาฮิ มา ฟิส สะมาวาติ วะมา ฟิล อัรฎิ ลิยัจญ์ซิยัล ละซีนะ อะสาอู บิมา อฺะมิลู วะยัจญ์ซิยัล ละซีนะ อะห์สะนู บิลฮุสน์
32,อัลละซีนะ ยัจญ์ตะนิบูนะ กะบาอิร็อล อิษมิ วัลฟะวาฮิชะ อิลลัล ละมัม  ^  อินนะ ร็อบบะกะ วาสิอฺุล มัฆฟิเราะฮ์  ^  ฮุวะ อะอฺ์ละมุ บิกุม อิซ อันชะอะกุม มินัล อัรฎิ วะอิซ อันตุม อะญินนะตุน ฟี บุฏูนิ อุมมะฮาติกุม  ^  ฟะลา ตุซักกู อันฟุสะกุม  ^  ฮุวะ อะอฺ์ละมุ บิมะนิต ตะกฺอ
33,อะฟะเราะอัยตัล ละซี ตะวัลลา
34,วะอะอฺ์ฏอ เกฺาะลีเลา วะอักดา
35,อะอฺินดะฮู อฺิลมุล ฆ็อยบิ ฟะฮุวะ ยะรอ
36,อัม ลัม ยุนับบะอ์ บิมา ฟี ศุฮุฟิ มูสา
37,วะอิบรอฮีมัล ละซี วัฟฟา
38,อัลลา ตะซิรุ วาซิเราะตู วิซเราะ อุครอ
39,วะอัล ลัยสะ ลิลอินสานิ อิลลา มา สะอฺา
40,วะอันนะ สะอฺ์ยะฮู เสาฟะ ยุรอ
41,ษุมมะ ยุจญ์ซาฮุล ญะซาอัล เอาฟา
42,วะอันนะ อิลา ร็อบบิกัล มุนตะฮา
43,วะอันนะฮู ฮุวะ อัฎฮะกะ วะอับกา
44,วะอันนะฮู ฮุวะ อะมาตะ วะอะห์ยา
45,วะอันนะฮู เคาะละกฺ็อซ เซาญัยนิซ ซะกะเราะ วัลอุนษา
46,มิน นุฏฟะติน อิซา ตุมนา
47,วะอันนะ อฺะลัยฮิน นัชอะตัล อุครอ
48,วะอันนะฮู ฮุวะ อัฆนา วะอักฺนา
49,วะอันนะฮู ฮุวะ ร็อบบุช ชิอฺ์รอ
50,วะอันนะฮู อะฮ์ละกะ อฺาดะนิล อูลา
51,วะษะมูดะ ฟะมา อับกฺอ
52,วะเกฺอ์ามะ นูฮิม มิน กฺ็อบล์  ^  อินนะฮุม กานู ฮุม อัซฺละมะ วะอัฏฆอ
53,วัลมุอ์ตะฟิกะตะ อะฮ์วา
54,ฟะฆ็อชชาฮา มา ฆ็อชชา
55,ฟะบิอัยยิ อาลาอิ ร็อบบิกะ ตะตะมารอ
56,ฮาซา นะซีรุม มินัน นุซุริล อูลา
57,อะซิฟะติล อาซิฟะฮ์
58,ลัยสะ ละฮา มิน ดูนิล ลาฮิ กาชิฟะฮ์
59,อะฟะมิน ฮาซัล ฮะดีษิ ตะอฺ์ญะบูน
60,วะตัฎฮะกูนะ วะลา ตับกูน
61,วะอันตุม สามิดูน
62,ฟัสญุดู ลิลละฮิ วะอฺ์บุดู
