id,t
1,อิกฺตะเราะบะติส สาอฺะตุ วันชักฺกฺ็อล เกฺาะมัร
2,วะอี ยะเรอ์า อายะตัย ยุอฺ์ริฎู วะยะกฺูลู สิห์รุม มุสตะมิรร์
3,วะกัซซะบู วัตตะบะอฺู อะฮ์วาอะฮุม  ^  วะกุลลุ อัมริม มุสตะกฺิรร์
4,วะละกฺ็อด ญาอะฮุม มินัล อัมบาอิ มา ฟีฮิ มุซดะญัร
5,ฮิกมะตุม บาลิเฆาะฮ์  ^  ฟะมา ตุฆนิน นุซุร
6,ฟะตะวัลละ อฺันฮุม  ^  เยามะ ยัดอฺุด ดาอฺิ อิลา ชัยอิน นุกุร
7,คุชชะอฺัน อับศอรุฮุม ยัครุญูนะ มินัล อัจญ์ดาษิ กะอันนะฮุม ญะรอดุม มุนตะชิร
8,มุฮ์ฏิอฺีนะ อิลัด ดาอฺ์  ^  ยะกฺูลุล กาฟิรูนะ ฮาซา เยามุน อฺะสิร
9,กัซซะบัต กฺ็อบละฮุม เกฺอ์ามุ นูฮิน ฟะกัซซะบู อฺับดะนา วะกฺอลู มัจญ์นูนู วัซดุญิร
10,ฟะดะอฺา ร็อบบะฮู อันนี มัฆลูบุน ฟันตะศิร
11,ฟะฟะตะห์นา อับวาบัส สะมาอิ บิมาอิม มุนฮะมิร
12,วะฟัจญ์ญัรนัล อัรเฎาะ อฺุยูนัน ฟัลตะกฺ็อล มาอุ อฺะลา อัมริน กฺ็อด กฺุดิร
13,วะฮะมัลนาฮุ อฺะลา ซาติ อัลวาฮิว วะดุสุร
14,ตัจญ์รี บิอะอฺ์ยุนินา ญะซาอัล ลิมัน กานะ กุฟิร
15,วะละกฺ็อต ตะร็อกนาฮา อายะตัน ฟะฮัล มิม มุดดะกิร
16,ฟะกัยฟะ กานะ อฺะซาบี วะนุซุร
17,วะละกฺ็อด ยัสสัรนัล กฺุรอานะ ลิซซิกริ ฟะฮัล มิม มุดดะกิร
18,กัซซะบัต อฺาดุน ฟะกัยฟะ กานะ อฺะซาบี วะนุซุร
19,อินนา อัรสัลนา อฺะลัยฮิม รีฮัน ศ็อรเศาะร็อน ฟี เยามิ นะห์สิม มุสตะมิรร์
20,ตันซิอฺุน นาสะ กะอันนะฮุม อะอฺ์ญาซุ นัคลิม มุนเกฺาะอฺิร
21,ฟะกัยฟะ กานะ อฺะซาบี วะนุซุร
22,วะละกฺ็อด ยัสสัรนัล กฺุรอานะ ลิซซิกริ ฟะฮัล มิม มุดดะกิร
23,กัซซะบัต ษะมูดุ บินนุซุร
24,ฟะกฺอลู อะบะชะร็อม มินนา วาฮิดัน นัตตะบิอฺุฮู อินนา อิซัล ละฟี เฎาะลาลิว วะสุอฺุร
25,อะอุลกฺิยัซ ซิกรุ อฺะลัยฮิ มิม บัยนินา บัล ฮุวะ กัซซาบุน อะชิร
26,สะยะอฺ์ละมูนะ เฆาะดัม มะนิล กัซซาบุล อะชิร
27,อินนา มุรสิลุน นาเกฺาะติ ฟิตนะตัล ละฮุม ฟัรตะกฺิบฮุม วัศเฏาะบิร
28,วะนับบิอ์ฮุม อันนัล มาอะ กฺิสมะตุม บัยนะฮุม  ^  กุลลุ ชิรบิม มุห์ตะฎ็อร
29,ฟะนาเดา ศอฮิบะฮุม ฟะตะอฺาฏอ ฟะอฺะกฺ็อร
30,ฟะกัยฟะ กานะ อฺะซาบี วะนุซุร
31,อินนา อัรสัลนา อฺะลัยฮิม ศ็อยฮะเตา วาฮิดะตัน ฟะกานู กะฮะชีมิล มุห์ตะซฺิร
32,วะละกฺ็อด ยัสสัรนัล กฺุรอานะ ลิซซิกริ ฟะฮัล มิม มุดดะกิร
33,กัซซะบัต เกฺอ์ามุ ลูฏิม บินนุซุร
34,อินนา อัรสัลนา อฺะลัยฮิม ฮาศิบัน อิลลา อาละ ลูฏ  ^  นัจญ์ญัยนาฮุม บิสะฮัร
35,นิอฺ์มะตัม มิน อฺินดินา  ^  กะซาลิกะ นัจญ์ซี มัน ชะกัร
36,วะละกฺ็อด อันซะเราะฮุม บัฏชะตะนา ฟะตะมาเรอ์า บินนุซุร
37,วะละกฺ็อด รอวะดูฮุ อฺัน ฎ็อยฟิฮี ฟะเฏาะมัสนา อะอฺ์ยุนะฮุม ฟะซูกฺู อฺะซาบี วะนุซุร
38,วะละกฺ็อด ศ็อบบะฮะฮุม บุกเราะตัน อฺะซาบุม มุสตะกฺิรร์
39,ฟะซูกฺู อฺะซาบี วะนุซุร
