id,t
1,อัรเราะห์มาน
2,อฺัลละมัล กฺุรอาน
3,เคาะละกฺ็อล อินสาน
4,อฺัลละมะฮุล บะยาน
5,อัชชัมสุ วัลเกฺาะมะรุ บิฮุสบาน
6,วันนัจญ์มุ วัชชะญะรุ ยัสญุดาน
7,วัสสะมาอะ เราะฟะอฺะฮา วะวะเฎาะอฺัล มีซาน
8,อัลลา ตัฏเฆอ์า ฟิล มีซาน
9,วะอะกฺีมุล วัซนะ บิลกฺิสฏิ วะลา ตุคสิรุล มีซาน
10,วัลอัรเฎาะ วะเฎาะอฺะฮา ลิลอะนาม
11,ฟีฮา ฟากิฮะตู วันนัคลุ ซาตุล อักมาม
12,วัลฮับบุ ซุล อฺัศฟิ วัรร็อยฮาน
13,ฟะบิอัยยิ อาลาอิ ร็อบบิกุมา ตุกัซซิบาน
14,เคาะละกฺ็อล อินสานะ มิน ศ็อลศอลิน กัลฟัคคอร
15,วะเคาะละกฺ็อล ญา-นนะ มิม มาริญิม มิน นาร
16,ฟะบิอัยยิ อาลาอิ ร็อบบิกุมา ตุกัซซิบาน
17,ร็อบบุล มัชริกฺ็อยนิ วะร็อบบุล มัฆริบัยน์
18,ฟะบิอัยยิ อาลาอิ ร็อบบิกุมา ตุกัซซิบาน
19,มะเราะญัล บะห์ร็อยนิ ยัลตะกฺิยาน
20,บัยนะฮุมา บัรซะคุล ลา ยับฆิยาน
21,ฟะบิอัยยิ อาลาอิ ร็อบบิกุมา ตุกัซซิบาน
22,ยัครุญุ มินฮุมัล ลุอ์ลุอุ วัลมัรญาน
23,ฟะบิอัยยิ อาลาอิ ร็อบบิกุมา ตุกัซซิบาน
24,วะละฮุล ญะวาริล มุนชะอาตุ ฟิล บะห์ริ กัลอะอฺ์ลาม
25,ฟะบิอัยยิ อาลาอิ ร็อบบิกุมา ตุกัซซิบาน
26,กุลลุ มัน อฺะลัยฮา ฟาน
27,วะยับกฺอ วัจญ์ฮุ ร็อบบิกะ ซุล ญะลาลิ วัลอิกรอม
28,ฟะบิอัยยิ อาลาอิ ร็อบบิกุมา ตุกัซซิบาน
