id,t
1,อิซา วะเกฺาะอฺะติล วากฺิอฺะฮ์
2,ลัยสะ ลิวักฺอฺะติฮา กาซิบะฮ์
3,คอฟิเฎาะตุร รอฟิอฺะฮ์
4,อิซา รุจญ์ญะติล อัรฎุ ร็อจญ์ญา
5,วะบุสสะติล ญิบาลุ บัสสา
6,ฟะกานัต ฮะบาอัม มุมบัษษา
7,วะกุนตุม อัซวาญัน ษะลาษะฮ์
8,ฟะอัศฮาบุล มัยมะนะติ มา อัศฮาบุล มัยมะนะฮ์
9,วะอัศฮาบุล มัชอะมะติ มา อัศฮาบุล มัชอะมะฮ์
10,วัสสาบิกฺูนัส สาบิกฺูน
11,อุลาอิกัล มุกฺ็อรเราะบูน
12,ฟี ญันนาติน นะอฺีม
13,ษุลละตุม มินัล เอาวะลีน
14,วะเกฺาะลีลุม มินัล อาคิรีน
15,อฺะลา สุรุริม เมาฎูนะฮ์
16,มุตตะกิอีนะ อฺะลัยฮา มุตะกฺอบิลีน
17,ยะฏูฟุ อฺะลัยฮิม วิลดานุม มุค็อลละดูน
18,บิอักวาบิว วะอะบารีเกฺาะ วะกะอ์สิม มิม มะอฺีน
19,ลา ยุศ็อดดะอฺูนะ อฺันฮา วะลา ยุนซิฟูน
20,วะฟากิฮะติม มิมมา ยะตะค็อยยะรูน
21,วะละห์มิ ฏ็อยริม มิมมา ยัชตะฮูน
22,วะฮูรุน อฺีน
23,กะอัมษาลิล ลุอ์ลูอิล มักนูน
24,ญะซาอัม บิมา กานู ยะอฺ์มะลูน
25,ลา ยัสมะอฺูนะ ฟีฮา ลัฆเวา วะลา ตะอ์ษีมา
26,อิลลา กฺีลัน สะลามัน สะลามา
27,วะอัศฮาบุล ยะมีนิ มา อัศฮาบุล ยะมีน
28,ฟี สิดริม มัคฎูด
29,วะฏ็อลฮิม มันฎูด
30,วะซฺิลลิม มัมดูด
31,วะมาอิม มัสกูบ
32,วะฟากิฮะติน กะษีเราะฮ์
33,ลา มักฺฏูอฺะติว วะลา มัมนูอฺะฮ์
34,วะฟุรุชิม มัรฟูอฺะฮ์
35,อินนา อันชะอ์นาฮุนนะ อินชาอา
36,ฟะญะอฺัลนาฮุนนะ อับการอ
37,อฺุรุบัน อัตรอบา
38,ลิอัศฮาบิล ยะมีน
39,ษุลละตุม มินัล เอาวะลีน
40,วะษุลละตุม มินัล อาคิรีน
41,วะอัศฮาบุช ชิมาลิ มา อัศฮาบุช ชิมาล
42,ฟี สะมูมิว วะฮะมีม
43,วะซฺิลลิม มี ยะห์มูม
44,ลา บาริดิว วะลา กะรีม
45,อินนะฮุม กานู กฺ็อบละ ซาลิกะ มุตเราะฟีน
46,วะกานู ยุศิรรูนะ อฺะลัล ฮินษิล อฺะซฺีม
47,วะกานู ยะกฺูลูนะ อะอิซา มิตนา วะกุนนา ตุรอเบา วะอฺิซฺอมัน อะอินนา ละมับอฺูษูน
48,อะวะ อาบาอุนัล เอาวะลูน
49,กฺุล อินนัล เอาวะลีนะ วัลอาคิรีน
50,ละมัจญ์มูอฺูนะ อิลา มีกฺอติ เยามิม มะอฺ์ลูม
51,ษุมมะ อินนะกุม อัยยุฮัฎ ฎอ-ลลูนัล มุกัซซิบูน
52,ละอากิลูนะ มิน ชะญะริม มิน ซักฺกฺูม
53,ฟะมาลิอูนะ มินฮัล บุฏูน
54,ฟะชาริบูนะ อฺะลัยฮิ มินัล ฮะมีม
55,ฟะชาริบูนะ ชุรบัล ฮีม
56,ฮาซา นุซุลุฮุม เยามัด ดีน
57,นะห์นุ เคาะลักฺนากุม ฟะเลาลา ตุศ็อดดิกฺูน
58,อะฟะเราะอัยตุม มา ตุมนูน
59,อะอันตุม ตัคลุกฺูนะฮู อัม นะห์นุล คอลิกฺูน
60,นะห์นุ กฺ็อดดัรนา บัยนะกุมุล เมาตะ วะมา นะห์นุ บิมัสบูกฺีน
61,อฺะลา อัน นุบัดดิละ อัมษาละกุม วะนุนชิอะกุม ฟี มา ลา ตะอฺ์ละมูน
62,วะละกฺ็อด อฺะลิมตุมุน นัชอะตัล อูลา ฟะเลาลา ตะซักกะรูน
63,อะฟะเราะอัยตุม มา ตะห์รุษูน
64,อะอันตุม ตัซเราะอฺูนะฮู อัม นะห์นุซ ซาริอฺูน
65,เลา นะชาอุ ละญะอฺัลนาฮุ ฮุฏอมัน ฟะซฺ็อลตุม ตะฟักกะฮูน
66,อินนา ละมุฆเราะมูน
67,บัล นะห์นุ มะห์รูมูน
68,อะฟะเราะอัยตุมุล มาอัล ละซี ตัชเราะบูน
69,อะอันตุม อันซัลตุมูฮุ มินัล มุซนิ อัม นะห์นุล มุนซิลูน
70,เลา นะชาอุ ญะอฺัลนาฮุ อุญาญัน ฟะเลาลา ตัชกุรูน
71,อะฟะเราะอัยตุมุน นาร็อล ละตี ตูรูน
72,อะอันตุม อันชะอ์ตุม ชะญะเราะตะฮา อัม นะห์นุล มุนชิอูน
73,นะห์นุ ญะอฺัลนาฮา ตัซกิเราะเตา วะมะตาอฺัล ลิลมุกฺวีน
74,ฟะสับบิห์ บิสมิ ร็อบบิกัล อฺะซฺีม
75,ฟะลา อุกฺสิมุ บิมะวากฺิอฺิน นุญูม
76,วะอินนะฮู ละเกฺาะสะมุล เลา ตะอฺ์ละมูนะ อฺะซฺีม
77,อินนะฮู ละกฺุรอานุน กะรีม
78,ฟี กิตาบิม มักนูน
79,ลา ยะมัสสุฮู อิลลัล มุเฏาะฮ์ฮะรูน
80,ตันซีลุม มิร ร็อบบิล อฺาละมีน
81,อะฟะบิฮาซัล ฮะดีษิ อันตุม มุดฮินูน
82,วะตัจญ์อฺะลูนะ ริซเกฺาะกุม อันนะกุม ตุกัซซิบูน
83,ฟะเลาลา อิซา บะละเฆาะติล ฮุลกฺูม
84,วะอันตุม ฮีนะอิซิน ตันซฺุรูน
85,วะนะห์นุ อักฺเราะบุ อิลัยฮิ มินกุม วะลากิล ลา ตุบศิรูน
86,ฟะเลาลา อิน กุนตุม ฆ็อยเราะ มะดีนีน
87,ตัรญิอฺูนะฮา อิน กุนตุม ศอดิกฺีน
88,ฟะอัมมา อิน กานะ มินัล มุกฺ็อรเราะบีน
89,ฟะเรอ์าฮู วะร็อยฮานู วะญันนะตุ นะอฺีม
90,วะอัมมา อิน กานะ มิน อัศฮาบิล ยะมีน
91,ฟะสะลามุล ละกะ มิน อัศฮาบิล ยะมีน
92,วะอัมมา อิน กานะ มินัล มุกัซซิบีนัฎ ฎอ-ลลีน
93,ฟะนุซุลุม มิน ฮะมีม
94,วะตัศลิยะตุ ญะฮีม
95,อินนะ ฮาซา ละฮุวะ ฮักฺกฺุล ยะกฺีน
96,ฟะสับบิห์ บิสมิ ร็อบบิกัล อฺะซฺีม
