id,t
1,กฺ็อด สะมิอฺัล ลอฮุ เกฺอ์าลัล ละตี ตุญาดิลุกะ ฟี เซาญิฮา วะตัชตะกี อิลัล ลอฮิ วัลลอฮุ ยัสมะอฺุ ตะฮาวุเราะกุมา  ^  อินนัล ลอฮะ สะมีอฺุม บะศีร
2,อัลละซีนะ ยุซฺอฮิรูนะ มินกุม มิน นิสาอิฮิม มา ฮุนนะ อุมมะฮาติฮิม  ^  อิน อุมมะฮาตุฮุม อิลลัล ลาอี วะลัดนะฮุม  ^  วะอินนะฮุม ละยะกฺูลูนะ มุนกะร็อม มินัล เกฺอ์าลิ วะซูรอ  ^  วะอินนัล ลอฮะ ละอฺะฟูว์วุน เฆาะฟูร
3,วัลละซีนะ ยุซฺอฮิรูนะ มิน นิสาอิฮิม ษุมมะ ยะอฺูดูนะ ลิมา กฺอลู ฟะตะห์รีรุ เราะเกฺาะบะติม มิน กฺ็อบลิ อัย ยะตะมา-สสา  ^  ซาลิกุม ตูอฺะซฺูนะ บิฮ์  ^  วัลลอฮุ บิมา ตะอฺ์มะลูนะ เคาะบีร
4,ฟะมัล ลัม ยะญิด ฟะศิยามุ ชะฮ์ร็อยนิ มุตะตาบิอฺัยนิ มิน กฺ็อบลิ อัย ยะตะมา-สสา  ^  ฟะมัล ลัม ยัสตะฏิอฺ์ ฟะอิฏอฺามุ สิตตีนะ มิสกีนา  ^  ซาลิกะ ลิตุอ์มินู บิลลาฮิ วะเราะสูลิฮ์  ^  วะติลกะ ฮุดูดุล ลอฮ์  ^  วะลิลกาฟิรีนะ อฺะซาบุน อะลีม
5,อินนัล ละซีนะ ยุฮา-ดดูนัล ลอฮะ วะเราะสูละฮู กุบิตู กะมา กุบิตัล ละซีนะ มิน กฺ็อบลิฮิม  ^  วะกฺ็อด อันซัลนา อายาติม บัยยินาต  ^  วะลิลกาฟิรีนะ อฺะซาบุม มุฮีน
6,เยามะ ยับอฺะษุฮุมุล ลอฮุ ญะมีอฺัน ฟะยุนับบิอุฮุม บิมา อฺะมิลู  ^  อะห์ศอฮุล ลอฮุ วะนะสูฮ์  ^  วัลลอฮุ อฺะลา กุลลิ ชัยอิน ชะฮีด
7,อะลัม ตะเราะ อันนัล ลอฮะ ยะอฺ์ละมุ มา ฟิส สะมาวาติ วะมา ฟิล อัรฎ์  ^  มา ยะกูนุ มิน นัจญ์วา ษะลาษะติน อิลลา ฮุวะ รอบิอฺุฮุม วะลา ค็อมสะติน อิลลา ฮุวะ สาดิสุฮุม วะลา อัดนา มิน ซาลิกะ วะลา อักษะเราะ อิลลา ฮุวะ มะอฺะฮุม อัยนะ มา กานู  ^  ษุมมะ ยุนับบิอุฮุม บิมา อฺะมิลู เยามัล กฺิยามะฮ์  ^  อินนัล ลอฮะ บิกุลลิ ชัยอิน อฺะลีม
8,อะลัม ตะเราะ อิลัล ละซีนะ นุฮู อฺะนิน นัจญ์วา ษุมมะ ยะอฺูดูนะ ลิมา นุฮู อฺันฮุ วะยะตะนาเญานะ บิลอิษมิ วัลอฺุดวานิ วะมะอฺ์ศิยะติร เราะสูล  ^  วะอิซา ญาอูกะ ฮัยเยากะ บิมา ลัม ยุฮัยยิกะ บิฮิล ลาฮุ วะยะกฺูลูนะ ฟี อันฟุสิฮิม เลาลา ยุอฺัซซิบุนัล ลอฮุ บิมา นะกฺูล  ^  ฮัสบุฮุม ญะฮันนะมุ ยัศเลานะฮา  ^  ฟะบิอ์สัล มะศีร
9,ยาอัยยุฮัล ละซีนะ อามะนู อิซา ตะนาญัยตุม ฟะลา ตะตะนาเญา บิลอิษมิ วัลอฺุดวานิ วะมะอฺ์ศิยะติร เราะสูลิ วะตะนาเญา บิลบิรริ วัตตักฺวา  ^  วัตตะกฺุล ลอฮัล ละซี อิลัยฮิ ตุห์ชะรูน
10,อินนะมัน นัจญ์วา มินัช ชัยฏอนิ ลิยะห์ซุนัล ละซีนะ อามะนู วะลัยสะ บิฎอ-รริฮิม ชัยอัน อิลลา บิอิซนิล ลาฮ์  ^  วะอฺะลัล ลอฮิ ฟัลยะตะวักกะลิล มุอ์มินูน
