id,t
1,สับบะฮะ ลิลลาฮิ มา ฟิส สะมาวาติ วะมา ฟิล อัรฎ์  ^  วะฮุวัล อฺะซีซุล ฮะกีม
2,ฮุวัล ละซี อัคเราะญัล ละซีนะ กะฟะรู มิน อะฮ์ลิล กิตาบิ มิน ดิยาริฮิม ลิเอาวะลิล ฮัชร์  ^  มา เซฺาะนันตุม อัย ยัครุญู  ^  วะซฺ็อนนู อันนะฮุม มานิอฺะตุฮุม ฮุศูนุฮุม มินัล ลอฮิ ฟะอะตาฮุมุล ลอฮุ มิน ฮัยษุ ลัม ยะห์ตะสิบู  ^  วะเกฺาะซะฟะ ฟี กฺุลูบิฮิมุร รุอฺ์บ์  ^  ยุคริบูนะ บุยูตะฮุม บิอัยดีฮิม วะอัยดิล มุอ์มินีนะ ฟะอฺ์ตะบิรู ยาอุลิล อับศอร
3,วะเลาลา อัน กะตะบัล ลอฮุ อฺะลัยฮิมุล ญะลาอะ ละอฺัซซะบะฮุม ฟิด ดุนยา  ^  วะละฮุม ฟิล อาคิเราะติ อฺะซาบุน นาร
4,ซาลิกะ บิอันนะฮุม ชา-กฺกฺุล ลอฮะ วะเราะสูละฮ์  ^  วะมัย ยุชา-กฺกฺิล ลาฮะ ฟะอินนัล ลอฮะ ชะดีดุล อฺิกฺอบ
5,มา เกฺาะเฏาะอฺ์ตุม มิล ลีนะติน เอา ตะร็อกตุมูฮา กฺออิมะตัน อฺะลา อุศูลิฮา ฟะบิอิซนิล ลาฮิ วะลิยุคซิยัล ฟาสิกฺีน
6,วะมา อะฟาอัล ลอฮุ อฺะลา เราะสูลิฮี มินฮุม ฟะมา เอาญัฟตุม อฺะลัยฮิ มิน ค็อยลิว วะลา ริกาบิว วะลากินนัล ลอฮะ ยุสัลลิฏุ รุสุละฮู อฺะลา มัย ยะชาอ์  ^  วัลลอฮุ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
7,มา อะฟาอัล ลอฮุ อฺะลา เราะสูลิฮี มิน อะฮ์ลิล กฺุรอ ฟะลิลลาฮิ วะลิรเราะสูลิ วะลิซิล กฺุรบา วัลยะตามา วัลมะสากีนิ วับนิส สะบีลิ กัย ลา ยะกูนะ ดูละตัม บัยนัล อัฆนิยาอิ มินกุม  ^  วะมา อาตากุมุร เราะสูลุ ฟะคุซูฮุ วะมา นะฮากุม อฺันฮุ ฟันตะฮู  ^  วัตตะกฺุล ลอฮ์  ^  อินนัล ลอฮะ ชะดีดุล อฺิกฺอบ
8,ลิลฟุเกฺาะรออิล มุฮาญิรีนัล ละซีนะ อุคริญู มิน ดิยาริฮิม วะอัมวาลิฮิม ยับตะฆูนะ ฟัฎลัม มินัล ลอฮิ วะริฎวาเนา วะยันศุรูนัล ลอฮะ วะเราะสูละฮ์  ^  อุลาอิกะ ฮุมุศ ศอดิกฺูน
9,วัลละซีนะ ตะเบาวะอุด ดาเราะ วัลอีมานะ มิน กฺ็อบลิฮิม ยุฮิบบูนะ มัน ฮาญะเราะ อิลัยฮิม วะลา ยะญิดูนะ ฟี ศุดูริฮิม ฮาญะตัม มิมมา อูตู วะยุอ์ษิรูนะ อฺะลา อันฟุสิฮิม วะเลา กานะ บิฮิม เคาะศอเศาะฮ์  ^  วะมัย ยูเกฺาะ ชุห์ฮะ นัฟสิฮี ฟะอุลาอิกะ ฮุมุล มุฟลิฮูน
10,วัลละซีนะ ญาอู มิม บะอฺ์ดิฮิม ยะกฺูลูนะ ร็อบบะนัฆ ฟิร ละนา วะลิอิควานินัล ละซีนะ สะบะกฺูนา บิลอีมานิ วะลา ตัจญ์อฺัล ฟี กฺุลูบินา ฆิลลัล ลิลละซีนะ อามะนู ร็อบบะนา อินนะกะ เราะอูฟุร เราะฮีม
11,อะลัม ตะเราะ อิลัล ละซีนะ นาฟะกฺู ยะกฺูลูนะ ลิอิควานิฮิมุล ละซีนะ กะฟะรู มิน อะฮ์ลิล กิตาบิ ละอิน อุคริจญ์ตุม ละนัครุญันนะ มะอฺะกุม วะลา นุฏีอฺุ ฟีกุม อะฮะดัน อะบะเดา วะอิน กฺูติลตุม ละนันศุร็อนนะกุม วัลลอฮุ ยัชฮะดุ อินนะฮุม ละกาซิบูน
12,ละอิน อุคริญู ลา ยัครุญูนะ มะอฺะฮุม วะละอิน กฺูติลู ลา ยันศุรูนะฮุม วะละอิน นะเศาะรูฮุม ละยุวัลลุนนัล อัดบาเราะ ษุมมะ ลา ยุนเศาะรูน
13,ละอันตุม อะชัดดุ เราะฮ์บะตัน ฟี ศุดูริฮิม มินัล ลอฮ์  ^  ซาลิกะ บิอันนะฮุม เกฺอ์ามุล ลา ยัฟเกฺาะฮูน
14,ลา ยุกฺอติลูนะกุม ญะมีอฺัน อิลลา ฟี กฺุร็อม มุฮัศเศาะนะติน เอา มิว วะรออิ ญุดุร  ^  บะอ์สุฮุม บัยนะฮุม ชะดีด  ^  ตะห์สะบุฮุม ญะมีเอฺา วะกฺุลูบุฮุม ชัตตา  ^  ซาลิกะ บิอันนะฮุม เกฺอ์ามุล ลา ยะอฺ์กฺิลูน
15,กะมะษะลิล ละซีนะ มิน กฺ็อบลิฮิม เกฺาะรีบา  ^  ซากฺู วะบาละ อัมริฮิม วะละฮุม อฺะซาบุน อะลีม
16,กะมะษะลิช ชัยฏอนิ อิซ กฺอละ ลิลอินสานิก ฟุร ฟะลัมมา กะฟะเราะ กฺอละ อินนี บะรีอุม มินกะ อินนี อะคอฟุล ลอฮะ ร็อบบัล อฺาละมีน
17,ฟะกานะ อฺากฺิบะตะฮุมา อันนะฮุมา ฟิน นาริ คอลิดัยนิ ฟีฮา  ^  วะซาลิกะ ญะซาอุซฺ ซฺอลิมีน
18,ยาอัยยุฮัล ละซีนะ อามะนุต ตะกฺุล ลอฮะ วัลตันซฺุร นัฟสุม มา กฺ็อดดะมัต ลิฆ็อด  ^  วัตตะกฺุล ลอฮ์  ^  อินนัล ลอฮะ เคาะบีรุม บิมา ตะอฺ์มะลูน
19,วะลา ตะกูนู กัลละซีนะ นะสุล ลอฮะ ฟะอันสาฮุม อันฟุสะฮุม  ^  อุลาอิกะ ฮุมุล ฟาสิกฺูน
20,ลา ยัสตะวี อัศฮาบุน นาริ วะอัศฮาบุล ญันนะฮ์  ^  อัศฮาบุล ญันนะติ ฮุมุล ฟาอิซูน
21,เลา อันซัลนา ฮาซัล กฺุรอานะ อฺะลา ญะบะลิล ละเราะอัยตะฮู คอชิอฺัม มุตะศ็อดดิอฺัม มิน ค็อชยะติล ลาฮ์  ^  วะติลกัล อัมษาลุ นัฎริบุฮา ลินนาสิ ละอฺัลละฮุม ยะตะฟักกะรูน
22,ฮุวัล ลอฮุล ละซี ลา อิลาฮะ อิลลา ฮู  ^  อฺาลิมุล ฆ็อยบิ วัชชะฮาดะฮ์  ^  ฮุวัร เราะห์มานุร เราะฮีม
