id,t
1,อัลฮัมดุ ลิลลาฮิล ละซี เคาะละกฺ็อส สะมาวาติ วัลอัรเฎาะ วะญะอฺะลัซฺ ซฺุลุมาติ วันนูร  ^  ษุมมัล ละซีนะ กะฟะรู บิร็อบบิฮิม ยะอฺ์ดิลูน
2,ฮุวัล ละซี เคาะละเกฺาะกุม มิน ฏีนิน ษุมมะ เกฺาะฎอ อะญะลา  ^  วะอะญะลุม มุสัมมัน อฺินดะฮ์  ^  ษุมมะ อันตุม ตัมตะรูน
3,วะฮุวัล ลอฮุ ฟิส สะมาวาติ วะฟิล อัรฎิ ยะอฺ์ละมุ สิรเราะกุม วะญะฮ์เราะกุม วะยะอฺ์ละมุ มา ตักสิบูน
4,วะมา ตะอ์ตีฮิม มิน อายะติม มิน อายาติ ร็อบบิฮิม อิลลา กานู อฺันฮา มุอฺ์ริฎีน
5,ฟะกฺ็อด กัซซะบู บิลฮักฺกฺิ ลัมมา ญาอะฮุม ฟะเสาฟะ ยะอ์ตีฮิม อัมบาอุ มา กานู บิฮี ยัสตะฮ์ซิอูน
6,อะลัม ยะเรอ์า กัม อะฮ์ลักนา มิน กฺ็อบลิฮิม มิน กฺ็อรนิม มักกันนาฮุม ฟิล อัรฎิ มา ลัม นุมักกิล ละกุม วะอัรสัลนัส สะมาอะ อฺะลัยฮิม มิดรอเรอ์า วะญะอฺัลนัล อันฮาเราะ ตัจญ์รี มิน ตะห์ติฮิม ฟะอะฮ์ลักนาฮุม บิซุนูบิฮิม วะอันชะอ์นา มิม บะอฺ์ดิฮิม กฺ็อรนัน อาเคาะรีน
7,วะเลา นัซซัลนา อฺะลัยกะ กิตาบัน ฟี กฺิรฏอสิน ฟะละมะสูฮุ บิอัยดีฮิม ละกฺอลัล ละซีนะ กะฟะรู อิน ฮาซา อิลลา สิห์รุม มุบีน
8,วะกฺอลู เลาลา อุนซิละ อฺะลัยฮิ มะลัก  ^  วะเลา อันซัลนา มะละกัล ละกฺุฎิยัล อัมรุ ษุมมะ ลา ยุนเซฺาะรูน
9,วะเลา ญะอฺัลนาฮุ มะละกัล ละญะอฺัลนาฮุ เราะญุเลา วะละละบัสนา อฺะลัยฮิม มา ยัลบิสูน
10,วะละเกฺาะดิส ตุฮ์ซิอะ บิรุสุลิม มิน กฺ็อบลิกะ ฟะฮาเกฺาะ บิลละซีนะ สะคิรู มินฮุม มา กานู บิฮี ยัสตะฮ์ซิอูน
11,กฺุล สีรู ฟิล อัรฎิ ษุมมัน ซฺุรู กัยฟะ กานะ อฺากฺิบะตุล มุกัซซิบีน
12,กฺุล ลิมัม มา ฟิส สะมาวาติ วัลอัรฎ์  ^  กฺุล ลิลลาฮ์  ^  กะตะบะ อฺะลา นัฟสิฮิร เราะห์มะฮ์  ^  ละยัจญ์มะอฺันนะกุม อิลา เยามิล กฺิยามะติ ลา ร็อยบะ ฟีฮ์  ^  อัลละซีนะ เคาะสิรู อันฟุสะฮุม ฟะฮุม ลา ยุอ์มินูน
13,วะละฮู มา สะกะนะ ฟิล ลัยลิ วันนะฮาร  ^  วะฮุวัส สะมีอฺุล อฺะลีม
14,กฺุล อะฆ็อยร็อล ลอฮิ อัตตะคิซุ วะลีย์ยัน ฟาฏิริส สะมาวาติ วัลอัรฎิ วะฮุวะ ยุฏอฺิมุ วะลา ยุฏอฺัม  ^  กฺุล อินนี อุมิรตุ อัน อะกูนะ เอาวะละ มัน อัสลัม  ^  วะลา ตะกูนันนะ มินัล มุชริกีน
15,กฺุล อินนี อะคอฟุ อิน อฺะศ็อยตุ ร็อบบี อฺะซาบะ เยามิน อฺะซฺีม
16,มัย ยุศร็อฟ อฺันฮุ เยามะอิซิน ฟะกฺ็อด เราะฮิมะฮ์  ^  วะซาลิกัล เฟาซุล มุบีน
17,วะอี ยัมสัสกัล ลอฮุ บิฎุรริน ฟะลา กาชิฟะ ละฮู อิลลา ฮู  ^  วะอี ยัมสัสกะ บิค็อยริน ฟะฮุวะ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
18,วะฮุวัล กฺอฮิรุ เฟาเกฺาะ อฺิบาดิฮ์  ^  วะฮุวัล ฮะกีมุล เคาะบีร
19,กฺุล อัยยุ ชัยอิน อักบะรุ ชะฮาดะฮ์  ^  กฺุลิล ลาฮ์  ^  ชะฮีดุม บัยนี วะบัยนะกุม  ^  วะอูฮิยะ อิลัยยะ ฮาซัล กฺุรอานุ ลิอุนซิเราะกุม บิฮี วะมัม บะลัฆ  ^  อะอินนะกุม ละตัชฮะดูนะ อันนะ มะอฺัล ลอฮิ อาลิฮะตัน อุครอ  ^  กฺุล ลา อัชฮัด  ^  กฺุล อินนะมา ฮุวะ อิลาฮู วาฮิดู วะอินนะนี บะรีอุม มิมมา ตุชริกูน
20,อัลละซีนะ อาตัยนาฮุมุล กิตาบะ ยะอฺ์ริฟูนะฮู กะมา ยะอฺ์ริฟูนะ อับนาอะฮุม  ^  อัลละซีนะ เคาะสิรู อันฟุสะฮุม ฟะฮุม ลา ยุอ์มินูน
21,วะมัน อัซฺละมุ มิมมะนิฟ ตะรอ อฺะลัล ลอฮิ กะซิบัน เอา กัซซะบะ บิอายาติฮ์  ^  อินนะฮู ลา ยุฟลิฮุซฺ ซฺอลิมูน
22,วะเยามะ นะห์ชุรุฮุม ญะมีอฺัน ษุมมะ นะกฺูลุ ลิลละซีนะ อัชเราะกู อัยนะ ชุเราะกาอุกุมุล ละซีนะ กุนตุม ตัซอฺุมูน
23,ษุมมะ ลัม ตะกุน ฟิตนะตุฮุม อิลลา อัน กฺอลู วัลลอฮิ ร็อบบินา มา กุนนา มุชริกีน
24,อินซฺุร กัยฟะ กะซะบู อฺะลา อันฟุสิฮิม  ^  วะฎ็อลละ อฺันฮุม มา กานู ยัฟตะรูน
25,วะมินฮุม มัย ยัสตะมิอฺุ อิลัยก์  ^  วะญะอฺัลนา อฺะลา กฺุลูบิฮิม อะกินนะตัน อัย ยัฟเกฺาะฮูฮุ วะฟี อาซานิฮิม วักฺรอ  ^  วะอี ยะเรอ์า กุลละ อายะติล ลา ยุอ์มินู บิฮา  ^  ฮัตตา อิซา ญาอูกะ ยุญาดิลูนะกะ ยะกฺูลุล ละซีนะ กะฟะรู อิน ฮาซา อิลลา อะสาฏีรุล เอาวะลีน
26,วะฮุม ยันเฮานะ อฺันฮุ วะยันเอานะ อฺันฮ์  ^  วะอี ยุฮ์ลิกูนะ อิลลา อันฟุสะฮุม วะมา ยัชอฺุรูน
27,วะเลา ตะรอ อิซ วุกฺิฟู อฺะลัน นาริ ฟะกฺอลู ยาลัยตะนา นุร็อดดุ วะลา นุกัซซิบะ บิอายาติ ร็อบบินา วะนะกูนะ มินัล มุอ์มินีน
28,บัล บะดา ละฮุม มา กานู ยุคฟูนะ มิน กฺ็อบล์  ^  วะเลา รุดดู ละอฺาดู ลิมา นุฮู อฺันฮุ วะอินนะฮุม ละกาซิบูน
29,วะกฺอลู อิน ฮิยะ อิลลา ฮะยาตุนัด ดุนยา วะมา นะห์นุ บิมับอฺูษีน
30,วะเลา ตะรอ อิซ วุกฺิฟู อฺะลา ร็อบบิฮิม  ^  กฺอละ อะลัยสะ ฮาซา บิลฮักฺกฺ์  ^  กฺอลู บะลา วะร็อบบินา  ^  กฺอละ ฟะซูกฺุล อฺะซาบะ บิมา กุนตุม ตักฟุรูน
31,กฺ็อด เคาะสิร็อล ละซีนะ กัซซะบู บิลิกฺออิล ลาฮ์  ^  ฮัตตา อิซา ญาอัตฮุมุส สาอฺะตุ บัฆตะตัน กฺอลู ยาฮัสเราะตะนา อฺะลา มา ฟัรร็อฏนา ฟีฮา วะฮุม ยะห์มิลูนะ เอาซาเราะฮุม อฺะลา ซฺุฮูริฮิม  ^  อะลา สาอะ มา ยะซิรูน
32,วะมัล ฮะยาตุด ดุนยา อิลลา ละอฺิบู วะละฮ์ว์  ^  วะลัดดารุล อาคิเราะตุ ค็อยรุล ลิลละซีนะ ยัตตะกฺูน  ^  อะฟะลา ตะอฺ์กฺิลูน
33,กฺ็อด นะอฺ์ละมุ อินนะฮู ละยะห์ซุนุกัล ละซี ยะกฺูลูน  ^  ฟะอินนะฮุม ลา ยุกัซซิบูนะกะ วะลากินนัซฺ ซฺอลิมีนะ บิอายาติล ลาฮิ ยัจญ์ฮะดูน
34,วะละกฺ็อด กุซซิบัต รุสุลุม มิน กฺ็อบลิกะ ฟะเศาะบะรู อฺะลา มา กุซซิบู วะอูซู ฮัตตา อะตาฮุม นัศรุนา  ^  วะลา มุบัดดิละ ลิกะลิมาติล ลาฮ์  ^  วะละกฺ็อด ญาอะกะ มิน นะบะอิล มุรสะลีน
35,วะอิน กานะ กะบุเราะ อฺะลัยกะ อิอฺ์รอฎุฮุม ฟะอินิส ตะเฏาะอฺ์ตะ อัน ตับตะฆิยะ นะฟะกฺ็อน ฟิล อัรฎิ เอา สุลละมัน ฟิส สะมาอิ ฟะตะอ์ติยะฮุม บิอายะฮ์  ^  วะเลา ชาอัล ลอฮุ ละญะมะอฺะฮุม อฺะลัล ฮุดา  ^  ฟะลา ตะกูนันนะ มินัล ญาฮิลีน
36,อินนะมา ยัสตะญีบุล ละซีนะ ยัสมะอฺูน  ^  วัลเมาตา ยับอฺะษุฮุมุล ลอฮุ ษุมมะ อิลัยฮิ ยุรญะอฺูน
37,วะกฺอลู เลาลา นุซซิละ อฺะลัยฮิ อายะตุม มิร ร็อบบิฮ์  ^  กฺุล อินนัล ลอฮะ กฺอดิรุน อฺะลา อัย ยุนัซซิละ อายะเตา วะลากินนะ อักษะเราะฮุม ลา ยะอฺ์ละมูน
38,วะมา มิน ดา-บบะติน ฟิล อัรฎิ วะลา ฏออิรี ยะฏีรุ บิญะนาฮัยฮิ อิลลา อุมะมุน อัมษาลุกุม  ^  มา ฟัรร็อฏนา ฟิล กิตาบิ มิน ชัยอ์  ^  ษุมมะ อิลา ร็อบบิฮิม ยุห์ชะรูน
39,วัลละซีนะ กัซซะบู บิอายาตินา ศุมมู วะบุกมุน ฟิซฺ ซฺุลุมาต  ^  มัย ยะชะอิล ลาฮุ ยุฎลิลฮุ วะมัย ยะชะอ์ ยัจญ์อฺัลฮุ อฺะลา ศิรอฏิม มุสตะกฺีม
40,กฺุล อะเราะอัยตะกุม อิน อะตากุม อฺะซาบุล ลอฮิ เอา อะตัตกุมุส สาอฺะตุ อะฆ็อยร็อล ลอฮิ ตัดอฺูนะ อิน กุนตุม ศอดิกฺีน
41,บัล อีย์ยาฮุ ตัดอฺูนะ ฟะยักชิฟุ มา ตัดอฺูนะ อิลัยฮิ อิน ชาอะ วะตันเสานะ มา ตุชริกูน
42,วะละกฺ็อด อัรสัลนา อิลา อุมะมิม มิน กฺ็อบลิกะ ฟะอะค็อซนาฮุม บิลบะอ์สาอิ วัฎฎ็อรรออิ ละอฺัลละฮุม ยะตะฎ็อรเราะอฺูน
43,ฟะเลาลา อิซ ญาอะฮุม บะอ์สุนา ตะฎ็อรเราะอฺู วะลากิน เกฺาะสัต กฺุลูบุฮุม วะซัยยะนะ ละฮุมุช ชัยฏอนุ มา กานู ยะอฺ์มะลูน
