id,t
1,ยาอัยยุฮัล ละซีนะ อามะนู ลา ตัตตะคิซู อฺะดูว์วี วะอฺะดูว์วะกุม เอาลิยาอะ ตุลกฺูนะ อิลัยฮิม บิลมะวัดดะติ วะกฺ็อด กะฟะรู บิมา ญาอะกุม มินัล ฮักฺกฺิ ยุคริญูนัร เราะสูละ วะอีย์ยากุม อัน ตุอ์มินู บิลลาฮิ ร็อบบิกุม อิน กุนตุม เคาะร็อจญ์ตุม ญิฮาดัน ฟี สะบีลี วับติฆออะ มัรฎอตี  ^  ตุสิรรูนะ อิลัยฮิม บิลมะวัดดะติ วะอะนะ อะอฺ์ละมุ บิมา อัคฟัยตุม วะมา อะอฺ์ลันตุม  ^  วะมัย ยัฟอฺัลฮุ มินกุม ฟะกฺ็อด ฎ็อลละ สะวาอัส สะบีล
2,อี ยัษเกฺาะฟูกุม ยะกูนู ละกุม อะอฺ์ดาเอา วะยับสุฏู อิลัยกุม อัยดิยะฮุม วะอัลสินะตะฮุม บิสสูอิ วะวัดดู เลา ตักฟุรูน
3,ลัน ตันฟะอฺะกุม อัรฮามุกุม วะลา เอาลาดุกุม  ^  เยามัล กฺิยามะติ ยัฟศิลุ บัยนะกุม  ^  วัลลอฮุ บิมา ตะอฺ์มะลูนะ บะศีร
4,กฺ็อด กานัต ละกุม อุสวะตุน ฮะสะนะตุน ฟี อิบรอฮีมะ วัลละซีนะ มะอฺะฮู อิซ กฺอลู ลิเกฺอ์ามิฮิม อินนา บุเราะอาอุ มินกุม วะมิมมา ตะอฺ์บุดูนะ มิน ดูนิล ลาฮิ กะฟัรนา บิกุม วะบะดา บัยนะนา วะบัยนะกุมุล อฺะดาวะตุ วัลบัฆฎออุ อะบะดัน ฮัตตา ตุอ์มินู บิลลาฮิ วะห์ดะฮู อิลลา เกฺอ์าละ อิบรอฮีมะ ลิอะบีฮิ ละอัสตัฆฟิร็อนนะ ละกะ วะมา อัมลิกุ ละกะ มินัล ลอฮิ มิน ชัยอ์  ^  ร็อบบะนา อฺะลัยกะ ตะวักกัลนา วะอิลัยกะ อะนับนา วะอิลัยกัล มะศีร
5,ร็อบบะนา ลา ตัจญ์อฺัลนา ฟิตนะตัล ลิลละซีนะ กะฟะรู วัฆฟิร ละนา ร็อบบะนา  ^  อินนะกะ อันตัล อฺะซีซุล ฮะกีม
6,ละกฺ็อด กานะ ละกุม ฟีฮิม อุสวะตุน ฮะสะนะตุล ลิมัน กานะ ยัรญุล ลอฮะ วัลเยามัล อาคิร  ^  วะมัย ยะตะวัลละ ฟะอินนัล ลอฮะ ฮุวัล เฆาะนีย์ยุล ฮะมีด
7,อฺะสัล ลอฮุ อัย ยัจญ์อฺะละ บัยนะกุม วะบัยนัล ละซีนะ อฺาดัยตุม มินฮุม มะวัดดะฮ์  ^  วัลลอฮุ เกฺาะดีร  ^  วัลลอฮุ เฆาะฟูรุร เราะฮีม
8,ลา ยันฮากุมุล ลอฮุ อฺะนิล ละซีนะ ลัม ยุกฺอติลูกุม ฟิด ดีนิ วะลัม ยุคริญูกุม มิน ดิยาริกุม อัน ตะบัรรูฮุม วะตุกฺสิฏู อิลัยฮิม  ^  อินนัล ลอฮะ ยุฮิบบุล มุกฺสิฏีน
9,อินนะมา ยันฮากุมุล ลอฮุ อฺะนิล ละซีนะ กฺอตะลูกุม ฟิด ดีนิ วะอัคเราะญูกุม มิน ดิยาริกุม วะซฺอฮะรู อฺะลา อิครอญิกุม อัน ตะวัลเลาฮุม  ^  วะมัย ยะตะวัลละฮุม ฟะอุลาอิกะ ฮุมุซฺ ซฺอลิมูน
10,ยาอัยยุฮัล ละซีนะ อามะนู อิซา ญาอะกุมุล มุอ์มินาตุ มุฮาญิรอติน ฟัมตะฮินูฮุนน์  ^  อัลลอฮุ อะอฺ์ละมุ บิอีมานิฮินน์  ^  ฟะอิน อฺะลิมตุมูฮุนนะ มุอ์มินาติน ฟะลา ตัรญิอฺูฮุนนะ อิลัล กุฟฟาร  ^  ลา ฮุนนะ ฮิลลุล ละฮุม วะลา ฮุม ยะฮิลลูนะ ละฮุนน์  ^  วะอาตูฮุม มา อันฟะกฺู  ^  วะลา ญุนาฮะ อฺะลัยกุม อัน ตันกิฮูฮุนนะ อิซา อาตัยตุมูฮุนนะ อุญูเราะฮุนน์  ^  วะลา ตุมสิกู บิอฺิเศาะมิล กะวาฟิริ วัสอะลู มา อันฟักฺตุม วัลยัสอะลู มา อันฟะกฺู  ^  ซาลิกุม ฮุกมุล ลอฮิ ยะห์กุมุ บัยนะกุม  ^  วัลลอฮุ อฺะลีมุน ฮะกีม
