id,t
1,สับบะฮะ ลิลลาฮิ มา ฟิส สะมาวาติ วะมา ฟิล อัรฎ์  ^  วะฮุวัล อฺะซีซุล ฮะกีม
2,ยาอัยยุฮัล ละซีนะ อามะนู ลิมะ ตะกฺูลูนะ มา ลา ตัฟอฺะลูน
3,กะบุเราะ มักฺตัน อฺินดัล ลอฮิ อัน ตะกฺูลู มา ลา ตัฟอฺะลูน
4,อินนัล ลอฮะ ยุฮิบบุล ละซีนะ ยุกฺอติลูนะ ฟี สะบีลิฮี ศ็อฟฟัน กะอันนะฮุม บุนยานุม มัรศูศ
5,วะอิซ กฺอละ มูสา ลิเกฺอ์ามิฮี ยาเกฺอ์ามิ ลิมะ ตุอ์ซูนะนี วะกฺ็อต ตะอฺ์ละมูนะ อันนี เราะสูลุล ลอฮิ อิลัยกุม  ^  ฟะลัมมา ซาฆู อะซาฆ็อล ลอฮุ กฺุลูบะฮุม  ^  วัลลอฮุ ลา ยะฮ์ดิล เกฺอ์ามัล ฟาสิกฺีน
6,วะอิซ กฺอละ อฺีสับ นุ มัรยะมะ ยาบะนี อิสรออีละ อินนี เราะสูลุล ลอฮิ อิลัยกุม มุศ็อดดิกฺ็อล ลิมา บัยนะ ยะดัยยะ มินัต เตารอติ วะมุบัชชิร็อม บิเราะสูลี ยะอ์ตี มิม บะอฺ์ดิส มุฮู อะห์มัด  ^  ฟะลัมมา ญาอะฮุม บิลบัยยินาติ กฺอลู ฮาซา สิห์รุม มุบีน
7,วะมัน อัซฺละมุ มิมมะนิฟ ตะรอ อฺะลัล ลอฮิล กะซิบะ วะฮุวะ ยุดอฺา อิลัล อิสลาม  ^  วัลลอฮุ ลา ยะฮ์ดิล เกฺอ์ามัซฺ ซฺอลิมีน
8,ยุรีดูนะ ลิยุฏฟิอู นูร็อล ลอฮิ บิอัฟวาฮิฮิม วัลลอฮุ มุติมมุ นูริฮี วะเลา กะริฮัล กาฟิรูน
9,ฮุวัล ละซี อัรสะละ เราะสูละฮู บิลฮุดา วะดีนิล ฮักฺกฺิ ลิยุซฺฮิเราะฮู อฺะลัด ดีนิ กุลลิฮี วะเลา กะริฮัล มุชริกูน
10,ยาอัยยุฮัล ละซีนะ อามะนู ฮัล อะดุลลุกุม อฺะลา ติญาเราะติน ตุนญีกุม มิน อฺะซาบิน อะลีม
11,ตุอ์มินูนะ บิลลาฮิ วะเราะสูลิฮี วะตุญาฮิดูนะ ฟี สะบีลิล ลาฮิ บิอัมวาลิกุม วะอันฟุสิกุม  ^  ซาลิกุม ค็อยรุล ละกุม อิน กุนตุม ตะอฺ์ละมูน
12,ยัฆฟิร ละกุม ซุนูบะกุม วะยุดคิลกุม ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮารุ วะมะสากินะ ฏ็อยยิบะตัน ฟี ญันนาติ อฺัดน์  ^  ซาลิกัล เฟาซุล อฺะซฺีม
13,วะอุครอ ตุฮิบบูนะฮา  ^  นัศรุม มินัล ลอฮิ วะฟัตฮุน เกฺาะรีบ  ^  วะบัชชิริล มุอ์มินีน
14,ยาอัยยุฮัล ละซีนะ อามะนู กูนู อันศอร็อล ลอฮิ กะมา กฺอละ อฺีสับ นุ มัรยะมะ ลิลฮะวารีย์ยินะ มัน อันศอรี อิลัล ลอฮ์  ^  กฺอลัล ฮะวารีย์ยูนะ นะห์นุ อันศอรุล ลอฮ์  ^  ฟะอามะนัฏ ฏออิฟะตุม มิม บะนี อิสรออีละ วะกะฟะร็อฏ ฏออิฟะฮ์  ^  ฟะอัยยัดนัล ละซีนะ อามะนู อฺะลา อฺะดูว์วิฮิม ฟะอัศบะฮู ซฺอฮิรีน
