id,t
1,ยุสับบิฮุ ลิลลาฮิ มา ฟิส สะมาวาติ วะมา ฟิล อัรฎิล มะลิกิล กฺุดดูสิล อฺะซีซิล ฮะกีม
2,ฮุวัล ละซี บะอฺะษะ ฟิล อุมมีย์ยินะ เราะสูลัม มินฮุม ยัตลู อฺะลัยฮิม อายาติฮี วะยุซักกีฮิม วะยุอฺัลลิมุฮุมุล กิตาบะ วัลฮิกมะตะ วะอิน กานู มิน กฺ็อบลุ ละฟี เฎาะลาลิม มุบีน
3,วะอาเคาะรีนะ มินฮุม ลัมมา ยัลฮะกฺู บิฮิม  ^  วะฮุวัล อฺะซีซุล ฮะกีม
4,ซาลิกะ ฟัฎลุล ลอฮิ ยุอ์ตีฮิ มัย ยะชาอ์  ^  วัลลอฮุ ซุล ฟัฎลิล อฺะซฺีม
5,มะษะลุล ละซีนะ ฮุมมิลุต เตารอตะ ษุมมะ ลัม ยะห์มิลูฮา กะมะษะลิล ฮิมาริ ยะห์มิลุ อัสฟารอ  ^  บิอ์สะ มะษะลุล เกฺอ์ามิล ละซีนะ กัซซะบู บิอายาติล ลาฮ์  ^  วัลลอฮุ ลา ยะฮ์ดิล เกฺอ์ามัซฺ ซฺอลิมีน
6,กฺุล ยาอัยยุฮัล ละซีนะ ฮาดู อิน ซะอฺัมตุม อันนะกุม เอาลิยาอุ ลิลลาฮิ มิน ดูนิน นาสิ ฟะตะมันนะวุล เมาตะ อิน กุนตุม ศอดิกฺีน
7,วะลา ยะตะมันเนานะฮู อะบะดัม บิมา กฺ็อดดะมัต อัยดีฮิม  ^  วัลลอฮุ อฺะลีมุม บิซฺซฺอลิมีน
8,กฺุล อินนัล เมาตัล ละซี ตะฟิรรูนะ มินฮุ ฟะอินนะฮู มุลากฺีกุม  ^  ษุมมะ ตุร็อดดูนะ อิลา อฺาลิมิล ฆ็อยบิ วัชชะฮาดะติ ฟะยุนับบิอุกุม บิมา กุนตุม ตะอฺ์มะลูน
9,ยาอัยยุฮัล ละซีนะ อามะนู อิซา นูดิยะ ลิศเศาะลาติ มี เยามิล ญุมุอฺะติ ฟัสเอฺา อิลา ซิกริล ลาฮิ วะซะรุล บัยอฺ์  ^  ซาลิกุม ค็อยรุล ละกุม อิน กุนตุม ตะอฺ์ละมูน
10,ฟะอิซา กฺุฎิยะติศ เศาะลาตุ ฟันตะชิรู ฟิล อัรฎิ วับตะฆู มิน ฟัฎลิล ลาฮิ วัซกุรุล ลอฮะ กะษีร็อล ละอฺัลละกุม ตุฟลิฮูน
11,วะอิซา เราะเอา ติญาเราะตัน เอา ละฮ์วะนิน ฟัฎฎู อิลัยฮา วะตะเราะกูกะ กฺออิมา  ^  กฺุล มา อฺินดัล ลอฮิ ค็อยรุม มินัล ละฮ์วิ วะมินัต ติญาเราะฮ์  ^  วัลลอฮุ ค็อยรุร รอซิกฺีน
