id,t
1,อิซา ญาอะกัล มุนาฟิกฺูนะ กฺอลู นัชฮะดุ อินนะกะ ละเราะสูลุล ลอฮ์  ^  วัลลอฮุ ยะอฺ์ละมุ อินนะกะ ละเราะสูลุฮู วัลลอฮุ ยัชฮะดุ อินนัล มุนาฟิกฺีนะ ละกาซิบูน
2,อิตตะเคาะซู อัยมานะฮุม ญุนนะตัน ฟะศ็อดดู อฺัน สะบีลิล ลาฮ์  ^  อินนะฮุม สาอะ มา กานู ยะอฺ์มะลูน
3,ซาลิกะ บิอันนะฮุม อามะนู ษุมมะ กะฟะรู ฟะฏุบิอฺะ อฺะลา กฺุลูบิฮิม ฟะฮุม ลา ยัฟเกฺาะฮูน
4,วะอิซา เราะอัยตะฮุม ตุอฺ์ญิบุกะ อัจญ์สามุฮุม  ^  วะอี ยะกฺูลู ตัสมะอฺ์ ลิเกฺอ์าลิฮิม  ^  กะอันนะฮุม คุชุบุม มุสันนะดะฮ์  ^  ยะห์สะบูนะ กุลละ ศ็อยฮะติน อฺะลัยฮิม  ^  ฮุมุล อฺะดูว์วุ ฟะห์ซัรฮุม  ^  กฺอตะละฮุมุล ลอฮ์  ^  อันนา ยุอ์ฟะกูน
5,วะอิซา กฺีละ ละฮุม ตะอฺาเลา ยัสตัฆฟิร ละกุม เราะสูลุล ลอฮิ เลาเวา รุอูสะฮุม วะเราะอัยตะฮุม ยะศุดดูนะ วะฮุม มุสตักบิรูน
6,สะวาอุน อฺะลัยฮิม อัสตัฆฟัรตะ ละฮุม อัม ลัม ตัสตัฆฟิร ละฮุม ลัย ยัฆฟิร็อล ลอฮุ ละฮุม  ^  อินนัล ลอฮะ ลา ยะฮ์ดิล เกฺอ์ามัล ฟาสิกฺีน
7,ฮุมุล ละซีนะ ยะกฺูลูนะ ลา ตุนฟิกฺู อฺะลา มัน อฺินดะ เราะสูลิล ลาฮิ ฮัตตา ยันฟัฎฎู  ^  วะลิลลาฮิ เคาะซาอินุส สะมาวาติ วัลอัรฎิ วะลากินนัล มุนาฟิกฺีนะ ลา ยัฟเกฺาะฮูน
8,ยะกฺูลูนะ ละอิร เราะญะอฺ์นา อิลัล มะดีนะติ ละยุคริญันนัล อะอฺัซซุ มินฮัล อะซัลล์  ^  วะลิลลาฮิล อฺิซซะตุ วะลิเราะสูลิฮี วะลิลมุอ์มินีนะ วะลากินนัล มุนาฟิกฺีนะ ลา ยะอฺ์ละมูน
9,ยาอัยยุฮัล ละซีนะ อามะนู ลา ตุลฮิกุม อัมวาลุกุม วะลา เอาลาดุกุม อฺัน ซิกริล ลาฮ์  ^  วะมัย ยัฟอฺัล ซาลิกะ ฟะอุลาอิกะ ฮุมุล คอสิรูน
10,วะอันฟิกฺู มิม มา เราะซักฺนากุม มิน กฺ็อบลิ อัย ยะอ์ติยะ อะฮะดะกุมุล เมาตุ ฟะยะกฺูละ ร็อบบิ เลาลา อัคค็อรตะนี อิลา อะญะลิน เกฺาะรีบิน ฟะอัศศ็อดดะเกฺาะ วะอะกุม มินัศ ศอลิฮีน
11,วะลัย ยุอัคคิร็อล ลอฮุ นัฟสัน อิซา ญาอะ อะญะลุฮา  ^  วัลลอฮุ เคาะบีรุม บิมา ตะอฺ์มะลูน
