id,t
1,ยุสับบิฮุ ลิลลาฮิ มา ฟิส สะมาวาติ วะมา ฟิล อัรฎ์  ^  ละฮุล มุลกุ วะละฮุล ฮัมด์  ^  วะฮุวะ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
2,ฮุวัล ละซี เคาะละเกฺาะกุม ฟะมินกุม กาฟิรู วะมินกุม มุอ์มิน  ^  วัลลอฮุ บิมา ตะอฺ์มะลูนะ บะศีร
3,เคาะละกฺ็อส สะมาวาติ วัลอัรเฎาะ บิลฮักฺกฺิ วะเศอ์าวะเราะกุม ฟะอะห์สะนะ ศุวะเราะกุม  ^  วะอิลัยฮิล มะศีร
4,ยะอฺ์ละมุ มา ฟิส สะมาวาติ วัลอัรฎิ วะยะอฺ์ละมุ มา ตุสิรรูนะ วะมา ตุอฺ์ลินูน  ^  วัลลอฮุ อฺะลีมุม บิซาติศ ศุดูร
5,อะลัม ยะอ์ติกุม นะบะอุล ละซีนะ กะฟะรู มิน กฺ็อบลุ ฟะซากฺู วะบาละ อัมริฮิม วะละฮุม อฺะซาบุน อะลีม
6,ซาลิกะ บิอันนะฮู กานัต ตะอ์ตีฮิม รุสุลุฮุม บิลบัยยินาติ ฟะกฺอลู อะบะชะรุย ยะฮ์ดูนะนา ฟะกะฟะรู วะตะวัลล์  ^  วัสตัฆนัล ลอฮ์  ^  วัลลอฮุ เฆาะนีย์ยุน ฮะมีด
7,ซะอฺะมัล ละซีนะ กะฟะรู อัล ลัย ยุบอฺะษู  ^  กฺุล บะลา วะร็อบบี ละตุบอฺะษุนนะ ษุมมะ ละตุนับบะอุนนะ บิมา อฺะมิลตุม  ^  วะซาลิกะ อฺะลัล ลอฮิ ยะสีร
8,ฟะอามินู บิลลาฮิ วะเราะสูลิฮี วันนูริล ละซี อันซัลนา  ^  วัลลอฮุ บิมา ตะอฺ์มะลูนะ เคาะบีร
9,เยามะ ยัจญ์มะอฺุกุม ลิเยามิล ญัมอฺ์  ^  ซาลิกะ เยามุต ตะฆอบุน  ^  วะมัย ยุอ์มิม บิลลาฮิ วะยะอฺ์มัล ศอลิฮัย ยุกัฟฟิร อฺันฮุ สัยยิอาติฮี วะยุดคิลฮุ ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮารุ คอลิดีนะ ฟีฮา อะบะดา  ^  ซาลิกัล เฟาซุล อฺะซฺีม
10,วัลละซีนะ กะฟะรู วะกัซซะบู บิอายาตินา อุลาอิกะ อัศฮาบุน นาริ คอลิดีนะ ฟีฮา  ^  วะบิอ์สัล มะศีร
11,มา อะศอบะ มิม มุศีบะติน อิลลา บิอิซนิล ลาฮ์  ^  วะมัย ยุอ์มิม บิลลาฮิ ยะฮ์ดิ กฺ็อลบะฮ์  ^  วัลลอฮุ บิกุลลิ ชัยอิน อฺะลีม
12,วะอะฏีอฺุล ลอฮะ วะอะฏีอฺุร เราะสูล  ^  ฟะอิน ตะวัลลัยตุม ฟะอินนะมา อฺะลา เราะสูลินัล บะลาฆุล มุบีน
13,อัลลอฮุ ลา อิลาฮะ อิลลา ฮู  ^  วะอฺะลัล ลอฮิ ฟัลยะตะวักกะลิล มุอ์มินูน
14,ยาอัยยุฮัล ละซีนะ อามะนู อินนะ มิน อัซวาญิกุม วะเอาลาดิกุม อฺะดูว์วัล ละกุม ฟะห์ซะรูฮุม  ^  วะอิน ตะอฺ์ฟู วะตัศฟะฮู วะตัฆฟิรู ฟะอินนัล ลอฮะ เฆาะฟูรุร เราะฮีม
15,อินนะมา อัมวาลุกุม วะเอาลาดุกุม ฟิตนะฮ์  ^  วัลลอฮุ อฺินดะฮู อัจญ์รุน อฺะซฺีม
16,ฟัตตะกฺุล ลอฮะ มัส ตะเฏาะอฺ์ตุม วัสมะอฺู วะอะฏีอฺู วะอันฟิกฺู ค็อยร็อล ลิอันฟุสิกุม  ^  วะมัย ยูเกฺาะ ชุห์ฮะ นัฟสิฮี ฟะอุลาอิกะ ฮุมุล มุฟลิฮูน
17,อิน ตุกฺริฎุล ลอฮะ กฺ็อรฎ็อน ฮะสะนัย ยุฎออฺิฟฮุ ละกุม วะยัฆฟิร ละกุม  ^  วัลลอฮุ ชะกูรุน ฮะลีม
18,อฺาลิมุล ฆ็อยบิ วัชชะฮาดะติล อฺะซีซุล ฮะกีม
