id,t
1,ยาอัยยุฮัน นะบีย์ยุ อิซา ฏ็อลลักฺตุมุน นิสาอะ ฟะฏ็อลลิกฺูฮุนนะ ลิอฺิดดะติฮินนะ วะอะห์ศุล อฺิดดะฮ์  ^  วัตตะกฺุล ลอฮะ ร็อบบะกุม  ^  ลา ตุคริญูฮุนนะ มิม บุยูติฮินนะ วะลา ยัครุจญ์นะ อิลลา อัย ยะอ์ตีนะ บิฟาฮิชะติม มุบัยยินะฮ์  ^  วะติลกะ ฮุดูดุล ลอฮ์  ^  วะมัย ยะตะอฺัดดะ ฮุดูดัล ลอฮิ ฟะกฺ็อด เซฺาะละมะ นัฟสะฮ์  ^  ลา ตัดรี ละอฺัลลัล ลอฮะ ยุห์ดิษุ บะอฺ์ดะ ซาลิกะ อัมรอ
2,ฟะอิซา บะลัฆนะ อะญะละฮุนนะ ฟะอัมสิกูฮุนนะ บิมะอฺ์รูฟิน เอา ฟาริกฺูฮุนนะ บิมะอฺ์รูฟิว วะอัชฮิดู ซะวัย อฺัดลิม มินกุม วะอะกฺีมุช ชะฮาดะตะ ลิลลาฮ์  ^  ซาลิกุม ยูอฺะซฺุ บิฮี มัน กานะ ยุอ์มินุ บิลลาฮิ วัลเยามิล อาคิร  ^  วะมัย ยัตตะกฺิล ลาฮะ ยัจญ์อฺัล ละฮู มัคเราะญา
3,วะยัรซุกฺฮุ มิน ฮัยษุ ลา ยะห์ตะสิบ  ^  วะมัย ยะตะวักกัล อฺะลัล ลอฮิ ฟะฮุวะ ฮัสบุฮ์  ^  อินนัล ลอฮะ บาลิฆุ อัมริฮ์  ^  กฺ็อด ญะอฺะลัล ลอฮุ ลิกุลลิ ชัยอิน กฺ็อดรอ
4,วัลลาอี ยะอิสนะ มินัล มะฮีฎิ มิน นิสาอิกุม อินิร ตับตุม ฟะอฺิดดะตุฮุนนะ ษะลาษะตุ อัชฮุริว วัลลาอี ลัม ยะฮิฎน์  ^  วะอุลาตุล อะห์มาลิ อะญะลุฮุนนะ อัย ยะเฎาะอฺ์นะ ฮัมละฮุนน์  ^  วะมัย ยัตตะกฺิล ลาฮะ ยัจญ์อฺัล ละฮู มิน อัมริฮี ยุสรอ
5,ซาลิกะ อัมรุล ลอฮิ อันซะละฮู อิลัยกุม  ^  วะมัย ยัตตะกฺิล ลาฮะ ยุกัฟฟิร อฺันฮุ สัยยิอาติฮี วะยุอฺ์ซฺิม ละฮู อัจญ์รอ
6,อัสกินูฮุนนะ มิน ฮัยษุ สะกันตุม มิว วุจญ์ดิกุม วะลา ตุฎอ-รรูฮุนนะ ลิตุฎ็อยยิกฺู อฺะลัยฮินน์  ^  วะอิน กุนนะ อุลาติ ฮัมลิน ฟะอันฟิกฺู อฺะลัยฮินนะ ฮัตตา ยะเฎาะอฺ์นะ ฮัมละฮุนน์  ^  ฟะอิน อัรเฎาะอฺ์นะ ละกุม ฟะอาตูฮุนนะ อุญูเราะฮุนนะ วะอ์ตะมิรู บัยนะกุม บิมะอฺ์รูฟ  ^  วะอิน ตะอฺาสัรตุม ฟะสะตุรฎิอฺุ ละฮู อุครอ
7,ลิยุนฟิกฺ ซู สะอฺะติม มิน สะอฺะติฮ์  ^  วะมัน กฺุดิเราะ อฺะลัยฮิ ริซกฺุฮู ฟัลยุนฟิกฺ มิมมา อาตาฮุล ลอฮ์  ^  ลา ยุกัลลิฟุล ลอฮุ นัฟสัน อิลลา มา อาตาฮา  ^  สะยัจญ์อฺะลุล ลอฮุ บะอฺ์ดะ อฺุสรี ยุสรอ
8,วะกะอัยยิม มิน กฺ็อรยะติน อฺะตัต อฺัน อัมริ ร็อบบิฮา วะรุสุลิฮี ฟะฮาสับนาฮา ฮิสาบัน ชะดีเดา วะอฺัซซับนาฮา อฺะซาบัน นุกรอ
9,ฟะซากฺ็อต วะบาละ อัมริฮา วะกานะ อฺากฺิบะตุ อัมริฮา คุสรอ
10,อะอฺัดดัล ลอฮุ ละฮุม อฺะซาบัน ชะดีดา  ^  ฟัตตะกฺุล ลอฮะ ยาอุลิล อัลบาบิล ละซีนะ อามะนู  ^  กฺ็อด อันซะลัล ลอฮุ อิลัยกุม ซิกรอ
11,เราะสูลัย ยัตลู อฺะลัยกุม อายาติล ลาฮิ มุบัยยินาติล ลิยุคริญัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ มินัซฺ ซฺุลุมาติ อิลัน นูร  ^  วะมัย ยุอ์มิม บิลลาฮิ วะยะอฺ์มัล ศอลิฮัย ยุดคิลฮุ ญันนาติน ตัจญ์รี มิน ตะห์ติฮัล อันฮารุ คอลิดีนะ ฟีฮา อะบะดา  ^  กฺ็อด อะห์สะนัล ลอฮุ ละฮู ริซกฺอ
12,อัลลอฮุล ละซี เคาะละเกฺาะ สับอฺะ สะมาวาติว วะมินัล อัรฎิ มิษละฮุนน์  ^  ยะตะนัซซะลุล อัมรุ บัยนะฮุนนะ ลิตะอฺ์ละมู อันนัล ลอฮะ อฺะลา กุลลิ ชัยอิน เกฺาะดีรู วะอันนัล ลอฮะ กฺ็อด อะฮาเฏาะ บิกุลลิ ชัยอิน อฺิลมา
