id,t
1,ตะบาเราะกัล ละซี บิยะดิฮิล มุลกุ วะฮุวะ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
2,อัลละซี เคาะละกฺ็อล เมาตะ วัลฮะยาตะ ลิยับลุวะกุม อัยยุกุม อะห์สะนุ อฺะมะลา  ^  วะฮุวัล อฺะซีซุล เฆาะฟูร
3,อัลละซี เคาะละเกฺาะ สับอฺะ สะมาวาติน ฏิบากฺอ  ^  มา ตะรอ ฟี ค็อลกฺิร เราะห์มานิ มิน ตะฟาวุต  ^  ฟัรญิอฺิล บะเศาะเราะ ฮัล ตะรอ มิน ฟุฏูร
4,ษุมมัร ญิอฺิล บะเศาะเราะ กัรเราะตัยนิ ยันเกฺาะลิบ อิลัยกัล บะเศาะรุ คอสิเอา วะฮุวะ ฮะสีร
5,วะละกฺ็อด ซัยยันนัส สะมาอัด ดุนยา บิมะศอบีฮะ วะญะอฺัลนาฮา รุญูมัล ลิชชะยาฏีน  ^  วะอะอฺ์ตัดนา ละฮุม อฺะซาบัส สะอฺีร
6,วะลิลละซีนะ กะฟะรู บิร็อบบิฮิม อฺะซาบุ ญะฮันนัม  ^  วะบิอ์สัล มะศีร
7,อิซา อุลกฺู ฟีฮา สะมิอฺู ละฮา ชะฮีเกฺอ์า วะฮิยะ ตะฟูร
8,ตะกาดุ ตะมัยยะซุ มินัล ฆ็อยซฺ์  ^  กุลละมา อุลกฺิยะ ฟีฮา เฟาญุน สะอะละฮุม เคาะซะนะตุฮา อะลัม ยะอ์ติกุม นะซีร
9,กฺอลู บะลา กฺ็อด ญาอะนา นะซีรุน ฟะกัซซับนา วะกฺุลนา มา นัซซะลัล ลอฮุ มิน ชัยอิน อิน อันตุม อิลลา ฟี เฎาะลาลิน กะบีร
10,วะกฺอลู เลา กุนนา นัสมะอฺุ เอา นะอฺ์กฺิลุ มา กุนนา ฟี อัศฮาบิส สะอฺีร
11,ฟะอฺ์ตะเราะฟู บิซัมบิฮิม ฟะสุห์กฺ็อล ลิอัศฮาบิส สะอฺีร
12,อินนัล ละซีนะ ยัคเชานะ ร็อบบะฮุม บิลฆ็อยบิ ละฮุม มัฆฟิเราะตู วะอัจญ์รุน กะบีร
13,วะอะสิรรู เกฺอ์าละกุม อะวิจญ์ ฮะรู บิฮ์  ^  อินนะฮู อฺะลีมุม บิซาติศ ศุดูร
14,อะลา ยะอฺ์ละมุ มัน เคาะละเกฺาะ วะฮุวัล ละฏีฟุล เคาะบีร
15,ฮุวัล ละซี ญะอฺะละ ละกุมุล อัรเฎาะ ซะลูลัน ฟัมชู ฟี มะนากิบิฮา วะกุลู มิร ริซกฺิฮ์  ^  วะอิลัยฮิน นุชูร
16,อะอะมินตุม มัน ฟิส สะมาอิ อัย ยัคสิฟะ บิกุมุล อัรเฎาะ ฟะอิซา ฮิยะ ตะมูร
17,อัม อะมินตุม มัน ฟิส สะมาอิ อัย ยุรสิละ อฺะลัยกุม ฮาศิบา  ^  ฟะสะตะอฺ์ละมูนะ กัยฟะ นะซีร
18,วะละกฺ็อด กัซซะบัล ละซีนะ มิน กฺ็อบลิฮิม ฟะกัยฟะ กานะ นะกีร
19,อะวะ ลัม ยะเรอ์า อิลัฏ ฏ็อยริ เฟาเกฺาะฮุม ศอ-ฟฟาติว วะยักฺบิฎน์  ^  มา ยุมสิกุฮุนนะ อิลลัร เราะห์มาน  ^  อินนะฮู บิกุลลิ ชัยอิม บะศีร
20,อัมมัน ฮาซัล ละซี ฮุวะ ญุนดุล ละกุม ยันศุรุกุม มิน ดูนิร เราะห์มาน  ^  อินิล กาฟิรูนะ อิลลา ฟี ฆุรูร
21,อัมมัน ฮาซัล ละซี ยัรซุกฺุกุม อิน อัมสะกะ ริซเกฺาะฮ์  ^  บัล ลัจญ์ญู ฟี อฺุตูว์วิว วะนุฟูร
22,อะฟะมัย ยัมชี มุกิบบัน อฺะลา วัจญ์ฮิฮี อะฮ์ดา อัมมัย ยัมชี สะวีย์ยัน อฺะลา ศิรอฏิม มุสตะกฺีม
23,กฺุล ฮุวัล ละซี อันชะอะกุม วะญะอฺะละ ละกุมุส สัมอฺะ วัลอับศอเราะ วัลอัฟอิดะฮ์  ^  เกฺาะลีลัม มา ตัชกุรูน
24,กฺุล ฮุวัล ละซี ซะเราะอะกุม ฟิล อัรฎิ วะอิลัยฮิ ตุห์ชะรูน
25,วะยะกฺูลูนะ มะตา ฮาซัล วะอฺ์ดุ อิน กุนตุม ศอดิกฺีน
26,กฺุล อินนะมัล อฺิลมุ อฺินดัล ลอฮิ วะอินนะมา อะนะ นะซีรุม มุบีน
27,ฟะลัมมา เราะเอาฮุ ซุลฟะตัน สีอัต วุญูฮุล ละซีนะ กะฟะรู วะกฺีละ ฮาซัล ละซี กุนตุม บิฮี ตัดดะอฺูน
28,กฺุล อะเราะอัยตุม อิน อะฮ์ละกะนิยัล ลอฮุ วะมัม มะอฺิยะ เอา เราะฮิมะนา ฟะมัย ยุญีรุล กาฟิรีนะ มิน อฺะซาบิน อะลีม
29,กฺุล ฮุวัร เราะห์มานุ อามันนา บิฮี วะอฺะลัยฮิ ตะวักกัลนา  ^  ฟะสะตะอฺ์ละมูนะ มัน ฮุวะ ฟี เฎาะลาลิม มุบีน
30,กฺุล อะเราะอัยตุม อิน อัศบะฮะ มาอุกุม เฆอ์าร็อน ฟะมัย ยะอ์ตีกุม บิมาอิม มะอฺีน
