id,t
1,นู-น  ^  วัลเกฺาะละมิ วะมา ยัสฏุรูน
2,มา อันตะ บินิอฺ์มะติ ร็อบบิกะ บิมัจญ์นูน
3,วะอินนะ ละกะ ละอัจญ์ร็อน ฆ็อยเราะ มัมนูน
4,วะอินนะกะ ละอฺะลา คุลุกฺิน อฺะซฺีม
5,ฟะสะตุบศิรุ วะยุบศิรูน
6,บิอัยยิกุมุล มัฟตูน
7,อินนะ ร็อบบะกะ ฮุวะ อะอฺ์ละมุ บิมัน ฎ็อลละ อฺัน สะบีลิฮี วะฮุวะ อะอฺ์ละมุ บิลมุฮ์ตะดีน
8,ฟะลา ตุฏิอฺิล มุกัซซิบีน
9,วัดดู เลา ตุดฮินุ ฟะยุดฮินูน
10,วะลา ตุฏิอฺ์ กุลละ ฮัลลาฟิม มะฮีน
11,ฮัมมาซิม มัชชาอิม บินะมีม
12,มันนาอฺิล ลิลค็อยริ มุอฺ์ตะดิน อะษีม
13,อฺุตุลลิม บะอฺ์ดะ ซาลิกะ ซะนีม
14,อัน กานะ ซา มาลิว วะบะนีน
15,อิซา ตุตลา อฺะลัยฮิ อายาตุนา กฺอละ อะสาฏีรุล เอาวะลีน
16,สะนะสิมุฮู อฺะลัล คุรฏูม
17,อินนา บะเลานาฮุม กะมา บะเลานา อัศฮาบัล ญันนะติ อิซ อักฺสะมู ละยัศริมุนนะฮา มุศบิฮีน
18,วะลา ยัสตัษนูน
19,ฟะฏอฟะ อฺะลัยฮา ฏออิฟุม มิร ร็อบบิกะ วะฮุม นาอิมูน
20,ฟะอัศบะฮัต กัศเศาะรีม
21,ฟะตะนาเดา มุศบิฮีน
22,อะนิฆ ดู อฺะลา ฮัรษิกุม อิน กุนตุม ศอริมีน
23,ฟันเฏาะละกฺู วะฮุม ยะตะคอฟะตูน
24,อัล ลา ยัดคุลันนะฮัล เยามะ อฺะลัยกุม มิสกีน
25,วะเฆาะเดา อฺะลา ฮัรดิน กฺอดิรีน
26,ฟะลัมมา เราะเอาฮา กฺอลู อินนา ละฎอ-ลลูน
27,บัล นะห์นุ มะห์รูมูน
28,กฺอละ เอาสะฏุฮุม อะลัม อะกฺุล ละกุม เลาลา ตุสับบิฮูน
29,กฺอลู สุบฮานะ ร็อบบินา อินนา กุนนา ซฺอลิมีน
30,ฟะอักฺบะละ บะอฺ์ฎุฮุม อฺะลา บะอฺ์ฎี ยะตะลาวะมูน
31,กฺอลู ยาวัยละนา อินนา กุนนา ฏอฆีน
32,อฺะสา ร็อบบุนา อัย ยุบดิละนา ค็อยร็อม มินฮา อินนา อิลา ร็อบบินา รอฆิบูน
33,กะซาลิกัล อฺะซาบ  ^  วะละอฺะซาบุล อาคิเราะติ อักบัร  ^  เลา กานู ยะอฺ์ละมูน
34,อินนะ ลิลมุตตะกฺีนะ อฺินดะ ร็อบบิฮิม ญันนาติน นะอฺีม
35,อะฟะนัจญ์อฺะลุล มุสลิมีนะ กัลมุจญ์ริมีน
36,มา ละกุม กัยฟะ ตะห์กุมูน
37,อัม ละกุม กิตาบุน ฟีฮิ ตัดรุสูน
38,อินนะ ละกุม ฟีฮิ ละมา ตะค็อยยะรูน
39,อัม ละกุม อัยมานุน อฺะลัยนา บาลิเฆาะตุน อิลา เยามิล กฺิยามะติ อินนะ ละกุม ละมา ตะห์กุมูน
40,สัลฮุม อัยยุฮุม บิซาลิกะ ซะอฺีม
41,อัม ละฮุม ชุเราะกาอุ ฟัลยะอ์ตู บิชุเราะกาอิฮิม อิน กานู ศอดิกฺีน
42,เยามะ ยุกชะฟุ อฺัน สากฺิว วะยุดเอฺานะ อิลัส สุญูดิ ฟะลา ยัสตะฏีอฺูน
43,คอชิอฺะตัน อับศอรุฮุม ตัรฮะกฺุฮุม ซิลละฮ์  ^  วะกฺ็อด กานู ยุดเอฺานะ อิลัส สุญูดิ วะฮุม สาลิมูน
44,ฟะซัรนี วะมัย ยุกัซซิบุ บิฮาซัล ฮะดีษ  ^  สะนัสตัดริญุฮุม มิน ฮัยษุ ลา ยะอฺ์ละมูน
45,วะอุมลี ละฮุม  ^  อินนะ กัยดี มะตีน
46,อัม ตัสอะลุฮุม อัจญ์ร็อน ฟะฮุม มิม มัฆเราะมิม มุษเกฺาะลูน
47,อัม อฺินดะฮุมุล ฆ็อยบุ ฟะฮุม ยักตุบูน
48,ฟัศบิร ลิฮุกมิ ร็อบบิกะ วะลา ตะกุน กะศอฮิบิล ฮูติ อิซ นาดา วะฮุวะ มักซฺูม
49,เลาลา อัน ตะดาเราะกะฮู นิอฺ์มะตุม มิร ร็อบบิฮี ละนุบิซะ บิลอฺะรออิ วะฮุวะ มัซมูม
50,ฟัจญ์ตะบาฮุ ร็อบบุฮู ฟะญะอฺะละฮู มินัศ ศอลิฮีน
51,วะอี ยะกาดุล ละซีนะ กะฟะรู ละยุซลิกฺูนะกะ บิอับศอริฮิม ลัมมา สะมิอฺุซ ซิกเราะ วะยะกฺูลูนะ อินนะฮู ละมัจญ์นูน
52,วะมา ฮุวะ อิลลา ซิกรุล ลิลอฺาละมีน
