id,t
1,อัลฮา-กฺเกฺาะฮ์
2,มัล ฮา-กฺเกฺาะฮ์
3,วะมา อัดรอกะ มัล ฮา-กฺเกฺาะฮ์
4,กัซซะบัต ษะมูดุ วะอฺาดุม บิลกฺอริอฺะฮ์
5,ฟะอัมมา ษะมูดุ ฟะอุฮ์ลิกู บิฏฏอฆิยะฮ์
6,วะอัมมา อฺาดุน ฟะอุฮ์ลิกู บิรีฮิน ศ็อรเศาะริน อฺาติยะฮ์
7,สัคเคาะเราะฮา อฺะลัยฮิม สับอฺะ ละยาลิว วะษะมานิยะตะ อัยยามิน ฮุสูมา  ^  ฟะตะร็อล เกฺอ์ามะ ฟีฮา ศ็อรอฺา กะอันนะฮุม อะอฺ์ญาซุ นัคลิน คอวิยะฮ์
8,ฟะฮัล ตะรอ ละฮุม มิม บากฺิยะฮ์
9,วะญาอะ ฟิรเอฺานุ วะมัน กฺ็อบละฮู วัลมุอ์ตะฟิกาตุ บิลคอฏิอะฮ์
10,ฟะอฺะเศอ์า เราะสูละ ร็อบบิฮิม ฟะอะเคาะซะฮุม อัคซะตัร รอบิยะฮ์
11,อินนา ลัมมา เฏาะฆ็อล มาอุ ฮะมัลนากุม ฟิล ญาริยะฮ์
12,ลินัจญ์อฺะละฮา ละกุม ตัซกิเราะเตา วะตะอฺิยะฮา อุซุนู วาอฺิยะฮ์
13,ฟะอิซา นุฟิเคาะ ฟิศ ศูริ นัฟเคาะตู วาฮิดะฮ์
14,วะฮุมิละติล อัรฎุ วัลญิบาลุ ฟะดุกกะตา ดักกะเตา วาฮิดะฮ์
15,ฟะเยามะอิซิว วะเกฺาะอฺะติล วากฺิอฺะฮ์
16,วันชักฺเกฺาะติส สะมาอุ ฟะฮิยะ เยามะอิซิว วาฮิยะฮ์
17,วัลมะละกุ อฺะลา อัรญาอิฮา  ^  วะยะห์มิลุ อฺัรชะ ร็อบบิกะ เฟาเกฺาะฮุม เยามะอิซิน ษะมานิยะฮ์
18,เยามะอิซิน ตุอฺ์เราะฎูนะ ลา ตัคฟา มินกุม คอฟิยะฮ์
19,ฟะอัมมา มัน อูติยะ กิตาบะฮู บิยะมีนิฮี ฟะยะกฺูลุ ฮาอุมุกฺ เราะอู กิตาบิยะฮ์
20,อินนี เซฺาะนันตุ อันนี มุลากฺิน ฮิสาบิยะฮ์
21,ฟะฮุวะ ฟี อฺีชะติร รอฎิยะฮ์
22,ฟี ญันนะติน อฺาลิยะฮ์
23,กฺุฏูฟุฮา ดานิยะฮ์
24,กุลู วัชเราะบู ฮะนีอัม บิมา อัสลัฟตุม ฟิล อัยยามิล คอลิยะฮ์
25,วะอัมมา มัน อูติยะ กิตาบะฮู บิชิมาลิฮี ฟะยะกฺูลุ ยาลัยตะนี ลัม อูตะ กิตาบิยะฮ์
26,วะลัม อัดริ มา ฮิสาบิยะฮ์
27,ยาลัยตะฮา กานะติล กฺอฎิยะฮ์
28,มา อัฆนา อฺันนี มาลิยะฮ์
29,ฮะละกะ อฺันนี สุลฏอนิยะฮ์
30,คุซูฮุ ฟะฆุลลูฮ์
31,ษุมมัล ญะฮีมะ ศ็อลลูฮ์
32,ษุมมะ ฟี สิลสิละติน ซัรอฺุฮา สับอฺูนะ ซิรออฺัน ฟัสลุกูฮ์
33,อินนะฮู กานะ ลา ยุอ์มินุ บิลลาฮิล อฺะซฺีม
34,วะลา ยะฮุฎฎุ อฺะลา เฏาะอฺามิล มิสกีน
35,ฟะลัยสะ ละฮุล เยามะ ฮาฮุนา ฮะมีม
36,วะลา เฏาะอฺามุน อิลลา มิน ฆิสลีน
37,ลา ยะอ์กุลุฮู อิลลัล คอฏิอูน
38,ฟะลา อุกฺสิมุ บิมา ตุบศิรูน
39,วะมา ลา ตุบศิรูน
40,อินนะฮู ละเกฺอ์าลุ เราะสูลิน กะรีม
41,วะมา ฮุวะ บิเกฺอ์าลิ ชาอฺิร  ^  เกฺาะลีลัม มา ตุอ์มินูน
42,วะลา บิเกฺอ์าลิ กาฮิน  ^  เกฺาะลีลัม มา ตะซักกะรูน
43,ตันซีลุม มิร ร็อบบิล อฺาละมีน
44,วะเลา ตะเกฺอ์าวะละ อฺะลัยนา บะอฺ์ฎ็อล อะกฺอวีล
45,ละอะค็อซนา มินฮุ บิลยะมีน
46,ษุมมะ ละเกฺาะเฏาะอฺ์นา มินฮุล วะตีน
47,ฟะมา มินกุม มิน อะฮะดิน อฺันฮุ ฮาญิซีน
48,วะอินนะฮู ละตัซกิเราะตุล ลิลมุตตะกฺีน
49,วะอินนา ละนะอฺ์ละมุ อันนะ มินกุม มุกัซซิบีน
50,วะอินนะฮู ละฮัสเราะตุน อฺะลัล กาฟิรีน
51,วะอินนะฮู ละฮักฺกฺุล ยะกฺีน
52,ฟะสับบิห์ บิสมิ ร็อบบิกัล อฺะซฺีม
