id,t
1,อะลิฟ ลา-ม มี-มศอ-ด
2,กิตาบุน อุนซิละ อิลัยกะ ฟะลา ยะกุน ฟี ศ็อดริกะ ฮะเราะญุม มินฮุ ลิตุนซิเราะ บิฮี วะซิกรอ ลิลมุอ์มินีน
3,อิตตะบิอฺู มา อุนซิละ อิลัยกุม มิร ร็อบบิกุม วะลา ตัตตะบิอฺู มิน ดูนิฮี เอาลิยาอ์  ^  เกฺาะลีลัม มา ตะซักกะรูน
4,วะกัม มิน กฺ็อรยะติน อะฮ์ลักนาฮา ฟะญาอะฮา บะอ์สุนา บะยาตัน เอา ฮุม กฺออิลูน
5,ฟะมา กานะ ดะอฺ์วาฮุม อิซ ญาอะฮุม บะอ์สุนา อิลลา อัน กฺอลู อินนา กุนนา ซฺอลิมีน
6,ฟะละนัสอะลันนัล ละซีนะ อุรสิละ อิลัยฮิม วะละนัสอะลันนัล มุรสะลีน
7,ฟะละนะกฺุศศ็อนนะ อฺะลัยฮิม บิอฺิลม์  ^  วะมา กุนนา ฆออิบีน
8,วัลวัซนุ เยามะอิซินิล ฮักฺกฺ์  ^  ฟะมัน ษะกฺุลัต มะวาซีนุฮู ฟะอุลาอิกะ ฮุมุล มุฟลิฮูน
9,วะมัน ค็อฟฟัต มะวาซีนุฮู ฟะอุลาอิกัล ละซีนะ เคาะสิรู อันฟุสะฮุม บิมา กานู บิอายาตินา ยัซฺลิมูน
10,วะละกฺ็อด มักกันนากุม ฟิล อัรฎิ วะญะอฺัลนา ละกุม ฟีฮา มะอฺายิช  ^  เกฺาะลีลัม มา ตัชกุรูน
11,วะละกฺ็อด เคาะลักฺนากุม ษุมมะ เศอ์าวัรนากุม ษุมมะ กฺุลนา ลิลมะลาอิกะติส ญุดู ลิอาดะมะ ฟะสะญะดู อิลลา อิบลีสะ ลัม ยะกุม มินัส สาญิดีน
12,กฺอละ มา มะนะอฺะกะ อัลลา ตัสญุดะ อิซ อะมัรตุก  ^  กฺอละ อะนะ ค็อยรุม มินฮุ เคาะลักฺตะนี มิน นาริว วะเคาะลักฺตะฮู มิน ฏีน
13,กฺอละ ฟะฮ์บิฏ มินฮา ฟะมา ยะกูนุ ละกะ อัน ตะตะกับบะเราะ ฟีฮา ฟัครุจญ์ อินนะกะ มินัศ ศอฆิรีน
14,กฺอละ อันซฺิรนี อิลา เยามิ ยุบอฺะษูน
15,กฺอละ อินนะกะ มินัล มุนเซฺาะรีน
16,กฺอละ ฟะบิมา อัฆวัยตะนี ละอักฺอฺุดันนะ ละฮุม ศิรอเฏาะกัล มุสตะกฺีม
17,ษุมมะ ละอาติยันนะฮุม มิม บัยนิ อัยดีฮิม วะมิน ค็อลฟิฮิม วะอฺัน อัยมานิฮิม วะอฺัน ชะมาอิลิฮิม  ^  วะลา ตะญิดุ อักษะเราะฮุม ชากิรีน
18,กฺอลัค รุจญ์ มินฮา มัซอูมัม มัดฮูรอ  ^  ละมัน ตะบิอฺะกะ มินฮุม ละอัมละอันนะ ญะฮันนะมะ มินกุม อัจญ์มะอฺีน
19,วะยาอาดะมุส กุน อันตะ วะเซาญุกัล ญันนะตะ ฟะกุลา มิน ฮัยษุ ชิอ์ตุมา วะลา ตักฺเราะบา ฮาซิฮิช ชะญะเราะตะ ฟะตะกูนา มินัซฺ ซฺอลิมีน
20,ฟะวัสวะสะ ละฮุมัช ชัยฏอนุ ลิยุบดิยะ ละฮุมา มา วูริยะ อฺันฮุมา มิน เสาอาติฮิมา วะกฺอละ มา นะฮากุมา ร็อบบุกุมา อฺัน ฮาซิฮิช ชะญะเราะติ อิลลา อัน ตะกูนา มะละกัยนิ เอา ตะกูนา มินัล คอลิดีน
21,วะกฺอสะมะฮุมา อินนี ละกุมา ละมินัน นาศิฮีน
22,ฟะดัลลาฮุมา บิฆุรูร  ^  ฟะลัมมา ซากฺ็อช ชะญะเราะตะ บะดัต ละฮุมา เสาอาตุฮุมา วะเฏาะฟิกฺอ ยัคศิฟานิ อฺะลัยฮิมา มิว วะเราะกฺิล ญันนะฮ์  ^  วะนาดาฮุมา ร็อบบุฮุมา อะลัม อันฮะกุมา อฺัน ติลกุมัช ชะญะเราะติ วะอะกฺุล ละกุมา อินนัช ชัยฏอนะ ละกุมา อฺะดูว์วุม มุบีน
23,กฺอลา ร็อบบะนา เซฺาะลัมนา อันฟุสะนา วะอิล ลัม ตัฆฟิร ละนา วะตัรฮัมนา ละนะกูนันนะ มินัล คอสิรีน
24,กฺอละฮ์ บิฏู บะอฺ์ฎุกุม ลิบะอฺ์ฎิน อฺะดูว์ว์  ^  วะละกุม ฟิล อัรฎิ มุสตะกฺ็อรรู วะมะตาอฺุน อิลา ฮีน
25,กฺอละ ฟีฮา ตะห์เยานะ วะฟีฮา ตะมูตูนะ วะมินฮา ตุคเราะญูน
26,ยาบะนี อาดะมะ กฺ็อด อันซัลนา อฺะลัยกุม ลิบาสัย ยุวารี เสาอาติกุม วะรีชา  ^  วะลิบาสุต ตักฺวา ซาลิกะ ค็อยร์  ^  ซาลิกะ มิน อายาติล ลาฮิ ละอฺัลละฮุม ยัซซักกะรูน
