id,t
1,สะอะละ สาอิลุม บิอฺะซาบิว วากฺิอฺ์
2,ลิลกาฟิรีนะ ลัยสะ ละฮู ดาฟิอฺ์
3,มินัล ลอฮิ ซิล มะอฺาริจญ์
4,ตะอฺ์รุญุล มะลาอิกะตุ วัรรูฮุ อิลัยฮิ ฟี เยามิน กานะ มิกฺดารุฮู ค็อมสีนะ อัลฟะ สะนะฮ์
5,ฟัศบิร ศ็อบร็อน ญะมีลา
6,อินนะฮุม ยะเรอ์านะฮู บะอฺีดา
7,วะนะรอฮุ เกฺาะรีบา
8,เยามะ ตะกูนุส สะมาอุ กัลมุฮ์ล์
9,วะตะกูนุล ญิบาลุ กัลอฺิฮ์น์
10,วะลา ยัสอะลุ ฮะมีมุน ฮะมีมา
11,ยุบัศเศาะรูนะฮุม  ^  ยะวัดดุล มุจญ์ริมุ เลา ยัฟตะดี มิน อฺะซาบิ เยามิอิซิม บิบะนีฮ์
12,วะศอฮิบะติฮี วะอะคีฮ์
13,วะฟะศีละติฮิล ละตี ตุอ์วีฮ์
14,วะมัน ฟิล อัรฎิ ญะมีอฺัน ษุมมะ ยุนญีฮ์
15,กัลลา  ^  อินนะฮา ละซฺอ
16,นัซซาอฺะตัล ลิชชะวา
17,ตัดอฺู มัน อัดบะเราะ วะตะวัลลา
18,วะญะมะอฺะ ฟะเอาอฺา
19,อินนัล อินสานะ คุลิเกฺาะ ฮะลูอฺา
20,อิซา มัสสะฮุช ชัรรุ ญะซูอฺา
21,วะอิซา มัสสะฮุล ค็อยรุ มะนูอฺา
22,อิลลัล มุศ็อลลีน
23,อัลละซีนะ ฮุม อฺะลา เศาะลาติฮิม ดาอิมูน
24,วัลละซีนะ ฟี อัมวาลิฮิม ฮักฺกฺุม มะอฺ์ลูม
25,ลิสสาอิลิ วัลมะห์รูม
26,วัลละซีนะ ยุศ็อดดิกฺูนะ บิเยามิด ดีน
27,วัลละซีนะ ฮุม มิน อฺะซาบิ ร็อบบิฮิม มุชฟิกฺูน
28,อินนะ อฺะซาบะ ร็อบบิฮิม ฆ็อยรุ มะอ์มูน
29,วัลละซีนะ ฮุม ลิฟุรูญิฮิม ฮาฟิซฺูน
30,อิลลา อฺะลา อัซวาญิฮิม เอา มา มะละกัต อัยมานุฮุม ฟะอินนะฮุม ฆ็อยรุ มะลูมีน
31,ฟะมะนิบ ตะฆอ วะรออะ ซาลิกะ ฟะอุลาอิกะ ฮุมุล อฺาดูน
32,วัลละซีนะ ฮุม ลิอะมานาติฮิม วะอฺะฮ์ดิฮิม รออฺูน
33,วัลละซีนะ ฮุม บิชะฮาดาติฮิม กฺออิมูน
34,วัลละซีนะ ฮุม อฺะลา เศาะลาติฮิม ยุฮาฟิซฺูน
35,อุลาอิกะ ฟี ญันนาติม มุกเราะมูน
36,ฟะมาลิล ละซีนะ กะฟะรู กฺิบะละกะ มุฮ์ฏิอฺีน
37,อฺะนิล ยะมีนิ วะอฺะนิช ชิมาลิ อฺิซีน
38,อะยัฏมะอฺุ กุลลุม รีอิม มินฮุม อัย ยุดเคาะละ ญันนะตะ นะอฺีม
39,กัลลา  ^  อินนา เคาะลักฺนาฮุม มิมมา ยะอฺ์ละมูน
40,ฟะลา อุกฺสิมุ บิร็อบบิล มะชาริกฺิ วัลมะฆอริบิ อินนา ละกฺอดิรูน
41,อฺะลา อัน นุบัดดิละ ค็อยร็อม มินฮุม วะมา นะห์นุ บิมัสบูกฺีน
42,ฟะซัรฮุม ยะคูฎู วะยัลอฺะบู ฮัตตา ยุลากฺู เยามะฮุมุล ละซี ยูอฺะดูน
43,เยามะ ยัครุญูนะ มินัล อัจญ์ดาษิ สิรออฺัน กะอันนะฮุม อิลา นุศุบี ยูฟิฎูน
44,คอชิอฺะตัน อับศอรุฮุม ตัรฮะกฺุฮุม ซิลละฮ์  ^  ซาลิกัล เยามุล ละซี กานู ยูอฺะดูน
