id,t
1,อินนา อัรสัลนา นูฮัน อิลา เกฺอ์ามิฮี อัน อันซิร เกฺอ์ามะกะ มิน กฺ็อบลิ อัย ยะอ์ติยะฮุม อฺะซาบุน อะลีม
2,กฺอละ ยาเกฺอ์ามิ อินนี ละกุม นะซีรุม มุบีน
3,อะนิอฺ์ บุดุล ลอฮะ วัตตะกฺูฮุ วะอะฏีอฺูน
4,ยัฆฟิร ละกุม มิน ซุนูบิกุม วะยุอัคคิรกุม อิลา อะญะลิม มุสัมมา  ^  อินนะ อะญะลัล ลอฮิ อิซา ญาอะ ลา ยุอัคค็อร  ^  เลา กุนตุม ตะอฺ์ละมูน
5,กฺอละ ร็อบบิ อินนี ดะเอฺาตุ เกฺอ์ามี ลัยเลา วะนะฮารอ
6,ฟะลัม ยะซิดฮุม ดุอฺาอี อิลลา ฟิรอรอ
7,วะอินนี กุลละมา ดะเอฺาตุฮุม ลิตัฆฟิเราะ ละฮุม ญะอฺะลู อะศอบิอฺะฮุม ฟี อาซานิฮิม วัสตัฆเชา ษิยาบะฮุม วะอะศ็อรรู วัสตักบะรุส ติกบารอ
8,ษุมมะ อินนี ดะเอฺาตุฮุม ญิฮารอ
9,ษุมมะ อินนี อะอฺ์ลันตุ ละฮุม วะอัสร็อรตุ ละฮุม อิสรอรอ
10,ฟะกฺุลตุส ตัฆฟิรู ร็อบบะกุม อินนะฮู กานะ ฆ็อฟฟารอ
11,ยุรสิลิส สะมาอะ อฺะลัยกุม มิดรอรอ
12,วะยุมดิดกุม บิอัมวาลิว วะบะนีนะ วะยัจญ์อฺัล ละกุม ญันนาติว วะยัจญ์อฺัล ละกุม อันฮารอ
13,มา ละกุม ลา ตัรญูนะ ลิลลาฮิ วะกฺอรอ
14,วะกฺ็อด เคาะละเกฺาะกุม อัฏวารอ
15,อะลัม ตะเรอ์า กัยฟะ เคาะละกฺ็อล ลอฮุ สับอฺะ สะมาวาติน ฏิบากฺอ
16,วะญะอฺะลัล เกฺาะมะเราะ ฟีฮินนะ นูเรอ์า วะญะอฺะลัช ชัมสะ สิรอญา
17,วัลลอฮุ อัมบะตะกุม มินัล อัรฎิ นะบาตา
18,ษุมมะ ยุอฺีดุกุม ฟีฮา วะยุคริญุกุม อิครอญา
19,วัลลอฮุ ญะอฺะละ ละกุมุล อัรเฎาะ บิสาฏอ
20,ลิตัสลุกู มินฮา สุบุลัน ฟิญาญา
21,กฺอละ นูฮุร ร็อบบิ อินนะฮุม อฺะเศอ์านี วัตตะบะอฺู มัล ลัม ยะซิดฮุ มาลุฮู วะวะละดุฮู อิลลา เคาะสารอ
22,วะมะกะรู มักร็อน กุบบารอ
23,วะกฺอลู ลา ตะซะรุนนะ อาลิฮะตะกุม วะลา ตะซะรุนนะ วัดเดา วะลา สุวาเอฺา วะลา ยะฆูษะ วะยะอฺูเกฺาะ วะนัสรอ
24,วะกฺ็อด อะฎ็อลลู กะษีรอ  ^  วะลา ตะซิดิซฺ ซฺอลิมีนะ อิลลา เฎาะลาลา
25,มิมมา เคาะฏีอาติฮิม อุฆริกฺู ฟะอุดคิลู นาร็อน ฟะลัม ยะญิดู ละฮุม มิน ดูนิล ลาฮิ อันศอรอ
26,วะกฺอละ นูฮุร ร็อบบิ ลา ตะซัร อฺะลัล อัรฎิ มินัล กาฟิรีนะ ดัยยารอ
27,อินนะกะ อิน ตะซัรฮุม ยุฎิลลู อฺิบาดะกะ วะลา ยะลิดู อิลลา ฟาญิร็อน กัฟฟารอ
28,ร็อบบิฆ ฟิร ลี วะลิวาลิดัยยะ วะลิมัน ดะเคาะละ บัยติยะ มุอ์มิเนา วะลิลมุอ์มินีนะ วัลมุอ์มินาต  ^  วะลา ตะซิดิซฺ ซฺอลิมีนะ อิลลา ตะบารอ
