id,t
1,กฺุล อูฮิยะ อิลัยยะ อันนะฮุส ตะมะอฺะ นะฟะรุม มินัล ญินนิ ฟะกฺอลู อินนา สะมิอฺ์นา กฺุรอานัน อฺะญะบา
2,ยะฮ์ดี อิลัร รุชดิ ฟะอามันนา บิฮ์  ^  วะลัน นุชริกะ บิร็อบบินา อะฮะดา
3,วะอันนะฮู ตะอฺาลา ญัดดุ ร็อบบินา มัต ตะเคาะซะ ศอฮิบะเตา วะลา วะละดา
4,วะอันนะฮู กานะ ยะกฺูลุ สะฟีฮุนา อฺะลัล ลอฮิ ชะเฏาะฏอ
5,วะอันนา เซฺาะนันนา อัล ลัน ตะกฺูลัล อินสุ วัลญินนุ อฺะลัล ลอฮิ กะซิบา
6,วะอันนะฮู กานะ ริญาลุม มินัล อินสิ ยะอฺูซูนะ บิริญาลิม มินัล ญินนิ ฟะซาดูฮุม เราะฮะกฺอ
7,วะอันนะฮุม ซฺ็อนนู กะมา เซฺาะนันตุม อัล ลัย ยับอฺะษัล ลอฮุ อะฮะดา
8,วะอันนา ละมัสนัส สะมาอะ ฟะวะญัดนาฮา มุลิอัต ฮะเราะสัน ชะดีเดา วะชุฮุบา
9,วะอันนา กุนนา นักฺอฺุดุ มินฮา มะกฺออฺิดะ ลิสสัมอฺ์  ^  ฟะมัย ยัสตะมิอฺิล อานะ ยะญิด ละฮู ชิฮาบัร เราะเศาะดา
10,วะอันนา ลา นัดรี อะชัรรุน อุรีดะ บิมัน ฟิล อัรฎิ อัม อะรอดะ บิฮิม ร็อบบุฮุม เราะชะดา
11,วะอันนา มินนัศ ศอลิฮูนะ วะมินนา ดูนะ ซาลิก  ^  กุนนา เฏาะรออิเกฺาะ กฺิดะดา
12,วะอันนา เซฺาะนันนา อัล ลัน นุอฺ์ญิซัล ลอฮะ ฟิล อัรฎิ วะลัน นุอฺ์ญิซะฮู ฮะเราะบา
13,วะอันนา ลัมมา สะมิอฺ์นัล ฮุดา อามันนา บิฮ์  ^  ฟะมัย ยุอ์มิม บิร็อบบิฮี ฟะลา ยะคอฟุ บัคเสา วะลา เราะฮะกฺอ
14,วะอันนา มินนัล มุสลิมูนะ วะมินนัล กฺอสิฏูน  ^  ฟะมัน อัสละมะ ฟะอุลาอิกะ ตะฮัรเรอ์า เราะชะดา
15,วะอัมมัล กฺอสิฏูนะ ฟะกานู ลิญะฮันนะมะ ฮะเฏาะบา
16,วะอัลละวิส ตะกฺอมู อฺะลัฏ เฏาะรีเกฺาะติ ละอัสกฺ็อยนาฮุม มาอัน เฆาะดะกฺอ
17,ลินัฟตินะฮุม ฟีฮ์  ^  วะมัย ยุอฺ์ริฎ อฺัน ซิกริ ร็อบบิฮี ยัสลุกฮุ อฺะซาบัน เศาะอฺะดา
18,วะอันนัล มะสาญิดะ ลิลลาฮิ ฟะลา ตัดอฺู มะอฺัล ลอฮิ อะฮะดา
19,วะอันนะฮู ลัมมา กฺอมะ อฺับดุล ลอฮิ ยัดอฺูฮุ กาดู ยะกูนูนะ อฺะลัยฮิ ลิบะดา
20,กฺุล อินนะมา อัดอฺู ร็อบบี วะลา อุชริกุ บิฮี อะฮะดา
21,กฺุล อินนี ลา อัมลิกุ ละกุม ฎ็อรเรอ์า วะลา เราะชะดา
22,กฺุล อินนี ลัย ยุญีเราะนี มินัล ลอฮิ อะฮะดู วะลัน อะญิดะ มิน ดูนิฮี มุลตะฮะดา
23,อิลลา บะลาฆ็อม มินัล ลอฮิ วะริสาลาติฮ์  ^  วะมัย ยะอฺ์ศิล ลาฮะ วะเราะสูละฮู ฟะอินนะ ละฮู นาเราะ ญะฮันนะมะ คอลิดีนะ ฟีฮา อะบะดา
24,ฮัตตา อิซา เราะเอา มา ยูอฺะดูนะ ฟะสะยะอฺ์ละมูนะ มัน อัฎอฺะฟุ นาศิเรอ์า วะอะกฺ็อลลุ อฺะดะดา
25,กฺุล อิน อัดรี อะเกฺาะรีบุม มา ตูอฺะดูนะ อัม ยัจญ์อฺะลุ ละฮู ร็อบบี อะมะดา
26,อฺาลิมุล ฆ็อยบิ ฟะลา ยุซฺฮิรุ อฺะลา ฆ็อยบิฮี อะฮะดา
27,อิลลา มะนิร ตะฎอ มิร เราะสูลิน ฟะอินนะฮู ยัสลุกุ มิม บัยนิ ยะดัยฮิ วะมิน ค็อลฟิฮี เราะเศาะดา
28,ลิยะอฺ์ละมะ อัน กฺ็อด อับละฆู ริสาลาติ ร็อบบิฮิม วะอะฮาเฏาะ บิมา ละดัยฮิม วะอะห์ศอ กุลละ ชัยอิน อฺะดะดา
