id,t
1,ยาอัยยุฮัล มุซซัมมิล
2,กฺุมิล ลัยละ อิลลา เกฺาะลีลา
3,นิศฟะฮู อะวิน กฺุศ มินฮุ เกฺาะลีลา
4,เอา ซิด อฺะลัยฮิ วะร็อตติลิล กฺุรอานะ ตัรตีลา
5,อินนา สะนุลกฺี อฺะลัยกะ เกฺอ์าลัน ษะกฺีลา
6,อินนะ นาชิอะตัล ลัยลิ ฮิยะ อะชัดดุ วัฏเอา วะอักฺวะมุ กฺีลา
7,อินนะ ละกะ ฟิน นะฮาริ สับฮัน เฏาะวีลา
8,วัซกุริส มะ ร็อบบิกะ วะตะบัตตัล อิลัยฮิ ตับตีลา
9,ร็อบบุล มัชริกฺิ วัลมัฆริบิ ลา อิลาฮะ อิลลา ฮุวะ ฟัตตะคิซฮุ วะกีลา
10,วัศบิร อฺะลา มา ยะกฺูลูนะ วะฮ์ญุรฮุม ฮัจญ์ร็อน ญะมีลา
11,วะซัรนี วัลมุกัซซิบีนะ อุลิน นะอฺ์มะติ วะมะฮ์ฮิลฮุม เกฺาะลีลา
12,อินนะ ละดัยนา อันกาเลา วะญะฮีมา
13,วะเฏาะอฺามัน ซา ฆุศเศาะติว วะอฺะซาบัน อะลีมา
14,เยามะ ตัรญุฟุล อัรฎุ วัลญิบาลุ วะกานะติล ญิบาลุ กะษีบัม มะฮีลา
15,อินนา อัรสัลนา อิลัยกุม เราะสูลัน ชาฮิดัน อฺะลัยกุม กะมา อัรสัลนา อิลา ฟิรเอฺานะ เราะสูลา
16,ฟะอฺะศอ ฟิรเอฺานุร เราะสูละ ฟะอะค็อซนาฮุ อัคเซา วะบีลา
17,ฟะกัยฟะ ตัตตะกฺูนะ อิน กะฟัรตุม เยามัย ยัจญ์อฺะลุล วิลดานะ ชีบา
18,อัสสะมาอุ มุนฟะฏิรุม บิฮ์  ^  กานะ วะอฺ์ดุฮู มัฟอฺูลา
19,อินนะ ฮาซิฮี ตัซกิเราะฮ์  ^  ฟะมัน ชาอัต ตะเคาะซะ อิลา ร็อบบิฮี สะบีลา
20,อินนะ ร็อบบะกะ ยะอฺ์ละมุ อันนะกะ ตะกฺูมุ อัดนา มิน ษุลุษะยิล ลัยลิ วะนิศฟะฮู วะษุลุษะฮู วะฏออิฟะตุม มินัล ละซีนะ มะอฺัก  ^  วัลลอฮุ ยุกฺ็อดดิรุล ลัยละ วันนะฮาร  ^  อฺะลิมะ อัล ลัน ตุห์ศูฮุ ฟะตาบะ อฺะลัยกุม  ^  ฟักฺเราะอู มา ตะยัสสะเราะ มินัล กฺุรอาน  ^  อฺะลิมะ อัน สะยะกูนุ มินกุม มัรฎอ วะอาเคาะรูนะ ยัฎริบูนะ ฟิล อัรฎิ ยับตะฆูนะ มิน ฟัฎลิล ลาฮิ วะอาเคาะรูนะ ยุกฺอติลูนะ ฟี สะบีลิล ลาฮ์  ^  ฟักฺเราะอู มา ตะยัสสะเราะ มินฮ์  ^  วะอะกฺีมุศ เศาะลาตะ วะอาตุซ ซะกาตะ วะอักฺริฎุล ลอฮะ กฺ็อรฎ็อน ฮะสะนา  ^  วะมา ตุกฺ็อดดิมู ลิอันฟุสิกุม มิน ค็อยริน ตะญิดูฮุ อฺินดัล ลอฮิ ฮุวะ ค็อยเรอ์า วะอะอฺ์เซฺาะมะ อัจญ์รอ  ^  วัสตัฆฟิรุล ลอฮ์  ^  อินนัล ลอฮะ เฆาะฟูรุร เราะฮีม
