id,t
1,ยาอัยยุฮัล มุดดัษษิร
2,กฺุม ฟะอันซิร
3,วะร็อบบะกะ ฟะกับบิร
4,วะษิยาบะกะ ฟะเฏาะฮ์ฮิร
5,วัรรุจญ์ซะ ฟะฮ์ญุร
6,วะลา ตัมนุน ตัสตักษิร
7,วะลิร็อบบิกะ ฟัศบิร
8,ฟะอิซา นุกฺิเราะ ฟิน นากฺูร
9,ฟะซาลิกะ เยามะอิซี เยามุน อฺะสีร
10,อฺะลัล กาฟิรีนะ ฆ็อยรุ ยะสีร
11,ซัรนี วะมัน เคาะลักฺตุ วะฮีดา
12,วะญะอฺัลตุ ละฮู มาลัม มัมดูดา
13,วะบะนีนะ ชุฮูดา
14,วะมะฮ์ฮัตตุ ละฮู ตัมฮีดา
15,ษุมมะ ยัฏมะอฺุ อัน อะซีด
16,กัลลา  ^  อินนะฮู กานะ ลิอายาตินา อฺะนีดา
17,สะอุรฮิกฺุฮู เศาะอฺูดา
18,อินนะฮู ฟักกะเราะ วะกฺ็อดดัร
19,ฟะกฺุติละ กัยฟะ กฺ็อดดัร
20,ษุมมะ กฺุติละ กัยฟะ กฺ็อดดัร
21,ษุมมะ นะซฺ็อร
22,ษุมมะ อฺะบะสะ วะบะสัร
23,ษุมมะ อัดบะเราะ วัสตักบัร
24,ฟะกฺอละ อิน ฮาซา อิลลา สิห์รุย ยุอ์ษัร
25,อิน ฮาซา อิลลา เกฺอ์าลุล บะชัร
26,สะอุศลีฮิ สะกฺ็อร
27,วะมา อัดรอกะ มา สะกฺ็อร
28,ลา ตุบกฺี วะลา ตะซัร
29,เลาวาฮะตุล ลิลบะชัร
30,อฺะลัยฮา ติสอฺะตะ อฺะชัร
31,วะมา ญะอฺัลนา อัศฮาบัน นาริ อิลลา มะลาอิกะฮ์  ^  วะมา ญะอฺัลนา อฺิดดะตะฮุม อิลลา ฟิตนะตัล ลิลละซีนะ กะฟะรู ลิยัสตัยกฺินัล ละซีนะ อูตุล กิตาบะ วะยัซดาดัล ละซีนะ อามะนู อีมาเนา วะลา ยัรตาบัล ละซีนะ อูตุล กิตาบะ วัลมุอ์มินูนะ วะลิยะกฺูลัล ละซีนะ ฟี กฺุลูบิฮิม มะเราะฎู วัลกาฟิรูนะ มาซา อะรอดัล ลอฮุ บิฮาซา มะษะลา  ^  กะซาลิกะ ยุฎิลลุล ลอฮุ มัย ยะชาอุ วะยะฮ์ดี มัย ยะชาอ์  ^  วะมา ยะอฺ์ละมุ ญุนูดะ ร็อบบิกะ อิลลา ฮู  ^  วะมา ฮิยะ อิลลา ซิกรอ ลิลบะชัร
32,กัลลา วัลเกฺาะมัร
33,วัลลัยลิ อิซ อัดบัร
34,วัศศุบฮิ อิซา อัสฟัร
35,อินนะฮา ละอิห์ดัล กุบัร
36,นะซีร็อล ลิลบะชัร
37,ลิมัน ชาอะ มินกุม อัย ยะตะกฺ็อดดะมะ เอา ยะตะอัคค็อร
38,กุลลุ นัฟสิม บิมา กะสะบัต เราะฮีนะฮ์
39,อิลลา อัศฮาบัล ยะมีน
40,ฟี ญันนาตี ยะตะสาอะลูน
41,อฺะนิล มุจญ์ริมีน
42,มา สะละกะกุม ฟี สะกฺ็อร
43,กฺอลู ลัม นะกุ มินัล มุศ็อลลีน
44,วะลัม นะกุ นุฏอฺิมุล มิสกีน
45,วะกุนนา นะคูฎุ มะอฺัล คออิฎีน
46,วะกุนนา นุกัซซิบุ บิเยามิด ดีน
47,ฮัตตา อะตานัล ยะกฺีน
48,ฟะมา ตันฟะอฺุฮุม ชะฟาอฺะตุช ชาฟิอฺีน
49,ฟะมา ละฮุม อฺะนิต ตัซกิเราะติ มุอฺ์ริฎีน
50,กะอันนะฮุม ฮุมุรุม มุสตันฟิเราะฮ์
51,ฟัรร็อต มิน กฺ็อสวะเราะฮ์
52,บัล ยุรีดุ กุลลุม รีอิม มินฮุม อัย ยุอ์ตา ศุฮุฟัม มุนัชชะเราะฮ์
53,กัลลา  ^  บัล ลา ยะคอฟูนัล อาคิเราะฮ์
54,กัลลา อินนะฮู ตัซกิเราะฮ์
55,ฟะมัน ชาอะ ซะกะเราะฮ์
56,วะมา ยัซกุรูนะ อิลลา อัย ยะชาอัล ลอฮ์  ^  ฮุวะ อะฮ์ลุต ตักฺวา วะอะฮ์ลุล มัฆฟิเราะฮ์
