id,t
1,ฮัล อะตา อฺะลัล อินสานิ ฮีนุม มินัด ดะฮ์ริ ลัม ยะกุน ชัยอัม มัซกูรอ
2,อินนา เคาะลักฺนัล อินสานะ มิน นุฏฟะติน อัมชาญิน นับตะลีฮิ ฟะญะอฺัลนาฮุ สะมีอฺัม บะศีรอ
3,อินนา ฮะดัยนาฮุส สะบีละ อิมมา ชากิเรอ์า วะอิมมา กะฟูรอ
4,อินนา อะอฺ์ตัดนา ลิลกาฟิรีนะ สะลาสิละ วะอัฆลาเลา วะสะอฺีรอ
5,อินนัล อับรอเราะ ยัชเราะบูนะ มิน กะอ์สิน กานะ มิซาญุฮา กาฟูรอ
6,อฺัยนัย ยัชเราะบุ บิฮา อฺิบาดุล ลอฮิ ยุฟัจญ์ญิรูนะฮา ตัฟญีรอ
7,ยูฟูนะ บินนัซริ วะยะคอฟูนะ เยามัน กานะ ชัรรุฮู มุสตะฏีรอ
8,วะยุฏอฺิมูนัฏ เฏาะอฺามะ อฺะลา ฮุบบิฮี มิสกีเนา วะยะตีเมา วะอะสีรอ
9,อินนะมา นุฏอฺิมุกุม ลิวัจญ์ฮิล ลาฮิ ลา นุรีดุ มินกุม ญะซาเอา วะลา ชุกูรอ
10,อินนา นะคอฟุ มิร ร็อบบินา เยามัน อฺะบูสัน กฺ็อมเฏาะรีรอ
11,ฟะวะกฺอฮุมุล ลอฮุ ชัรเราะ ซาลิกัล เยามิ วะลักฺกฺอฮุม นัฎเราะเตา วะสุรูรอ
12,วะญะซาฮุม บิมา เศาะบะรู ญันนะเตา วะฮะรีรอ
13,มุตตะกิอีนะ ฟีฮา อฺะลัล อะรออิก  ^  ลา ยะเรอ์านะ ฟีฮา ชัมเสา วะลา ซัมฮะรีรอ
14,วะดานิยะตัน อฺะลัยฮิม ซฺิลาลุฮา วะซุลลิลัต กฺุฏูฟุฮา ตัซลีลา
15,วะยุฏอฟุ อฺะลัยฮิม บิอานิยะติม มิน ฟิฎเฎาะติว วะอักวาบิน กานัต เกฺาะวารีร
16,เกฺาะวารีเราะ มิน ฟิฎเฎาะติน กฺ็อดดะรูฮา ตักฺดีรอ
17,วะยุสเกฺอ์านะ ฟีฮา กะอ์สัน กานะ มิซาญุฮา ซันญะบีลา
18,อฺัยนัน ฟีฮา ตุสัมมา สัลสะบีลา
19,วะยะฏูฟุ อฺะลัยฮิม วิลดานุม มุค็อลละดูนะ อิซา เราะอัยตะฮุม ฮะสิบตะฮุม ลุอ์ลุอัม มันษูรอ
20,วะอิซา เราะอัยตะ ษัมมะ เราะอัยตะ นะอฺีเมา วะมุลกัน กะบีรอ
21,อฺาลิยะฮุม ษิยาบุ สุนดุสิน คุฎรู วะอิสตับร็อกฺ  ^  วะฮุลลู อะสาวิเราะ มิน ฟิฎเฎาะติว วะสะกฺอฮุม ร็อบบุฮุม ชะรอบัน เฏาะฮูรอ
22,อินนะ ฮาซา กานะ ละกุม ญะซาเอา วะกานะ สะอฺ์ยุกุม มัชกูรอ
23,อินนา นะห์นุ นัซซัลนา อฺะลัยกัล กฺุรอานะ ตันซีลา
24,ฟัศบิร ลิฮุกมิ ร็อบบิกะ วะลา ตุฏิอฺ์ มินฮุม อาษิมัน เอา กะฟูรอ
25,วัซกุริส มะ ร็อบบิกะ บุกเราะเตา วะอะศีลา
26,วะมินัล ลัยลิ ฟัสญุด ละฮู วะสับบิห์ฮุ ลัยลัน เฏาะวีลา
27,อินนะ ฮาอุลาอิ ยุฮิบบูนัล อฺาญิละตะ วะยะซะรูนะ วะรออะฮุม เยามัน ษะกฺีลา
28,นะห์นุ เคาะลักฺนาฮุม วะชะดัดนา อัสเราะฮุม  ^  วะอิซา ชิอ์นา บัดดัลนา อัมษาละฮุม ตับดีลา
29,อินนะ ฮาซิฮี ตัซกิเราะฮ์  ^  ฟะมัน ชาอัต ตะเคาะซะ อิลา ร็อบบิฮี สะบีลา
30,วะมา ตะชาอูนะ อิลลา อัย ยะชาอัล ลอฮ์  ^  อินนัล ลอฮะ กานะ อฺะลีมัน ฮะกีมา
31,ยุดคิลุ มัย ยะชาอุ ฟี เราะห์มะติฮ์  ^  วัซฺซฺอลิมีนะ อะอฺัดดะ ละฮุม อฺะซาบัน อะลีมา
32,ยุดคิลุ มัย ยะชาอุ ฟี เราะห์มะติฮ์  ^  วัซฺซฺอลิมีนะ อะอฺัดดะ ละฮุม อฺะซาบัน อะลีมา
