id,t
1,วัลมุรสะลาติ อฺุรฟา
2,ฟัลอฺาศิฟาติ อฺัศฟา
3,วันนาชิรอติ นัชรอ
4,ฟัลฟาริกฺอติ ฟัรกฺอ
5,ฟัลมุลกฺิยาติ ซิกรอ
6,อฺุซร็อน เอา นุซรอ
7,อินนะมา ตูอฺะดูนะ ละวากฺิอฺ์
8,ฟะอิซัน นุญูมุ ฏุมิสัต
9,วะอิซัส สะมาอุ ฟุริญัต
10,วะอิซัล ญิบาลุ นุสิฟัต
11,วะอิซัร รุสุลุ อุกฺกฺิตัต
12,ลิอัยยิ เยามิน อุจญ์ญิลัต
13,ลิเยามิล ฟัศล์
14,วะมา อัดรอกะ มา เยามุล ฟัศล์
15,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
16,อะลัม นุฮ์ลิกิล เอาวะลีน
17,ษุมมะ นุตบิอฺุฮุมุล อาคิรีน
18,กะซาลิกะ นัฟอฺะลุ บิลมุจญ์ริมีน
19,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
20,อะลัม นัคลุกกุม มิม มาอิม มะฮีน
21,ฟะญะอฺัลนาฮุ ฟี เกฺาะรอริม มะกีน
22,อิลา เกฺาะดะริม มะอฺ์ลูม
23,ฟะเกฺาะดัรนา ฟะนิอฺ์มัล กฺอดิรูน
24,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
25,อะลัม นัจญ์อฺะลิล อัรเฎาะ กิฟาตา
26,อะห์ยาเอา วะอัมวาตา
27,วะญะอฺัลนา ฟีฮา เราะวาสิยะ ชามิคอติว วะอัสกฺ็อยนากุม มาอัน ฟุรอตา
28,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
29,อินเฏาะลิกฺู อิลา มา กุนตุม บิฮี ตุกัซซิบูน
30,อินเฏาะลิกฺู อิลา ซฺิลลิน ซี ษะลาษิ ชุอฺับ
31,ลา เซฺาะลีลิว วะลา ยุฆนี มินัล ละฮับ
32,อินนะฮา ตัรมี บิชะเราะริน กัลกฺ็อศร์
33,กะอันนะฮู ญิมาละตุน ศุฟร์
34,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
35,ฮาซา เยามุ ลา ยันฏิกฺูน
36,วะลา ยุอ์ซะนุ ละฮุม ฟะยะอฺ์ตะซิรูน
37,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
38,ฮาซา เยามุล ฟัศล์  ^  ญะมะอฺ์นากุม วัลเอาวะลีน
39,ฟะอิน กานะ ละกุม กัยดุน ฟะกีดูน
40,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
41,อินนัล มุตตะกฺีนะ ฟี ซฺิลาลิว วะอฺุยูน
42,วะฟะวากิฮะ มิมมา ยัชตะฮูน
43,กุลู วัชเราะบู ฮะนีอัม บิมา กุนตุม ตะอฺ์มะลูน
44,อินนา กะซาลิกะ นัจญ์ซิล มุห์สินีน
45,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
46,กุลู วะตะมัตตะอฺู เกฺาะลีลัน อินนะกุม มุจญ์ริมูน
47,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
48,วะอิซา กฺีละ ละฮุมุร กะอฺู ลา ยัรกะอฺูน
49,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
50,ฟะบิอัยยิ ฮะดีษิม บะอฺ์ดะฮู ยุอ์มินูน
